epoch 0:	pdl:1.97e-01 	 Rec:5.90e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:1.71e-01 	 Rec:1.66e-03 	 Color:0.00e+00 	Time: 1.71
epoch 100:	pdl:2.02e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.70
epoch 150:	pdl:1.75e-01 	 Rec:8.41e-04 	 Color:0.00e+00 	Time: 1.71
epoch 200:	pdl:2.00e-01 	 Rec:7.64e-04 	 Color:0.00e+00 	Time: 1.71
epoch 250:	pdl:1.76e-01 	 Rec:7.17e-04 	 Color:0.00e+00 	Time: 1.69
epoch 300:	pdl:1.80e-01 	 Rec:5.84e-04 	 Color:0.00e+00 	Time: 1.71
epoch 350:	pdl:1.85e-01 	 Rec:5.31e-04 	 Color:0.00e+00 	Time: 1.70
epoch 400:	pdl:1.86e-01 	 Rec:6.49e-04 	 Color:0.00e+00 	Time: 1.71
epoch 450:	pdl:1.87e-01 	 Rec:4.53e-04 	 Color:0.00e+00 	Time: 1.72
epoch 500:	pdl:1.70e-01 	 Rec:4.35e-04 	 Color:0.00e+00 	Time: 1.71
epoch 550:	pdl:1.80e-01 	 Rec:6.17e-04 	 Color:0.00e+00 	Time: 1.74
epoch 600:	pdl:1.80e-01 	 Rec:4.09e-04 	 Color:0.00e+00 	Time: 1.76
epoch 650:	pdl:1.72e-01 	 Rec:6.35e-04 	 Color:0.00e+00 	Time: 1.73
epoch 700:	pdl:1.91e-01 	 Rec:3.64e-04 	 Color:0.00e+00 	Time: 1.72
epoch 750:	pdl:1.69e-01 	 Rec:5.40e-04 	 Color:0.00e+00 	Time: 1.74
epoch 800:	pdl:1.71e-01 	 Rec:5.06e-04 	 Color:0.00e+00 	Time: 1.71
epoch 850:	pdl:1.87e-01 	 Rec:5.36e-04 	 Color:0.00e+00 	Time: 1.73
epoch 900:	pdl:2.25e-01 	 Rec:3.34e-04 	 Color:0.00e+00 	Time: 1.73
epoch 950:	pdl:1.91e-01 	 Rec:4.34e-04 	 Color:0.00e+00 	Time: 1.71
epoch 1000:	pdl:1.78e-01 	 Rec:5.33e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1050:	pdl:1.85e-01 	 Rec:3.13e-04 	 Color:0.00e+00 	Time: 1.71
epoch 1100:	pdl:1.68e-01 	 Rec:3.30e-04 	 Color:0.00e+00 	Time: 1.72
epoch 1150:	pdl:1.72e-01 	 Rec:3.04e-04 	 Color:0.00e+00 	Time: 1.71
epoch 1200:	pdl:1.92e-01 	 Rec:3.14e-04 	 Color:0.00e+00 	Time: 1.72
epoch 1250:	pdl:1.61e-01 	 Rec:3.25e-04 	 Color:0.00e+00 	Time: 1.71
epoch 1300:	pdl:1.60e-01 	 Rec:2.67e-04 	 Color:0.00e+00 	Time: 1.76
epoch 1350:	pdl:1.96e-01 	 Rec:3.01e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1400:	pdl:1.81e-01 	 Rec:4.06e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1450:	pdl:1.80e-01 	 Rec:2.72e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1500:	pdl:1.75e-01 	 Rec:6.00e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1550:	pdl:1.89e-01 	 Rec:3.49e-04 	 Color:0.00e+00 	Time: 1.75
epoch 1600:	pdl:1.61e-01 	 Rec:2.47e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1650:	pdl:2.08e-01 	 Rec:3.14e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1700:	pdl:1.77e-01 	 Rec:2.87e-04 	 Color:0.00e+00 	Time: 1.72
epoch 1750:	pdl:1.79e-01 	 Rec:2.33e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1800:	pdl:1.73e-01 	 Rec:2.94e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1850:	pdl:1.99e-01 	 Rec:3.45e-04 	 Color:0.00e+00 	Time: 1.71
epoch 1900:	pdl:1.67e-01 	 Rec:3.47e-04 	 Color:0.00e+00 	Time: 1.73
epoch 1950:	pdl:1.84e-01 	 Rec:4.22e-04 	 Color:0.00e+00 	Time: 1.74
epoch 2000:	pdl:2.03e-01 	 Rec:2.50e-04 	 Color:0.00e+00 	Time: 1.73
epoch 2050:	pdl:1.83e-01 	 Rec:2.54e-04 	 Color:0.00e+00 	Time: 1.71
epoch 2100:	pdl:1.89e-01 	 Rec:2.30e-04 	 Color:0.00e+00 	Time: 1.70
epoch 2150:	pdl:1.65e-01 	 Rec:2.92e-04 	 Color:0.00e+00 	Time: 1.74
epoch 2200:	pdl:1.66e-01 	 Rec:3.57e-04 	 Color:0.00e+00 	Time: 1.73
epoch 2250:	pdl:1.95e-01 	 Rec:2.20e-04 	 Color:0.00e+00 	Time: 1.71
epoch 2300:	pdl:1.80e-01 	 Rec:2.64e-04 	 Color:0.00e+00 	Time: 1.74
epoch 2350:	pdl:1.65e-01 	 Rec:2.32e-04 	 Color:0.00e+00 	Time: 1.74
epoch 2400:	pdl:1.67e-01 	 Rec:2.78e-04 	 Color:0.00e+00 	Time: 1.72
epoch 2450:	pdl:1.64e-01 	 Rec:2.08e-04 	 Color:0.00e+00 	Time: 1.72
epoch 2500:	pdl:1.73e-01 	 Rec:3.33e-04 	 Color:0.00e+00 	Time: 1.72
epoch 2550:	pdl:1.95e-01 	 Rec:2.81e-04 	 Color:0.00e+00 	Time: 1.73
epoch 2600:	pdl:1.68e-01 	 Rec:2.63e-04 	 Color:0.00e+00 	Time: 1.76
epoch 2650:	pdl:1.75e-01 	 Rec:2.44e-04 	 Color:0.00e+00 	Time: 1.77
epoch 2700:	pdl:1.64e-01 	 Rec:2.40e-04 	 Color:0.00e+00 	Time: 1.75
epoch 2750:	pdl:1.58e-01 	 Rec:2.39e-04 	 Color:0.00e+00 	Time: 1.78
epoch 2800:	pdl:1.61e-01 	 Rec:2.03e-04 	 Color:0.00e+00 	Time: 1.74
epoch 2850:	pdl:1.72e-01 	 Rec:1.80e-04 	 Color:0.00e+00 	Time: 1.77
epoch 2900:	pdl:1.56e-01 	 Rec:2.72e-04 	 Color:0.00e+00 	Time: 1.74
epoch 2950:	pdl:1.84e-01 	 Rec:3.38e-04 	 Color:0.00e+00 	Time: 1.74
epoch 3000:	pdl:1.72e-01 	 Rec:3.78e-04 	 Color:0.00e+00 	Time: 1.74
