epoch 0:	pdl:1.35e+00 	 Rec:6.60e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.55e-01 	 Rec:4.85e-03 	 Color:0.00e+00 	Time: 0.70
epoch 100:	pdl:7.49e-01 	 Rec:4.35e-03 	 Color:0.00e+00 	Time: 0.70
epoch 150:	pdl:6.30e-01 	 Rec:3.68e-03 	 Color:0.00e+00 	Time: 0.68
epoch 200:	pdl:6.47e-01 	 Rec:3.40e-03 	 Color:0.00e+00 	Time: 0.69
epoch 250:	pdl:6.70e-01 	 Rec:3.09e-03 	 Color:0.00e+00 	Time: 0.70
epoch 300:	pdl:7.49e-01 	 Rec:3.12e-03 	 Color:0.00e+00 	Time: 0.70
epoch 350:	pdl:6.57e-01 	 Rec:3.50e-03 	 Color:0.00e+00 	Time: 0.70
epoch 400:	pdl:6.07e-01 	 Rec:2.87e-03 	 Color:0.00e+00 	Time: 0.71
epoch 450:	pdl:6.47e-01 	 Rec:2.99e-03 	 Color:0.00e+00 	Time: 0.71
epoch 500:	pdl:6.00e-01 	 Rec:2.35e-03 	 Color:0.00e+00 	Time: 0.69
epoch 550:	pdl:6.46e-01 	 Rec:2.56e-03 	 Color:0.00e+00 	Time: 0.68
epoch 600:	pdl:6.79e-01 	 Rec:2.66e-03 	 Color:0.00e+00 	Time: 0.69
epoch 650:	pdl:6.60e-01 	 Rec:2.78e-03 	 Color:0.00e+00 	Time: 0.68
epoch 700:	pdl:6.04e-01 	 Rec:3.88e-03 	 Color:0.00e+00 	Time: 0.69
epoch 750:	pdl:6.21e-01 	 Rec:2.42e-03 	 Color:0.00e+00 	Time: 0.69
epoch 800:	pdl:6.23e-01 	 Rec:2.39e-03 	 Color:0.00e+00 	Time: 0.69
epoch 850:	pdl:6.65e-01 	 Rec:2.92e-03 	 Color:0.00e+00 	Time: 0.69
epoch 900:	pdl:5.61e-01 	 Rec:2.45e-03 	 Color:0.00e+00 	Time: 0.70
epoch 950:	pdl:6.09e-01 	 Rec:2.35e-03 	 Color:0.00e+00 	Time: 0.69
epoch 1000:	pdl:6.32e-01 	 Rec:2.58e-03 	 Color:0.00e+00 	Time: 0.70
epoch 1050:	pdl:6.31e-01 	 Rec:2.12e-03 	 Color:0.00e+00 	Time: 0.70
epoch 1100:	pdl:6.12e-01 	 Rec:2.39e-03 	 Color:0.00e+00 	Time: 0.69
epoch 1150:	pdl:6.65e-01 	 Rec:2.35e-03 	 Color:0.00e+00 	Time: 0.70
epoch 1200:	pdl:6.27e-01 	 Rec:2.66e-03 	 Color:0.00e+00 	Time: 0.70
epoch 1250:	pdl:5.76e-01 	 Rec:2.23e-03 	 Color:0.00e+00 	Time: 0.69
epoch 1300:	pdl:6.75e-01 	 Rec:2.66e-03 	 Color:0.00e+00 	Time: 0.69
epoch 1350:	pdl:6.55e-01 	 Rec:2.48e-03 	 Color:0.00e+00 	Time: 0.70
epoch 1400:	pdl:6.53e-01 	 Rec:1.93e-03 	 Color:0.00e+00 	Time: 0.69
epoch 1450:	pdl:6.05e-01 	 Rec:2.03e-03 	 Color:0.00e+00 	Time: 0.68
epoch 1500:	pdl:5.89e-01 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 0.68
epoch 1550:	pdl:6.04e-01 	 Rec:2.12e-03 	 Color:0.00e+00 	Time: 0.69
epoch 1600:	pdl:6.70e-01 	 Rec:2.37e-03 	 Color:0.00e+00 	Time: 0.69
