epoch 0:	pdl:7.23e-01 	 Rec:1.10e-01 	 Color:0.00e+00 	Time: 0.04
epoch 50:	pdl:1.34e-01 	 Rec:3.34e-03 	 Color:0.00e+00 	Time: 3.62
epoch 100:	pdl:1.61e-01 	 Rec:4.73e-03 	 Color:0.00e+00 	Time: 3.49
epoch 150:	pdl:1.61e-01 	 Rec:3.92e-03 	 Color:0.00e+00 	Time: 3.41
epoch 200:	pdl:1.10e-01 	 Rec:2.11e-03 	 Color:0.00e+00 	Time: 3.44
epoch 250:	pdl:1.18e-01 	 Rec:2.38e-03 	 Color:0.00e+00 	Time: 3.48
epoch 300:	pdl:1.07e-01 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 3.40
epoch 350:	pdl:1.20e-01 	 Rec:2.57e-03 	 Color:0.00e+00 	Time: 3.45
epoch 400:	pdl:1.62e-01 	 Rec:3.20e-03 	 Color:0.00e+00 	Time: 3.40
epoch 450:	pdl:1.29e-01 	 Rec:2.79e-03 	 Color:0.00e+00 	Time: 3.44
epoch 500:	pdl:1.45e-01 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 3.39
epoch 550:	pdl:1.43e-01 	 Rec:2.89e-03 	 Color:0.00e+00 	Time: 3.51
epoch 600:	pdl:1.76e-01 	 Rec:2.42e-03 	 Color:0.00e+00 	Time: 3.48
epoch 650:	pdl:1.18e-01 	 Rec:2.56e-03 	 Color:0.00e+00 	Time: 3.48
epoch 700:	pdl:1.25e-01 	 Rec:2.40e-03 	 Color:0.00e+00 	Time: 3.43
epoch 750:	pdl:1.09e-01 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 3.43
epoch 800:	pdl:1.03e-01 	 Rec:2.28e-03 	 Color:0.00e+00 	Time: 3.37
epoch 850:	pdl:1.22e-01 	 Rec:2.15e-03 	 Color:0.00e+00 	Time: 3.56
epoch 900:	pdl:1.68e-01 	 Rec:2.05e-03 	 Color:0.00e+00 	Time: 3.50
epoch 950:	pdl:1.18e-01 	 Rec:1.93e-03 	 Color:0.00e+00 	Time: 3.45
epoch 1000:	pdl:1.72e-01 	 Rec:1.81e-03 	 Color:0.00e+00 	Time: 3.43
epoch 1050:	pdl:1.74e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 3.56
epoch 1100:	pdl:1.09e-01 	 Rec:1.98e-03 	 Color:0.00e+00 	Time: 3.49
epoch 1150:	pdl:1.08e-01 	 Rec:2.36e-03 	 Color:0.00e+00 	Time: 3.51
epoch 1200:	pdl:1.13e-01 	 Rec:1.89e-03 	 Color:0.00e+00 	Time: 3.43
epoch 1250:	pdl:1.06e-01 	 Rec:1.81e-03 	 Color:0.00e+00 	Time: 3.40
epoch 1300:	pdl:1.59e-01 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 3.49
epoch 1350:	pdl:2.10e-01 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 3.39
epoch 1400:	pdl:1.19e-01 	 Rec:1.65e-03 	 Color:0.00e+00 	Time: 3.42
epoch 1450:	pdl:1.17e-01 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 3.51
epoch 1500:	pdl:1.34e-01 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 3.43
epoch 1550:	pdl:1.24e-01 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 3.32
epoch 1600:	pdl:1.49e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 3.49
epoch 1650:	pdl:1.63e-01 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 3.47
epoch 1700:	pdl:1.11e-01 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 3.23
