epoch 0:	pdl:1.54e+00 	 Rec:1.54e+00 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.10e-01 	 Rec:1.45e-02 	 Color:0.00e+00 	Time: 0.39
epoch 100:	pdl:6.59e-01 	 Rec:2.18e-03 	 Color:0.00e+00 	Time: 0.40
epoch 150:	pdl:5.84e-01 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 0.39
epoch 200:	pdl:5.42e-01 	 Rec:4.54e-04 	 Color:0.00e+00 	Time: 0.40
epoch 250:	pdl:6.20e-01 	 Rec:3.36e-03 	 Color:0.00e+00 	Time: 0.37
epoch 300:	pdl:5.87e-01 	 Rec:9.24e-04 	 Color:0.00e+00 	Time: 0.34
epoch 350:	pdl:5.62e-01 	 Rec:1.85e-04 	 Color:0.00e+00 	Time: 0.37
epoch 400:	pdl:5.68e-01 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 0.38
epoch 450:	pdl:5.61e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 0.39
epoch 500:	pdl:5.71e-01 	 Rec:4.40e-04 	 Color:0.00e+00 	Time: 0.38
epoch 550:	pdl:5.65e-01 	 Rec:1.60e-04 	 Color:0.00e+00 	Time: 0.41
epoch 600:	pdl:5.45e-01 	 Rec:2.18e-03 	 Color:0.00e+00 	Time: 0.38
epoch 650:	pdl:5.21e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.38
epoch 700:	pdl:5.42e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.38
epoch 750:	pdl:5.55e-01 	 Rec:6.20e-04 	 Color:0.00e+00 	Time: 0.38
epoch 800:	pdl:5.38e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.39
epoch 850:	pdl:5.48e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 0.38
epoch 900:	pdl:5.26e-01 	 Rec:5.56e-04 	 Color:0.00e+00 	Time: 0.38
epoch 950:	pdl:5.49e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.36
