epoch 0:	pdl:1.06e+00 	 Rec:1.06e+00 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:8.81e-01 	 Rec:6.63e-02 	 Color:0.00e+00 	Time: 0.68
epoch 100:	pdl:7.83e-01 	 Rec:4.90e-02 	 Color:0.00e+00 	Time: 0.62
epoch 150:	pdl:8.10e-01 	 Rec:3.88e-02 	 Color:0.00e+00 	Time: 0.59
epoch 200:	pdl:7.86e-01 	 Rec:2.92e-02 	 Color:0.00e+00 	Time: 0.61
epoch 250:	pdl:7.30e-01 	 Rec:2.30e-02 	 Color:0.00e+00 	Time: 0.61
epoch 300:	pdl:7.78e-01 	 Rec:1.94e-02 	 Color:0.00e+00 	Time: 0.59
epoch 350:	pdl:7.34e-01 	 Rec:1.87e-02 	 Color:0.00e+00 	Time: 0.62
epoch 400:	pdl:7.74e-01 	 Rec:1.81e-02 	 Color:0.00e+00 	Time: 0.61
epoch 450:	pdl:8.03e-01 	 Rec:1.61e-02 	 Color:0.00e+00 	Time: 0.59
epoch 500:	pdl:7.52e-01 	 Rec:1.17e-02 	 Color:0.00e+00 	Time: 0.58
epoch 550:	pdl:7.45e-01 	 Rec:1.05e-02 	 Color:0.00e+00 	Time: 0.64
epoch 600:	pdl:7.26e-01 	 Rec:9.72e-03 	 Color:0.00e+00 	Time: 0.59
epoch 650:	pdl:7.27e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 0.57
epoch 700:	pdl:7.35e-01 	 Rec:7.42e-03 	 Color:0.00e+00 	Time: 0.59
epoch 750:	pdl:7.09e-01 	 Rec:6.45e-03 	 Color:0.00e+00 	Time: 0.57
epoch 800:	pdl:7.21e-01 	 Rec:7.30e-03 	 Color:0.00e+00 	Time: 0.61
epoch 850:	pdl:7.49e-01 	 Rec:5.78e-03 	 Color:0.00e+00 	Time: 0.56
epoch 900:	pdl:6.96e-01 	 Rec:4.80e-03 	 Color:0.00e+00 	Time: 0.60
epoch 950:	pdl:7.95e-01 	 Rec:7.71e-03 	 Color:0.00e+00 	Time: 0.59
