epoch 0:	gram:1.50e-02 	 Rec:6.82e-02 	 Color:2.00e-05 	Time: 0.01
epoch 50:	gram:1.11e-03 	 Rec:2.34e-03 	 Color:1.89e-05 	Time: 0.51
epoch 100:	gram:1.12e-03 	 Rec:1.71e-03 	 Color:1.61e-05 	Time: 0.47
epoch 150:	gram:1.43e-03 	 Rec:1.47e-03 	 Color:1.64e-05 	Time: 0.44
epoch 200:	gram:6.92e-04 	 Rec:1.18e-03 	 Color:2.00e-05 	Time: 0.41
epoch 250:	gram:1.16e-03 	 Rec:9.87e-04 	 Color:1.98e-05 	Time: 0.41
epoch 300:	gram:1.50e-03 	 Rec:1.01e-03 	 Color:2.01e-05 	Time: 0.43
epoch 350:	gram:7.27e-04 	 Rec:9.03e-04 	 Color:1.85e-05 	Time: 0.43
epoch 400:	gram:6.96e-04 	 Rec:7.59e-04 	 Color:1.97e-05 	Time: 0.41
epoch 450:	gram:8.10e-04 	 Rec:6.33e-04 	 Color:1.98e-05 	Time: 0.43
epoch 500:	gram:9.79e-04 	 Rec:4.71e-04 	 Color:1.78e-05 	Time: 0.40
epoch 550:	gram:7.43e-04 	 Rec:4.40e-04 	 Color:1.31e-05 	Time: 0.43
epoch 600:	gram:7.83e-04 	 Rec:6.37e-04 	 Color:1.41e-05 	Time: 0.43
epoch 650:	gram:1.22e-03 	 Rec:4.25e-04 	 Color:1.76e-05 	Time: 0.43
epoch 700:	gram:1.06e-03 	 Rec:4.65e-04 	 Color:1.69e-05 	Time: 0.41
epoch 750:	gram:6.14e-04 	 Rec:3.91e-04 	 Color:2.08e-05 	Time: 0.41
epoch 800:	gram:6.85e-04 	 Rec:3.87e-04 	 Color:1.58e-05 	Time: 0.42
epoch 850:	gram:9.67e-04 	 Rec:4.66e-04 	 Color:2.01e-05 	Time: 0.43
epoch 900:	gram:6.97e-04 	 Rec:4.23e-04 	 Color:1.48e-05 	Time: 0.45
epoch 950:	gram:8.85e-04 	 Rec:4.03e-04 	 Color:2.07e-05 	Time: 0.43
epoch 1000:	gram:8.53e-04 	 Rec:3.05e-04 	 Color:1.91e-05 	Time: 0.41
epoch 1050:	gram:8.00e-04 	 Rec:2.86e-04 	 Color:1.71e-05 	Time: 0.48
epoch 1100:	gram:7.13e-04 	 Rec:3.75e-04 	 Color:2.13e-05 	Time: 0.48
epoch 1150:	gram:7.33e-04 	 Rec:2.58e-04 	 Color:1.75e-05 	Time: 0.46
epoch 1200:	gram:6.71e-04 	 Rec:2.20e-04 	 Color:1.48e-05 	Time: 0.45
epoch 1250:	gram:8.41e-04 	 Rec:2.84e-04 	 Color:1.75e-05 	Time: 0.45
epoch 1300:	gram:7.94e-04 	 Rec:2.99e-04 	 Color:1.98e-05 	Time: 0.45
epoch 1350:	gram:8.68e-04 	 Rec:2.76e-04 	 Color:1.65e-05 	Time: 0.43
epoch 1400:	gram:7.25e-04 	 Rec:1.92e-04 	 Color:1.41e-05 	Time: 0.44
epoch 1450:	gram:5.48e-04 	 Rec:1.94e-04 	 Color:1.43e-05 	Time: 0.44
epoch 1500:	gram:1.15e-03 	 Rec:3.73e-04 	 Color:1.99e-05 	Time: 0.42
epoch 1550:	gram:8.56e-04 	 Rec:1.88e-04 	 Color:1.15e-05 	Time: 0.44
epoch 1600:	gram:1.31e-03 	 Rec:1.73e-04 	 Color:1.51e-05 	Time: 0.46
epoch 1650:	gram:7.64e-04 	 Rec:2.54e-04 	 Color:1.83e-05 	Time: 0.41
epoch 1700:	gram:1.15e-03 	 Rec:1.64e-04 	 Color:1.43e-05 	Time: 0.46
epoch 1750:	gram:7.34e-04 	 Rec:1.83e-04 	 Color:1.88e-05 	Time: 0.43
epoch 1800:	gram:5.13e-04 	 Rec:2.09e-04 	 Color:1.70e-05 	Time: 0.40
epoch 1850:	gram:8.61e-04 	 Rec:1.91e-04 	 Color:1.82e-05 	Time: 0.40
epoch 1900:	gram:5.82e-04 	 Rec:1.52e-04 	 Color:1.42e-05 	Time: 0.45
epoch 1950:	gram:9.36e-04 	 Rec:2.02e-04 	 Color:1.37e-05 	Time: 0.44
epoch 2000:	gram:6.16e-04 	 Rec:2.03e-04 	 Color:1.36e-05 	Time: 0.43
epoch 2050:	gram:7.13e-04 	 Rec:1.77e-04 	 Color:2.06e-05 	Time: 0.44
epoch 2100:	gram:8.08e-04 	 Rec:1.55e-04 	 Color:2.84e-05 	Time: 0.41
epoch 2150:	gram:6.64e-04 	 Rec:1.01e-04 	 Color:1.27e-05 	Time: 0.42
epoch 2200:	gram:5.86e-04 	 Rec:1.44e-04 	 Color:1.64e-05 	Time: 0.40
epoch 2250:	gram:1.40e-03 	 Rec:1.64e-04 	 Color:2.22e-05 	Time: 0.42
epoch 2300:	gram:6.13e-04 	 Rec:2.58e-04 	 Color:2.03e-05 	Time: 0.43
epoch 2350:	gram:1.13e-03 	 Rec:1.40e-04 	 Color:1.61e-05 	Time: 0.40
epoch 2400:	gram:8.39e-04 	 Rec:2.51e-04 	 Color:1.46e-05 	Time: 0.44
epoch 2450:	gram:8.72e-04 	 Rec:1.90e-04 	 Color:2.46e-05 	Time: 0.42
epoch 2500:	gram:7.48e-04 	 Rec:1.73e-04 	 Color:1.61e-05 	Time: 0.40
epoch 2550:	gram:1.16e-03 	 Rec:1.60e-04 	 Color:1.41e-05 	Time: 0.44
epoch 2600:	gram:6.20e-04 	 Rec:2.55e-04 	 Color:1.69e-05 	Time: 0.44
epoch 2650:	gram:6.91e-04 	 Rec:1.99e-04 	 Color:1.32e-05 	Time: 0.43
epoch 2700:	gram:6.04e-04 	 Rec:1.08e-04 	 Color:1.20e-05 	Time: 0.42
epoch 2750:	gram:7.06e-04 	 Rec:1.67e-04 	 Color:1.91e-05 	Time: 0.44
epoch 2800:	gram:8.81e-04 	 Rec:1.66e-04 	 Color:1.29e-05 	Time: 0.45
epoch 2850:	gram:5.22e-04 	 Rec:2.18e-04 	 Color:1.17e-05 	Time: 0.42
epoch 2900:	gram:7.23e-04 	 Rec:1.32e-04 	 Color:2.11e-05 	Time: 0.44
epoch 2950:	gram:5.47e-04 	 Rec:1.04e-04 	 Color:1.21e-05 	Time: 0.42
epoch 3000:	gram:5.40e-04 	 Rec:1.64e-04 	 Color:1.77e-05 	Time: 0.44
epoch 3050:	gram:5.78e-04 	 Rec:1.27e-04 	 Color:1.93e-05 	Time: 0.42
epoch 3100:	gram:9.09e-04 	 Rec:1.88e-04 	 Color:2.05e-05 	Time: 0.41
epoch 3150:	gram:4.34e-04 	 Rec:1.06e-04 	 Color:1.26e-05 	Time: 0.45
epoch 3200:	gram:5.94e-04 	 Rec:1.30e-04 	 Color:8.48e-06 	Time: 0.41
epoch 3250:	gram:4.16e-04 	 Rec:2.33e-04 	 Color:9.62e-06 	Time: 0.39
epoch 3300:	gram:7.18e-04 	 Rec:1.29e-04 	 Color:1.70e-05 	Time: 0.41
epoch 3350:	gram:5.63e-04 	 Rec:9.85e-05 	 Color:1.53e-05 	Time: 0.43
epoch 3400:	gram:7.23e-04 	 Rec:1.08e-04 	 Color:1.43e-05 	Time: 0.43
epoch 3450:	gram:5.03e-04 	 Rec:1.21e-04 	 Color:1.77e-05 	Time: 0.44
epoch 3500:	gram:6.28e-04 	 Rec:1.13e-04 	 Color:2.07e-05 	Time: 0.42
epoch 3550:	gram:7.09e-04 	 Rec:1.70e-04 	 Color:1.74e-05 	Time: 0.42
epoch 3600:	gram:1.02e-03 	 Rec:3.08e-04 	 Color:2.44e-05 	Time: 0.42
epoch 3650:	gram:5.03e-04 	 Rec:1.13e-04 	 Color:1.56e-05 	Time: 0.41
epoch 3700:	gram:6.90e-04 	 Rec:1.53e-04 	 Color:1.66e-05 	Time: 0.39
