epoch 0:	pdl:1.56e+00 	 Rec:1.14e-01 	 Color:2.63e-01 	Time: 0.04
epoch 50:	pdl:3.52e-01 	 Rec:6.50e-03 	 Color:1.01e-01 	Time: 3.78
epoch 100:	pdl:3.79e-01 	 Rec:1.05e-02 	 Color:1.28e-01 	Time: 3.62
epoch 150:	pdl:3.27e-01 	 Rec:7.79e-03 	 Color:1.23e-01 	Time: 3.72
epoch 200:	pdl:2.90e-01 	 Rec:6.29e-03 	 Color:1.02e-01 	Time: 3.75
epoch 250:	pdl:2.87e-01 	 Rec:6.31e-03 	 Color:1.06e-01 	Time: 4.09
epoch 300:	pdl:2.99e-01 	 Rec:7.53e-03 	 Color:1.10e-01 	Time: 4.10
epoch 350:	pdl:2.79e-01 	 Rec:5.89e-03 	 Color:9.88e-02 	Time: 4.10
epoch 400:	pdl:3.09e-01 	 Rec:6.45e-03 	 Color:1.11e-01 	Time: 4.11
epoch 450:	pdl:3.41e-01 	 Rec:5.52e-03 	 Color:9.50e-02 	Time: 3.92
epoch 500:	pdl:3.50e-01 	 Rec:5.79e-03 	 Color:8.63e-02 	Time: 4.09
epoch 550:	pdl:3.15e-01 	 Rec:6.50e-03 	 Color:9.47e-02 	Time: 3.99
epoch 600:	pdl:3.27e-01 	 Rec:5.69e-03 	 Color:9.90e-02 	Time: 3.88
epoch 650:	pdl:2.60e-01 	 Rec:5.22e-03 	 Color:9.14e-02 	Time: 4.06
epoch 700:	pdl:2.48e-01 	 Rec:5.50e-03 	 Color:9.75e-02 	Time: 3.83
epoch 750:	pdl:3.22e-01 	 Rec:5.56e-03 	 Color:9.92e-02 	Time: 4.12
epoch 800:	pdl:2.64e-01 	 Rec:6.15e-03 	 Color:9.99e-02 	Time: 4.11
epoch 850:	pdl:2.78e-01 	 Rec:5.70e-03 	 Color:1.05e-01 	Time: 4.10
epoch 900:	pdl:2.77e-01 	 Rec:6.19e-03 	 Color:9.73e-02 	Time: 4.12
epoch 950:	pdl:3.01e-01 	 Rec:5.53e-03 	 Color:9.15e-02 	Time: 4.01
epoch 1000:	pdl:2.63e-01 	 Rec:5.49e-03 	 Color:1.07e-01 	Time: 3.97
epoch 1050:	pdl:2.88e-01 	 Rec:5.20e-03 	 Color:9.75e-02 	Time: 4.27
epoch 1100:	pdl:3.13e-01 	 Rec:5.53e-03 	 Color:1.07e-01 	Time: 4.09
epoch 1150:	pdl:3.29e-01 	 Rec:6.17e-03 	 Color:1.00e-01 	Time: 4.08
epoch 1200:	pdl:2.48e-01 	 Rec:5.43e-03 	 Color:9.11e-02 	Time: 4.05
epoch 1250:	pdl:3.88e-01 	 Rec:5.60e-03 	 Color:9.08e-02 	Time: 4.07
epoch 1300:	pdl:2.90e-01 	 Rec:5.34e-03 	 Color:9.62e-02 	Time: 4.09
epoch 1350:	pdl:2.80e-01 	 Rec:5.54e-03 	 Color:9.28e-02 	Time: 4.02
epoch 1400:	pdl:2.85e-01 	 Rec:5.77e-03 	 Color:9.29e-02 	Time: 4.09
epoch 1450:	pdl:2.83e-01 	 Rec:5.13e-03 	 Color:9.77e-02 	Time: 4.03
