epoch 3000:	pdl:6.81e-01 	 Rec:5.54e-03 	 Color:1.04e-05 	Time: 0.35
epoch 3050:	pdl:6.71e-01 	 Rec:3.26e-04 	 Color:1.13e-05 	Time: 0.38
epoch 3100:	pdl:7.06e-01 	 Rec:4.53e-04 	 Color:1.40e-05 	Time: 0.35
epoch 3150:	pdl:6.36e-01 	 Rec:9.11e-04 	 Color:1.63e-05 	Time: 0.35
epoch 3200:	pdl:6.60e-01 	 Rec:5.92e-04 	 Color:1.17e-05 	Time: 0.35
epoch 3250:	pdl:6.29e-01 	 Rec:9.73e-04 	 Color:1.85e-05 	Time: 0.35
epoch 3300:	pdl:7.00e-01 	 Rec:4.71e-04 	 Color:1.73e-05 	Time: 0.34
epoch 3350:	pdl:6.69e-01 	 Rec:3.93e-04 	 Color:1.02e-05 	Time: 0.36
epoch 3400:	pdl:6.40e-01 	 Rec:7.42e-04 	 Color:9.70e-06 	Time: 0.34
epoch 3450:	pdl:6.32e-01 	 Rec:4.46e-04 	 Color:1.45e-05 	Time: 0.34
epoch 3500:	pdl:6.22e-01 	 Rec:8.60e-04 	 Color:8.37e-06 	Time: 0.34
epoch 3550:	pdl:6.81e-01 	 Rec:1.16e-03 	 Color:1.48e-05 	Time: 0.34
epoch 3600:	pdl:6.39e-01 	 Rec:1.23e-03 	 Color:9.40e-06 	Time: 0.34
epoch 3650:	pdl:6.27e-01 	 Rec:5.82e-04 	 Color:1.72e-05 	Time: 0.35
epoch 3700:	pdl:6.59e-01 	 Rec:6.95e-04 	 Color:1.26e-05 	Time: 0.38
epoch 3750:	pdl:6.50e-01 	 Rec:1.01e-03 	 Color:1.83e-05 	Time: 0.36
epoch 3800:	pdl:6.33e-01 	 Rec:2.59e-04 	 Color:1.09e-05 	Time: 0.39
epoch 3850:	pdl:6.37e-01 	 Rec:3.45e-04 	 Color:1.18e-05 	Time: 0.36
epoch 3900:	pdl:6.84e-01 	 Rec:7.54e-04 	 Color:1.05e-05 	Time: 0.40
epoch 3950:	pdl:6.44e-01 	 Rec:1.09e-03 	 Color:1.46e-05 	Time: 0.41
epoch 4000:	pdl:6.53e-01 	 Rec:1.54e-03 	 Color:1.49e-05 	Time: 0.40
epoch 4050:	pdl:6.82e-01 	 Rec:3.97e-04 	 Color:1.28e-05 	Time: 0.39
epoch 4100:	pdl:6.35e-01 	 Rec:1.29e-03 	 Color:1.21e-05 	Time: 0.35
epoch 4150:	pdl:6.43e-01 	 Rec:5.89e-04 	 Color:2.55e-05 	Time: 0.34
epoch 4200:	pdl:6.74e-01 	 Rec:9.04e-04 	 Color:1.61e-05 	Time: 0.38
epoch 4250:	pdl:6.36e-01 	 Rec:8.20e-04 	 Color:1.26e-05 	Time: 0.35
epoch 4300:	pdl:6.81e-01 	 Rec:7.92e-04 	 Color:1.89e-05 	Time: 0.36
