epoch 3900:	pdl:4.83e-01 	 Rec:3.71e-02 	Time: 0.94
epoch 3950:	pdl:4.63e-01 	 Rec:4.07e-02 	Time: 0.94
epoch 4000:	pdl:5.20e-01 	 Rec:3.67e-02 	Time: 0.95
epoch 4050:	pdl:5.11e-01 	 Rec:3.54e-02 	Time: 0.94
epoch 4100:	pdl:5.29e-01 	 Rec:3.81e-02 	Time: 0.97
epoch 4150:	pdl:4.95e-01 	 Rec:3.56e-02 	Time: 0.96
epoch 4200:	pdl:4.36e-01 	 Rec:3.09e-02 	Time: 0.94
epoch 4250:	pdl:4.66e-01 	 Rec:3.56e-02 	Time: 0.95
epoch 4300:	pdl:4.64e-01 	 Rec:3.18e-02 	Time: 0.94
epoch 4350:	pdl:4.59e-01 	 Rec:3.44e-02 	Time: 0.94
epoch 4400:	pdl:4.84e-01 	 Rec:4.29e-02 	Time: 0.92
epoch 4450:	pdl:4.92e-01 	 Rec:3.27e-02 	Time: 0.95
epoch 4500:	pdl:4.84e-01 	 Rec:3.39e-02 	Time: 0.94
epoch 4550:	pdl:4.92e-01 	 Rec:4.06e-02 	Time: 0.94
epoch 4600:	pdl:4.98e-01 	 Rec:2.96e-02 	Time: 0.93
epoch 4650:	pdl:4.44e-01 	 Rec:3.63e-02 	Time: 0.94
epoch 4700:	pdl:4.97e-01 	 Rec:3.18e-02 	Time: 0.94
epoch 4750:	pdl:4.61e-01 	 Rec:2.99e-02 	Time: 0.90
epoch 4800:	pdl:5.11e-01 	 Rec:3.99e-02 	Time: 0.91
epoch 4850:	pdl:4.56e-01 	 Rec:3.26e-02 	Time: 0.92
epoch 4900:	pdl:4.59e-01 	 Rec:3.14e-02 	Time: 0.95
epoch 4950:	pdl:4.63e-01 	 Rec:3.35e-02 	Time: 0.90
epoch 5000:	pdl:5.38e-01 	 Rec:3.39e-02 	Time: 0.92
epoch 5050:	pdl:5.27e-01 	 Rec:3.13e-02 	Time: 0.91
epoch 5100:	pdl:4.70e-01 	 Rec:2.72e-02 	Time: 0.92
epoch 5150:	pdl:4.89e-01 	 Rec:3.03e-02 	Time: 0.92
epoch 5200:	pdl:4.90e-01 	 Rec:3.77e-02 	Time: 0.93
epoch 5250:	pdl:4.71e-01 	 Rec:3.14e-02 	Time: 0.93
epoch 5300:	pdl:4.69e-01 	 Rec:3.25e-02 	Time: 0.91
epoch 5350:	pdl:4.60e-01 	 Rec:2.93e-02 	Time: 0.91
epoch 5400:	pdl:4.64e-01 	 Rec:3.05e-02 	Time: 0.91
epoch 5450:	pdl:5.11e-01 	 Rec:2.85e-02 	Time: 0.92
epoch 5500:	pdl:4.39e-01 	 Rec:3.05e-02 	Time: 0.94
epoch 5550:	pdl:4.98e-01 	 Rec:3.46e-02 	Time: 0.91
epoch 5600:	pdl:4.57e-01 	 Rec:3.09e-02 	Time: 0.90
epoch 5650:	pdl:4.64e-01 	 Rec:3.20e-02 	Time: 0.92
epoch 5700:	pdl:4.64e-01 	 Rec:2.90e-02 	Time: 0.91
epoch 5750:	pdl:4.61e-01 	 Rec:2.86e-02 	Time: 0.90
epoch 5800:	pdl:4.65e-01 	 Rec:3.07e-02 	Time: 0.95
epoch 5850:	pdl:4.93e-01 	 Rec:2.81e-02 	Time: 0.91
epoch 5900:	pdl:4.53e-01 	 Rec:2.82e-02 	Time: 0.92
epoch 5950:	pdl:4.85e-01 	 Rec:3.08e-02 	Time: 0.91
epoch 6000:	pdl:4.78e-01 	 Rec:3.15e-02 	Time: 0.91
epoch 6050:	pdl:4.62e-01 	 Rec:2.91e-02 	Time: 0.94
epoch 6100:	pdl:4.85e-01 	 Rec:3.42e-02 	Time: 0.92
epoch 6150:	pdl:4.47e-01 	 Rec:3.20e-02 	Time: 0.91
epoch 6200:	pdl:4.60e-01 	 Rec:2.91e-02 	Time: 0.90
epoch 6250:	pdl:4.50e-01 	 Rec:3.08e-02 	Time: 0.92
epoch 6300:	pdl:4.81e-01 	 Rec:3.09e-02 	Time: 0.90
epoch 6350:	pdl:4.55e-01 	 Rec:3.26e-02 	Time: 0.92
epoch 6400:	pdl:4.37e-01 	 Rec:2.48e-02 	Time: 0.92
epoch 6450:	pdl:4.91e-01 	 Rec:3.12e-02 	Time: 0.92
epoch 6500:	pdl:4.69e-01 	 Rec:2.56e-02 	Time: 0.93
epoch 6550:	pdl:4.72e-01 	 Rec:2.76e-02 	Time: 0.94
epoch 6600:	pdl:4.54e-01 	 Rec:2.50e-02 	Time: 0.91
epoch 6650:	pdl:4.70e-01 	 Rec:3.22e-02 	Time: 0.93
epoch 6700:	pdl:4.86e-01 	 Rec:3.03e-02 	Time: 0.91
epoch 6750:	pdl:4.37e-01 	 Rec:3.48e-02 	Time: 0.92
epoch 6800:	pdl:4.42e-01 	 Rec:2.76e-02 	Time: 0.90
epoch 6850:	pdl:5.04e-01 	 Rec:4.09e-02 	Time: 0.92
epoch 6900:	pdl:4.63e-01 	 Rec:3.24e-02 	Time: 0.91
epoch 6950:	pdl:4.51e-01 	 Rec:2.77e-02 	Time: 0.92
epoch 7000:	pdl:4.76e-01 	 Rec:2.67e-02 	Time: 0.92
