epoch 0:	pdl:9.61e-01 	 Rec:7.18e-02 	 Color:8.39e-02 	Time: 0.06
epoch 50:	pdl:3.61e-01 	 Rec:1.38e-02 	 Color:5.14e-02 	Time: 1.08
epoch 100:	pdl:3.78e-01 	 Rec:1.00e-02 	 Color:7.04e-02 	Time: 1.09
epoch 150:	pdl:4.14e-01 	 Rec:7.93e-03 	 Color:6.45e-02 	Time: 1.06
epoch 200:	pdl:4.22e-01 	 Rec:6.52e-03 	 Color:7.41e-02 	Time: 1.06
epoch 250:	pdl:4.35e-01 	 Rec:5.75e-03 	 Color:7.08e-02 	Time: 1.07
epoch 300:	pdl:3.71e-01 	 Rec:4.73e-03 	 Color:7.00e-02 	Time: 1.05
epoch 350:	pdl:4.08e-01 	 Rec:4.20e-03 	 Color:6.53e-02 	Time: 1.06
epoch 400:	pdl:3.91e-01 	 Rec:3.48e-03 	 Color:7.04e-02 	Time: 1.07
epoch 450:	pdl:3.44e-01 	 Rec:2.98e-03 	 Color:6.07e-02 	Time: 1.06
epoch 500:	pdl:3.83e-01 	 Rec:2.82e-03 	 Color:6.89e-02 	Time: 1.08
epoch 550:	pdl:3.20e-01 	 Rec:2.60e-03 	 Color:6.40e-02 	Time: 1.05
epoch 600:	pdl:3.46e-01 	 Rec:2.33e-03 	 Color:7.06e-02 	Time: 1.06
epoch 650:	pdl:4.08e-01 	 Rec:2.10e-03 	 Color:7.43e-02 	Time: 1.06
epoch 700:	pdl:3.88e-01 	 Rec:2.12e-03 	 Color:6.81e-02 	Time: 1.07
epoch 750:	pdl:3.80e-01 	 Rec:1.89e-03 	 Color:7.58e-02 	Time: 1.10
epoch 800:	pdl:3.75e-01 	 Rec:1.68e-03 	 Color:6.13e-02 	Time: 1.10
epoch 850:	pdl:3.57e-01 	 Rec:1.72e-03 	 Color:6.25e-02 	Time: 1.14
epoch 900:	pdl:3.99e-01 	 Rec:1.47e-03 	 Color:8.92e-02 	Time: 1.05
epoch 950:	pdl:3.45e-01 	 Rec:1.31e-03 	 Color:7.11e-02 	Time: 1.06
epoch 1000:	pdl:3.75e-01 	 Rec:1.32e-03 	 Color:7.41e-02 	Time: 1.08
epoch 1050:	pdl:3.72e-01 	 Rec:1.39e-03 	 Color:7.23e-02 	Time: 1.06
epoch 1100:	pdl:3.77e-01 	 Rec:1.14e-03 	 Color:6.15e-02 	Time: 1.06
epoch 1150:	pdl:3.74e-01 	 Rec:1.24e-03 	 Color:7.44e-02 	Time: 1.07
epoch 1200:	pdl:3.49e-01 	 Rec:1.17e-03 	 Color:6.22e-02 	Time: 1.09
epoch 1250:	pdl:3.49e-01 	 Rec:1.07e-03 	 Color:5.92e-02 	Time: 1.06
epoch 1300:	pdl:3.88e-01 	 Rec:1.02e-03 	 Color:7.41e-02 	Time: 1.06
epoch 1350:	pdl:3.89e-01 	 Rec:9.86e-04 	 Color:7.16e-02 	Time: 1.09
epoch 1400:	pdl:3.39e-01 	 Rec:9.16e-04 	 Color:6.52e-02 	Time: 1.05
epoch 1450:	pdl:3.49e-01 	 Rec:8.56e-04 	 Color:7.29e-02 	Time: 1.05
epoch 1500:	pdl:3.61e-01 	 Rec:7.60e-04 	 Color:7.14e-02 	Time: 1.06
epoch 1550:	pdl:3.40e-01 	 Rec:8.19e-04 	 Color:6.76e-02 	Time: 1.08
epoch 1600:	pdl:3.63e-01 	 Rec:8.08e-04 	 Color:6.42e-02 	Time: 1.09
epoch 1650:	pdl:3.60e-01 	 Rec:6.75e-04 	 Color:6.98e-02 	Time: 1.05
epoch 1700:	pdl:3.45e-01 	 Rec:6.59e-04 	 Color:7.41e-02 	Time: 1.08
epoch 1750:	pdl:3.73e-01 	 Rec:6.50e-04 	 Color:7.57e-02 	Time: 1.05
epoch 1800:	pdl:3.65e-01 	 Rec:6.60e-04 	 Color:7.79e-02 	Time: 1.05
epoch 1850:	pdl:3.68e-01 	 Rec:7.04e-04 	 Color:7.16e-02 	Time: 1.07
epoch 1900:	pdl:3.64e-01 	 Rec:7.46e-04 	 Color:7.13e-02 	Time: 1.05
epoch 1950:	pdl:3.34e-01 	 Rec:5.81e-04 	 Color:5.88e-02 	Time: 1.05
epoch 2000:	pdl:3.48e-01 	 Rec:4.90e-04 	 Color:5.89e-02 	Time: 1.06
epoch 2050:	pdl:3.60e-01 	 Rec:5.83e-04 	 Color:6.81e-02 	Time: 1.05
epoch 2100:	pdl:3.56e-01 	 Rec:7.32e-04 	 Color:6.48e-02 	Time: 1.06
epoch 2150:	pdl:3.34e-01 	 Rec:4.90e-04 	 Color:6.76e-02 	Time: 1.04
epoch 2200:	pdl:3.41e-01 	 Rec:5.48e-04 	 Color:6.53e-02 	Time: 1.08
epoch 2250:	pdl:3.31e-01 	 Rec:6.17e-04 	 Color:7.10e-02 	Time: 1.17
epoch 2300:	pdl:3.94e-01 	 Rec:5.82e-04 	 Color:6.88e-02 	Time: 1.10
epoch 2350:	pdl:3.17e-01 	 Rec:5.63e-04 	 Color:5.73e-02 	Time: 1.05
epoch 2400:	pdl:3.49e-01 	 Rec:5.87e-04 	 Color:8.53e-02 	Time: 1.07
epoch 2450:	pdl:3.46e-01 	 Rec:4.68e-04 	 Color:6.01e-02 	Time: 1.07
epoch 2500:	pdl:3.59e-01 	 Rec:4.96e-04 	 Color:6.66e-02 	Time: 1.05
epoch 2550:	pdl:3.50e-01 	 Rec:4.30e-04 	 Color:7.62e-02 	Time: 1.08
epoch 2600:	pdl:3.29e-01 	 Rec:5.35e-04 	 Color:6.89e-02 	Time: 1.06
epoch 2650:	pdl:3.65e-01 	 Rec:5.26e-04 	 Color:7.48e-02 	Time: 1.07
epoch 2700:	pdl:3.50e-01 	 Rec:4.62e-04 	 Color:7.41e-02 	Time: 1.08
epoch 2750:	pdl:3.56e-01 	 Rec:4.67e-04 	 Color:6.92e-02 	Time: 1.09
epoch 2800:	pdl:3.31e-01 	 Rec:4.21e-04 	 Color:5.63e-02 	Time: 1.08
epoch 2850:	pdl:3.98e-01 	 Rec:4.38e-04 	 Color:5.98e-02 	Time: 1.07
epoch 2900:	pdl:3.60e-01 	 Rec:4.39e-04 	 Color:7.20e-02 	Time: 1.07
epoch 2950:	pdl:3.48e-01 	 Rec:4.56e-04 	 Color:5.93e-02 	Time: 1.08
epoch 3000:	pdl:3.47e-01 	 Rec:4.64e-04 	 Color:7.51e-02 	Time: 1.05
epoch 3050:	pdl:3.74e-01 	 Rec:4.62e-04 	 Color:7.53e-02 	Time: 1.10
epoch 3100:	pdl:3.44e-01 	 Rec:4.25e-04 	 Color:5.79e-02 	Time: 1.07
epoch 3150:	pdl:3.52e-01 	 Rec:4.60e-04 	 Color:6.02e-02 	Time: 1.09
epoch 3200:	pdl:3.34e-01 	 Rec:4.07e-04 	 Color:5.93e-02 	Time: 1.07
epoch 3250:	pdl:3.40e-01 	 Rec:3.52e-04 	 Color:7.35e-02 	Time: 1.07
epoch 3300:	pdl:3.32e-01 	 Rec:3.70e-04 	 Color:6.05e-02 	Time: 1.07
epoch 3350:	pdl:3.61e-01 	 Rec:5.12e-04 	 Color:6.82e-02 	Time: 1.09
epoch 3400:	pdl:3.51e-01 	 Rec:5.16e-04 	 Color:7.01e-02 	Time: 1.08
epoch 3450:	pdl:3.43e-01 	 Rec:4.03e-04 	 Color:6.92e-02 	Time: 1.05
epoch 3500:	pdl:3.29e-01 	 Rec:4.20e-04 	 Color:6.23e-02 	Time: 1.08
