epoch 0:	pdl:6.79e-01 	 Rec:1.17e-01 	 Color:2.56e-01 	Time: 0.03
epoch 50:	pdl:2.47e-01 	 Rec:6.81e-03 	 Color:1.26e-01 	Time: 3.87
epoch 100:	pdl:3.38e-01 	 Rec:7.26e-03 	 Color:1.23e-01 	Time: 3.69
epoch 150:	pdl:2.51e-01 	 Rec:6.05e-03 	 Color:1.41e-01 	Time: 3.65
epoch 200:	pdl:2.36e-01 	 Rec:6.10e-03 	 Color:1.37e-01 	Time: 3.60
epoch 250:	pdl:2.14e-01 	 Rec:5.90e-03 	 Color:1.23e-01 	Time: 3.47
epoch 300:	pdl:2.25e-01 	 Rec:5.02e-03 	 Color:1.35e-01 	Time: 3.46
epoch 350:	pdl:2.61e-01 	 Rec:4.73e-03 	 Color:1.23e-01 	Time: 3.72
epoch 400:	pdl:2.47e-01 	 Rec:4.21e-03 	 Color:1.25e-01 	Time: 3.72
epoch 450:	pdl:2.46e-01 	 Rec:4.50e-03 	 Color:1.36e-01 	Time: 3.70
epoch 500:	pdl:2.36e-01 	 Rec:4.57e-03 	 Color:1.18e-01 	Time: 3.68
epoch 550:	pdl:2.58e-01 	 Rec:3.92e-03 	 Color:1.39e-01 	Time: 3.74
epoch 600:	pdl:2.80e-01 	 Rec:4.84e-03 	 Color:1.39e-01 	Time: 3.59
epoch 650:	pdl:2.86e-01 	 Rec:4.30e-03 	 Color:1.28e-01 	Time: 3.47
epoch 700:	pdl:2.57e-01 	 Rec:4.78e-03 	 Color:1.43e-01 	Time: 3.70
epoch 750:	pdl:3.03e-01 	 Rec:3.61e-03 	 Color:1.32e-01 	Time: 3.45
epoch 800:	pdl:2.41e-01 	 Rec:4.10e-03 	 Color:1.23e-01 	Time: 3.52
epoch 850:	pdl:2.77e-01 	 Rec:3.81e-03 	 Color:1.30e-01 	Time: 3.47
epoch 900:	pdl:2.45e-01 	 Rec:3.89e-03 	 Color:1.36e-01 	Time: 2.86
epoch 950:	pdl:2.53e-01 	 Rec:3.86e-03 	 Color:1.21e-01 	Time: 2.70
epoch 1000:	pdl:2.44e-01 	 Rec:3.38e-03 	 Color:1.02e-01 	Time: 2.68
epoch 1050:	pdl:2.39e-01 	 Rec:3.60e-03 	 Color:1.37e-01 	Time: 2.60
epoch 1100:	pdl:2.32e-01 	 Rec:3.69e-03 	 Color:1.29e-01 	Time: 2.58
epoch 1150:	pdl:2.25e-01 	 Rec:3.73e-03 	 Color:1.20e-01 	Time: 2.75
