epoch 0:	gram:1.24e-01 	 Rec:8.78e-02 	 Color:1.59e-06 	Time: 0.02
epoch 50:	gram:5.92e-03 	 Rec:6.27e-03 	 Color:1.20e-06 	Time: 1.00
epoch 100:	gram:5.75e-03 	 Rec:4.51e-03 	 Color:1.02e-06 	Time: 0.86
epoch 150:	gram:4.06e-03 	 Rec:3.97e-03 	 Color:1.00e-06 	Time: 0.86
epoch 200:	gram:5.59e-03 	 Rec:3.82e-03 	 Color:1.10e-06 	Time: 0.86
epoch 250:	gram:4.86e-03 	 Rec:3.50e-03 	 Color:1.18e-06 	Time: 0.89
epoch 300:	gram:5.83e-03 	 Rec:3.33e-03 	 Color:1.13e-06 	Time: 0.86
epoch 350:	gram:6.26e-03 	 Rec:3.21e-03 	 Color:1.01e-06 	Time: 0.87
epoch 400:	gram:4.88e-03 	 Rec:3.07e-03 	 Color:1.04e-06 	Time: 0.86
epoch 450:	gram:4.97e-03 	 Rec:3.18e-03 	 Color:1.07e-06 	Time: 0.86
epoch 500:	gram:5.00e-03 	 Rec:2.96e-03 	 Color:1.08e-06 	Time: 0.86
epoch 550:	gram:4.25e-03 	 Rec:2.81e-03 	 Color:1.04e-06 	Time: 0.86
epoch 600:	gram:4.85e-03 	 Rec:2.75e-03 	 Color:8.57e-07 	Time: 0.86
epoch 650:	gram:7.08e-03 	 Rec:2.73e-03 	 Color:1.11e-06 	Time: 0.89
epoch 700:	gram:5.09e-03 	 Rec:2.64e-03 	 Color:9.50e-07 	Time: 0.86
epoch 750:	gram:5.27e-03 	 Rec:2.55e-03 	 Color:9.28e-07 	Time: 0.86
epoch 800:	gram:5.00e-03 	 Rec:2.49e-03 	 Color:1.06e-06 	Time: 0.85
epoch 850:	gram:4.27e-03 	 Rec:2.43e-03 	 Color:1.28e-06 	Time: 0.88
epoch 900:	gram:5.16e-03 	 Rec:2.38e-03 	 Color:1.08e-06 	Time: 0.87
epoch 950:	gram:4.81e-03 	 Rec:2.37e-03 	 Color:9.94e-07 	Time: 0.91
epoch 1000:	gram:4.76e-03 	 Rec:2.45e-03 	 Color:8.71e-07 	Time: 0.86
epoch 1050:	gram:7.57e-03 	 Rec:2.31e-03 	 Color:1.28e-06 	Time: 0.88
epoch 1100:	gram:5.76e-03 	 Rec:2.23e-03 	 Color:1.14e-06 	Time: 0.85
epoch 1150:	gram:4.42e-03 	 Rec:2.12e-03 	 Color:1.25e-06 	Time: 0.85
epoch 1200:	gram:6.41e-03 	 Rec:2.33e-03 	 Color:1.15e-06 	Time: 0.85
epoch 1250:	gram:4.49e-03 	 Rec:2.09e-03 	 Color:8.97e-07 	Time: 0.85
epoch 1300:	gram:4.24e-03 	 Rec:1.96e-03 	 Color:1.09e-06 	Time: 0.85
epoch 1350:	gram:4.28e-03 	 Rec:2.15e-03 	 Color:1.08e-06 	Time: 0.85
epoch 1400:	gram:4.68e-03 	 Rec:1.96e-03 	 Color:1.15e-06 	Time: 0.85
epoch 1450:	gram:5.96e-03 	 Rec:1.90e-03 	 Color:1.01e-06 	Time: 0.85
epoch 1500:	gram:6.19e-03 	 Rec:1.80e-03 	 Color:1.12e-06 	Time: 0.84
epoch 1550:	gram:5.81e-03 	 Rec:1.86e-03 	 Color:8.69e-07 	Time: 0.85
epoch 1600:	gram:4.75e-03 	 Rec:1.87e-03 	 Color:1.01e-06 	Time: 0.84
epoch 1650:	gram:4.67e-03 	 Rec:1.88e-03 	 Color:1.18e-06 	Time: 0.84
epoch 1700:	gram:5.23e-03 	 Rec:1.69e-03 	 Color:1.09e-06 	Time: 0.84
epoch 1750:	gram:6.21e-03 	 Rec:1.75e-03 	 Color:1.12e-06 	Time: 0.87
epoch 1800:	gram:5.24e-03 	 Rec:1.61e-03 	 Color:1.03e-06 	Time: 0.84
epoch 1850:	gram:4.16e-03 	 Rec:1.61e-03 	 Color:1.05e-06 	Time: 0.85
epoch 1900:	gram:4.53e-03 	 Rec:1.75e-03 	 Color:1.19e-06 	Time: 0.84
epoch 1950:	gram:4.68e-03 	 Rec:1.52e-03 	 Color:1.04e-06 	Time: 0.84
epoch 2000:	gram:4.52e-03 	 Rec:1.61e-03 	 Color:9.85e-07 	Time: 0.85
epoch 2050:	gram:3.82e-03 	 Rec:1.52e-03 	 Color:1.06e-06 	Time: 0.89
epoch 2100:	gram:5.69e-03 	 Rec:1.46e-03 	 Color:1.33e-06 	Time: 0.85
epoch 2150:	gram:6.29e-03 	 Rec:1.42e-03 	 Color:7.14e-07 	Time: 0.86
epoch 2200:	gram:3.72e-03 	 Rec:1.52e-03 	 Color:1.04e-06 	Time: 0.84
epoch 2250:	gram:4.03e-03 	 Rec:1.38e-03 	 Color:1.13e-06 	Time: 0.84
epoch 2300:	gram:4.48e-03 	 Rec:1.51e-03 	 Color:8.70e-07 	Time: 0.84
epoch 2350:	gram:4.19e-03 	 Rec:1.45e-03 	 Color:1.07e-06 	Time: 0.84
epoch 2400:	gram:5.62e-03 	 Rec:1.29e-03 	 Color:1.29e-06 	Time: 0.86
epoch 2450:	gram:5.50e-03 	 Rec:1.34e-03 	 Color:1.09e-06 	Time: 0.84
epoch 2500:	gram:4.27e-03 	 Rec:1.36e-03 	 Color:9.69e-07 	Time: 0.84
epoch 2550:	gram:4.81e-03 	 Rec:1.21e-03 	 Color:1.13e-06 	Time: 0.87
epoch 2600:	gram:3.98e-03 	 Rec:1.23e-03 	 Color:9.95e-07 	Time: 0.85
epoch 2650:	gram:3.25e-03 	 Rec:1.38e-03 	 Color:1.14e-06 	Time: 0.88
epoch 2700:	gram:4.23e-03 	 Rec:1.40e-03 	 Color:1.01e-06 	Time: 0.88
epoch 2750:	gram:4.13e-03 	 Rec:1.23e-03 	 Color:1.11e-06 	Time: 0.87
epoch 2800:	gram:4.63e-03 	 Rec:1.30e-03 	 Color:1.10e-06 	Time: 0.88
epoch 2850:	gram:5.23e-03 	 Rec:1.20e-03 	 Color:8.19e-07 	Time: 0.88
epoch 2900:	gram:6.02e-03 	 Rec:1.21e-03 	 Color:1.00e-06 	Time: 0.87
epoch 2950:	gram:3.83e-03 	 Rec:1.10e-03 	 Color:1.07e-06 	Time: 0.85
epoch 3000:	gram:3.77e-03 	 Rec:1.13e-03 	 Color:1.11e-06 	Time: 0.85
epoch 3050:	gram:4.00e-03 	 Rec:1.04e-03 	 Color:1.02e-06 	Time: 0.88
epoch 3100:	gram:4.31e-03 	 Rec:1.03e-03 	 Color:9.78e-07 	Time: 0.86
epoch 3150:	gram:4.04e-03 	 Rec:1.07e-03 	 Color:8.99e-07 	Time: 0.87
epoch 3200:	gram:3.27e-03 	 Rec:1.12e-03 	 Color:7.97e-07 	Time: 0.86
epoch 3250:	gram:4.34e-03 	 Rec:1.07e-03 	 Color:1.22e-06 	Time: 0.86
epoch 3300:	gram:4.23e-03 	 Rec:9.58e-04 	 Color:9.51e-07 	Time: 0.85
epoch 3350:	gram:4.85e-03 	 Rec:9.50e-04 	 Color:1.22e-06 	Time: 0.85
epoch 3400:	gram:4.35e-03 	 Rec:9.86e-04 	 Color:1.30e-06 	Time: 0.87
epoch 3450:	gram:4.24e-03 	 Rec:1.10e-03 	 Color:9.83e-07 	Time: 0.85
epoch 3500:	gram:6.95e-03 	 Rec:1.43e-03 	 Color:8.38e-07 	Time: 0.87
epoch 3550:	gram:3.87e-03 	 Rec:1.12e-03 	 Color:1.15e-06 	Time: 0.85
epoch 3600:	gram:3.72e-03 	 Rec:9.18e-04 	 Color:1.02e-06 	Time: 0.85
epoch 3650:	gram:3.27e-03 	 Rec:8.86e-04 	 Color:1.08e-06 	Time: 0.85
epoch 3700:	gram:6.71e-03 	 Rec:8.71e-04 	 Color:9.08e-07 	Time: 0.88
epoch 3750:	gram:4.67e-03 	 Rec:1.09e-03 	 Color:9.93e-07 	Time: 0.85
epoch 3800:	gram:4.08e-03 	 Rec:8.66e-04 	 Color:9.11e-07 	Time: 0.85
epoch 3850:	gram:3.84e-03 	 Rec:8.50e-04 	 Color:1.19e-06 	Time: 0.85
epoch 3900:	gram:5.96e-03 	 Rec:8.09e-04 	 Color:1.10e-06 	Time: 0.87
epoch 3950:	gram:3.45e-03 	 Rec:9.66e-04 	 Color:1.05e-06 	Time: 0.85
epoch 4000:	gram:4.90e-03 	 Rec:8.75e-04 	 Color:1.06e-06 	Time: 0.85
epoch 4050:	gram:4.51e-03 	 Rec:7.79e-04 	 Color:9.96e-07 	Time: 0.89
epoch 4100:	gram:3.98e-03 	 Rec:8.58e-04 	 Color:9.98e-07 	Time: 0.85
epoch 4150:	gram:4.59e-03 	 Rec:8.21e-04 	 Color:1.09e-06 	Time: 0.88
epoch 4200:	gram:3.85e-03 	 Rec:7.94e-04 	 Color:1.27e-06 	Time: 0.87
epoch 4250:	gram:4.46e-03 	 Rec:8.19e-04 	 Color:9.01e-07 	Time: 0.87
epoch 4300:	gram:4.67e-03 	 Rec:8.78e-04 	 Color:9.34e-07 	Time: 0.86
epoch 4350:	gram:2.92e-03 	 Rec:7.92e-04 	 Color:1.14e-06 	Time: 0.85
epoch 4400:	gram:4.15e-03 	 Rec:8.43e-04 	 Color:1.01e-06 	Time: 0.87
epoch 4450:	gram:3.91e-03 	 Rec:7.62e-04 	 Color:9.46e-07 	Time: 0.87
epoch 4500:	gram:4.87e-03 	 Rec:6.85e-04 	 Color:1.03e-06 	Time: 0.85
epoch 4550:	gram:4.05e-03 	 Rec:7.80e-04 	 Color:9.80e-07 	Time: 0.86
epoch 4600:	gram:3.63e-03 	 Rec:7.41e-04 	 Color:1.08e-06 	Time: 0.85
epoch 4650:	gram:4.24e-03 	 Rec:7.15e-04 	 Color:1.12e-06 	Time: 0.86
epoch 4700:	gram:3.57e-03 	 Rec:7.21e-04 	 Color:1.01e-06 	Time: 0.85
epoch 4750:	gram:4.64e-03 	 Rec:6.54e-04 	 Color:8.86e-07 	Time: 0.85
epoch 4800:	gram:4.24e-03 	 Rec:8.42e-04 	 Color:8.80e-07 	Time: 0.88
epoch 4850:	gram:3.25e-03 	 Rec:6.66e-04 	 Color:1.03e-06 	Time: 0.82
epoch 4900:	gram:3.84e-03 	 Rec:6.49e-04 	 Color:1.14e-06 	Time: 0.82
epoch 4950:	gram:4.62e-03 	 Rec:6.68e-04 	 Color:9.31e-07 	Time: 0.82
epoch 5000:	gram:4.18e-03 	 Rec:7.61e-04 	 Color:1.13e-06 	Time: 0.83
epoch 5050:	gram:3.87e-03 	 Rec:6.58e-04 	 Color:9.24e-07 	Time: 0.86
epoch 5100:	gram:3.36e-03 	 Rec:5.93e-04 	 Color:1.14e-06 	Time: 0.85
epoch 5150:	gram:4.37e-03 	 Rec:6.34e-04 	 Color:9.90e-07 	Time: 0.85
epoch 5200:	gram:4.09e-03 	 Rec:6.33e-04 	 Color:1.11e-06 	Time: 0.82
epoch 5250:	gram:4.37e-03 	 Rec:6.49e-04 	 Color:9.70e-07 	Time: 0.85
epoch 5300:	gram:4.25e-03 	 Rec:6.59e-04 	 Color:8.53e-07 	Time: 0.86
epoch 5350:	gram:3.62e-03 	 Rec:5.93e-04 	 Color:1.06e-06 	Time: 0.84
epoch 5400:	gram:5.20e-03 	 Rec:7.59e-04 	 Color:1.09e-06 	Time: 0.84
epoch 5450:	gram:4.01e-03 	 Rec:5.83e-04 	 Color:9.24e-07 	Time: 0.83
epoch 5500:	gram:4.05e-03 	 Rec:6.31e-04 	 Color:1.19e-06 	Time: 0.83
epoch 5550:	gram:3.92e-03 	 Rec:5.54e-04 	 Color:1.10e-06 	Time: 0.83
epoch 5600:	gram:6.23e-03 	 Rec:6.33e-04 	 Color:1.13e-06 	Time: 0.83
epoch 5650:	gram:3.86e-03 	 Rec:6.21e-04 	 Color:1.19e-06 	Time: 0.83
epoch 5700:	gram:4.50e-03 	 Rec:5.58e-04 	 Color:1.20e-06 	Time: 0.83
epoch 5750:	gram:3.58e-03 	 Rec:9.03e-04 	 Color:1.17e-06 	Time: 0.83
epoch 5800:	gram:4.15e-03 	 Rec:5.76e-04 	 Color:1.06e-06 	Time: 0.83
epoch 5850:	gram:3.56e-03 	 Rec:6.37e-04 	 Color:1.17e-06 	Time: 0.83
epoch 5900:	gram:3.47e-03 	 Rec:5.24e-04 	 Color:1.01e-06 	Time: 0.86
epoch 5950:	gram:3.41e-03 	 Rec:6.33e-04 	 Color:9.82e-07 	Time: 0.84
epoch 6000:	gram:3.92e-03 	 Rec:5.71e-04 	 Color:8.44e-07 	Time: 0.85
epoch 6050:	gram:3.51e-03 	 Rec:5.98e-04 	 Color:1.10e-06 	Time: 0.86
epoch 6100:	gram:3.83e-03 	 Rec:5.29e-04 	 Color:1.01e-06 	Time: 0.85
epoch 6150:	gram:3.69e-03 	 Rec:5.22e-04 	 Color:1.13e-06 	Time: 0.88
epoch 6200:	gram:3.69e-03 	 Rec:6.24e-04 	 Color:1.12e-06 	Time: 0.87
epoch 6250:	gram:3.60e-03 	 Rec:4.88e-04 	 Color:9.78e-07 	Time: 0.87
epoch 6300:	gram:3.20e-03 	 Rec:6.24e-04 	 Color:1.17e-06 	Time: 0.84
epoch 6350:	gram:3.60e-03 	 Rec:5.42e-04 	 Color:9.29e-07 	Time: 0.85
epoch 6400:	gram:3.70e-03 	 Rec:5.04e-04 	 Color:1.13e-06 	Time: 0.87
epoch 6450:	gram:5.09e-03 	 Rec:5.27e-04 	 Color:1.05e-06 	Time: 0.86
epoch 6500:	gram:6.11e-03 	 Rec:4.94e-04 	 Color:1.02e-06 	Time: 0.85
epoch 6550:	gram:3.47e-03 	 Rec:4.36e-04 	 Color:1.19e-06 	Time: 0.87
epoch 6600:	gram:3.66e-03 	 Rec:5.08e-04 	 Color:1.02e-06 	Time: 0.84
epoch 6650:	gram:3.23e-03 	 Rec:4.71e-04 	 Color:1.02e-06 	Time: 0.85
epoch 6700:	gram:3.88e-03 	 Rec:4.53e-04 	 Color:1.17e-06 	Time: 0.83
epoch 6750:	gram:3.28e-03 	 Rec:5.33e-04 	 Color:7.44e-07 	Time: 0.85
epoch 6800:	gram:4.19e-03 	 Rec:4.84e-04 	 Color:8.98e-07 	Time: 0.83
epoch 6850:	gram:4.29e-03 	 Rec:4.61e-04 	 Color:1.22e-06 	Time: 0.83
epoch 6900:	gram:3.72e-03 	 Rec:5.88e-04 	 Color:1.01e-06 	Time: 0.84
epoch 6950:	gram:3.61e-03 	 Rec:5.06e-04 	 Color:8.63e-07 	Time: 0.84
epoch 7000:	gram:4.08e-03 	 Rec:4.78e-04 	 Color:1.05e-06 	Time: 0.83
epoch 7050:	gram:3.31e-03 	 Rec:4.87e-04 	 Color:9.21e-07 	Time: 0.84
epoch 7100:	gram:3.88e-03 	 Rec:4.52e-04 	 Color:9.34e-07 	Time: 0.85
epoch 7150:	gram:3.69e-03 	 Rec:4.31e-04 	 Color:8.62e-07 	Time: 0.84
epoch 7200:	gram:3.75e-03 	 Rec:5.14e-04 	 Color:1.03e-06 	Time: 0.84
epoch 7250:	gram:3.01e-03 	 Rec:4.64e-04 	 Color:1.04e-06 	Time: 0.83
epoch 7300:	gram:4.55e-03 	 Rec:4.24e-04 	 Color:9.31e-07 	Time: 0.83
epoch 7350:	gram:3.34e-03 	 Rec:4.23e-04 	 Color:9.24e-07 	Time: 0.83
epoch 7400:	gram:3.89e-03 	 Rec:5.12e-04 	 Color:1.07e-06 	Time: 0.83
epoch 7450:	gram:5.29e-03 	 Rec:4.18e-04 	 Color:1.10e-06 	Time: 0.84
epoch 7500:	gram:3.85e-03 	 Rec:4.77e-04 	 Color:1.18e-06 	Time: 0.85
epoch 7550:	gram:3.96e-03 	 Rec:4.43e-04 	 Color:9.77e-07 	Time: 0.86
epoch 7600:	gram:5.08e-03 	 Rec:4.97e-04 	 Color:9.73e-07 	Time: 0.85
epoch 7650:	gram:3.83e-03 	 Rec:4.31e-04 	 Color:9.65e-07 	Time: 0.86
epoch 7700:	gram:3.12e-03 	 Rec:4.28e-04 	 Color:1.01e-06 	Time: 0.86
epoch 7750:	gram:3.89e-03 	 Rec:5.51e-04 	 Color:9.25e-07 	Time: 0.83
epoch 7800:	gram:3.93e-03 	 Rec:4.98e-04 	 Color:1.05e-06 	Time: 0.86
epoch 7850:	gram:3.98e-03 	 Rec:3.91e-04 	 Color:1.01e-06 	Time: 0.83
epoch 7900:	gram:3.86e-03 	 Rec:5.15e-04 	 Color:1.08e-06 	Time: 0.85
epoch 7950:	gram:3.22e-03 	 Rec:4.73e-04 	 Color:1.05e-06 	Time: 0.83
