epoch 0:	gram:3.84e-02 	 Rec:5.56e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	gram:1.01e-02 	 Rec:7.41e-03 	 Color:0.00e+00 	Time: 0.70
epoch 100:	gram:1.21e-02 	 Rec:5.91e-03 	 Color:0.00e+00 	Time: 0.58
epoch 150:	gram:9.27e-03 	 Rec:5.95e-03 	 Color:0.00e+00 	Time: 0.60
epoch 200:	gram:9.91e-03 	 Rec:5.61e-03 	 Color:0.00e+00 	Time: 0.57
epoch 250:	gram:1.08e-02 	 Rec:5.85e-03 	 Color:0.00e+00 	Time: 0.59
epoch 300:	gram:9.11e-03 	 Rec:5.82e-03 	 Color:0.00e+00 	Time: 0.56
epoch 350:	gram:9.94e-03 	 Rec:5.34e-03 	 Color:0.00e+00 	Time: 0.56
epoch 400:	gram:8.36e-03 	 Rec:5.37e-03 	 Color:0.00e+00 	Time: 0.56
epoch 450:	gram:1.08e-02 	 Rec:5.12e-03 	 Color:0.00e+00 	Time: 0.58
epoch 500:	gram:8.60e-03 	 Rec:4.90e-03 	 Color:0.00e+00 	Time: 0.59
epoch 550:	gram:1.29e-02 	 Rec:5.46e-03 	 Color:0.00e+00 	Time: 0.56
epoch 600:	gram:8.92e-03 	 Rec:5.15e-03 	 Color:0.00e+00 	Time: 0.56
epoch 650:	gram:9.97e-03 	 Rec:4.42e-03 	 Color:0.00e+00 	Time: 0.56
epoch 700:	gram:1.02e-02 	 Rec:4.47e-03 	 Color:0.00e+00 	Time: 0.58
epoch 750:	gram:1.05e-02 	 Rec:4.23e-03 	 Color:0.00e+00 	Time: 0.58
epoch 800:	gram:1.20e-02 	 Rec:7.08e-03 	 Color:0.00e+00 	Time: 0.60
epoch 850:	gram:8.75e-03 	 Rec:4.20e-03 	 Color:0.00e+00 	Time: 0.62
epoch 900:	gram:8.49e-03 	 Rec:4.19e-03 	 Color:0.00e+00 	Time: 0.58
epoch 950:	gram:7.96e-03 	 Rec:5.33e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1000:	gram:7.28e-03 	 Rec:3.95e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1050:	gram:1.62e-02 	 Rec:3.97e-03 	 Color:0.00e+00 	Time: 0.59
epoch 1100:	gram:8.47e-03 	 Rec:3.82e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1150:	gram:7.05e-03 	 Rec:3.84e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1200:	gram:8.26e-03 	 Rec:3.74e-03 	 Color:0.00e+00 	Time: 0.59
epoch 1250:	gram:7.12e-03 	 Rec:3.80e-03 	 Color:0.00e+00 	Time: 0.58
epoch 1300:	gram:9.72e-03 	 Rec:3.61e-03 	 Color:0.00e+00 	Time: 0.58
epoch 1350:	gram:8.54e-03 	 Rec:3.71e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1400:	gram:9.25e-03 	 Rec:3.45e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1450:	gram:8.14e-03 	 Rec:3.29e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1500:	gram:9.96e-03 	 Rec:4.03e-03 	 Color:0.00e+00 	Time: 0.55
epoch 1550:	gram:9.23e-03 	 Rec:3.62e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1600:	gram:9.26e-03 	 Rec:3.74e-03 	 Color:0.00e+00 	Time: 0.54
epoch 1650:	gram:7.99e-03 	 Rec:3.50e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1700:	gram:1.12e-02 	 Rec:3.27e-03 	 Color:0.00e+00 	Time: 0.54
epoch 1750:	gram:8.82e-03 	 Rec:3.45e-03 	 Color:0.00e+00 	Time: 0.54
epoch 1800:	gram:7.83e-03 	 Rec:3.01e-03 	 Color:0.00e+00 	Time: 0.54
epoch 1850:	gram:9.59e-03 	 Rec:2.96e-03 	 Color:0.00e+00 	Time: 0.58
epoch 1900:	gram:7.49e-03 	 Rec:3.28e-03 	 Color:0.00e+00 	Time: 0.59
epoch 1950:	gram:9.54e-03 	 Rec:4.11e-03 	 Color:0.00e+00 	Time: 0.59
epoch 2000:	gram:7.05e-03 	 Rec:3.09e-03 	 Color:0.00e+00 	Time: 0.56
epoch 2050:	gram:1.14e-02 	 Rec:4.16e-03 	 Color:0.00e+00 	Time: 0.59
epoch 2100:	gram:8.28e-03 	 Rec:3.08e-03 	 Color:0.00e+00 	Time: 0.58
epoch 2150:	gram:9.94e-03 	 Rec:3.11e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2200:	gram:9.20e-03 	 Rec:3.04e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2250:	gram:7.76e-03 	 Rec:2.80e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2300:	gram:7.14e-03 	 Rec:2.78e-03 	 Color:0.00e+00 	Time: 0.58
epoch 2350:	gram:8.13e-03 	 Rec:2.86e-03 	 Color:0.00e+00 	Time: 0.59
epoch 2400:	gram:8.70e-03 	 Rec:3.07e-03 	 Color:0.00e+00 	Time: 0.57
epoch 2450:	gram:8.00e-03 	 Rec:2.94e-03 	 Color:0.00e+00 	Time: 0.57
epoch 2500:	gram:8.99e-03 	 Rec:3.21e-03 	 Color:0.00e+00 	Time: 0.56
epoch 2550:	gram:8.75e-03 	 Rec:2.92e-03 	 Color:0.00e+00 	Time: 0.56
epoch 2600:	gram:9.43e-03 	 Rec:2.82e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2650:	gram:6.66e-03 	 Rec:2.71e-03 	 Color:0.00e+00 	Time: 0.60
epoch 2700:	gram:8.94e-03 	 Rec:3.20e-03 	 Color:0.00e+00 	Time: 0.57
epoch 2750:	gram:7.16e-03 	 Rec:2.78e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2800:	gram:6.56e-03 	 Rec:2.77e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2850:	gram:6.93e-03 	 Rec:2.71e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2900:	gram:7.65e-03 	 Rec:2.79e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2950:	gram:7.78e-03 	 Rec:2.74e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3000:	gram:8.04e-03 	 Rec:2.86e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3050:	gram:8.86e-03 	 Rec:2.73e-03 	 Color:0.00e+00 	Time: 0.58
epoch 3100:	gram:8.61e-03 	 Rec:2.98e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3150:	gram:9.18e-03 	 Rec:2.87e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3200:	gram:8.20e-03 	 Rec:2.49e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3250:	gram:8.48e-03 	 Rec:2.43e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3300:	gram:8.12e-03 	 Rec:2.60e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3350:	gram:7.48e-03 	 Rec:2.92e-03 	 Color:0.00e+00 	Time: 0.57
epoch 3400:	gram:8.33e-03 	 Rec:2.57e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3450:	gram:7.79e-03 	 Rec:2.63e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3500:	gram:7.64e-03 	 Rec:2.36e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3550:	gram:7.74e-03 	 Rec:2.79e-03 	 Color:0.00e+00 	Time: 0.57
epoch 3600:	gram:6.92e-03 	 Rec:2.54e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3650:	gram:1.18e-02 	 Rec:2.54e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3700:	gram:8.60e-03 	 Rec:2.26e-03 	 Color:0.00e+00 	Time: 0.55
epoch 3750:	gram:8.13e-03 	 Rec:2.47e-03 	 Color:0.00e+00 	Time: 0.58
epoch 3800:	gram:1.12e-02 	 Rec:3.28e-03 	 Color:0.00e+00 	Time: 0.58
epoch 3850:	gram:6.61e-03 	 Rec:3.35e-03 	 Color:0.00e+00 	Time: 0.56
epoch 3900:	gram:7.18e-03 	 Rec:2.74e-03 	 Color:0.00e+00 	Time: 0.56
epoch 3950:	gram:6.50e-03 	 Rec:2.72e-03 	 Color:0.00e+00 	Time: 0.56
epoch 4000:	gram:9.81e-03 	 Rec:2.63e-03 	 Color:0.00e+00 	Time: 0.56
epoch 4050:	gram:6.83e-03 	 Rec:2.37e-03 	 Color:0.00e+00 	Time: 0.59
epoch 4100:	gram:8.29e-03 	 Rec:2.38e-03 	 Color:0.00e+00 	Time: 0.57
epoch 4150:	gram:6.91e-03 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 0.56
epoch 4200:	gram:8.92e-03 	 Rec:2.83e-03 	 Color:0.00e+00 	Time: 0.56
epoch 4250:	gram:7.66e-03 	 Rec:2.45e-03 	 Color:0.00e+00 	Time: 0.55
epoch 4300:	gram:7.78e-03 	 Rec:2.43e-03 	 Color:0.00e+00 	Time: 0.61
epoch 4350:	gram:7.50e-03 	 Rec:2.49e-03 	 Color:0.00e+00 	Time: 0.60
epoch 4400:	gram:7.20e-03 	 Rec:2.14e-03 	 Color:0.00e+00 	Time: 0.57
epoch 4450:	gram:8.10e-03 	 Rec:2.49e-03 	 Color:0.00e+00 	Time: 0.57
epoch 4500:	gram:8.32e-03 	 Rec:2.40e-03 	 Color:0.00e+00 	Time: 0.54
epoch 4550:	gram:6.01e-03 	 Rec:2.62e-03 	 Color:0.00e+00 	Time: 0.55
epoch 4600:	gram:8.33e-03 	 Rec:2.27e-03 	 Color:0.00e+00 	Time: 0.54
epoch 4650:	gram:8.45e-03 	 Rec:2.42e-03 	 Color:0.00e+00 	Time: 0.57
epoch 4700:	gram:9.01e-03 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 0.55
epoch 4750:	gram:7.05e-03 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 0.57
epoch 4800:	gram:6.88e-03 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 0.55
epoch 4850:	gram:6.70e-03 	 Rec:2.70e-03 	 Color:0.00e+00 	Time: 0.55
epoch 4900:	gram:8.53e-03 	 Rec:2.28e-03 	 Color:0.00e+00 	Time: 0.57
epoch 4950:	gram:6.90e-03 	 Rec:2.41e-03 	 Color:0.00e+00 	Time: 0.57
epoch 5000:	gram:7.13e-03 	 Rec:2.19e-03 	 Color:0.00e+00 	Time: 0.58
epoch 5050:	gram:8.04e-03 	 Rec:2.58e-03 	 Color:0.00e+00 	Time: 0.58
epoch 5100:	gram:8.18e-03 	 Rec:2.16e-03 	 Color:0.00e+00 	Time: 0.55
epoch 5150:	gram:6.27e-03 	 Rec:2.11e-03 	 Color:0.00e+00 	Time: 0.54
epoch 5200:	gram:6.64e-03 	 Rec:2.05e-03 	 Color:0.00e+00 	Time: 0.55
epoch 5250:	gram:9.36e-03 	 Rec:2.11e-03 	 Color:0.00e+00 	Time: 0.57
epoch 5300:	gram:8.09e-03 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 0.55
epoch 5350:	gram:9.26e-03 	 Rec:2.34e-03 	 Color:0.00e+00 	Time: 0.57
epoch 5400:	gram:6.54e-03 	 Rec:2.28e-03 	 Color:0.00e+00 	Time: 0.57
epoch 5450:	gram:7.72e-03 	 Rec:3.21e-03 	 Color:0.00e+00 	Time: 0.55
epoch 5500:	gram:6.80e-03 	 Rec:2.13e-03 	 Color:0.00e+00 	Time: 0.55
