epoch 4100:	style:2.01e-03 	 Rec:8.99e-04 	Time: 1.72
epoch 4150:	style:1.39e-03 	 Rec:8.63e-04 	Time: 1.69
epoch 4200:	style:1.46e-03 	 Rec:9.00e-04 	Time: 1.71
epoch 4250:	style:1.43e-03 	 Rec:8.63e-04 	Time: 1.77
epoch 4300:	style:1.69e-03 	 Rec:8.87e-04 	Time: 1.71
epoch 4350:	style:1.82e-03 	 Rec:8.64e-04 	Time: 1.67
epoch 4400:	style:1.51e-03 	 Rec:8.70e-04 	Time: 1.68
epoch 4450:	style:1.34e-03 	 Rec:8.83e-04 	Time: 1.67
epoch 4500:	style:1.79e-03 	 Rec:8.78e-04 	Time: 1.70
epoch 4550:	style:2.13e-03 	 Rec:9.04e-04 	Time: 1.86
epoch 4600:	style:1.72e-03 	 Rec:8.77e-04 	Time: 1.79
epoch 4650:	style:2.06e-03 	 Rec:8.64e-04 	Time: 1.67
epoch 4700:	style:1.84e-03 	 Rec:8.85e-04 	Time: 1.70
epoch 4750:	style:1.66e-03 	 Rec:8.43e-04 	Time: 1.71
epoch 4800:	style:1.87e-03 	 Rec:8.68e-04 	Time: 1.73
epoch 4850:	style:2.00e-03 	 Rec:8.33e-04 	Time: 1.72
epoch 4900:	style:1.71e-03 	 Rec:8.13e-04 	Time: 1.71
epoch 4950:	style:1.40e-03 	 Rec:8.56e-04 	Time: 1.68
epoch 5000:	style:2.37e-03 	 Rec:8.32e-04 	Time: 1.72
epoch 5050:	style:1.30e-03 	 Rec:8.39e-04 	Time: 1.67
epoch 5100:	style:1.23e-03 	 Rec:8.90e-04 	Time: 1.70
epoch 5150:	style:1.40e-03 	 Rec:8.15e-04 	Time: 1.74
epoch 5200:	style:1.87e-03 	 Rec:7.93e-04 	Time: 1.71
epoch 5250:	style:1.65e-03 	 Rec:8.36e-04 	Time: 1.70
epoch 5300:	style:1.37e-03 	 Rec:8.32e-04 	Time: 1.70
epoch 5350:	style:1.48e-03 	 Rec:8.20e-04 	Time: 1.69
epoch 5400:	style:1.94e-03 	 Rec:8.51e-04 	Time: 1.70
epoch 5450:	style:1.50e-03 	 Rec:8.05e-04 	Time: 1.73
epoch 5500:	style:1.48e-03 	 Rec:7.97e-04 	Time: 1.69
epoch 5550:	style:1.54e-03 	 Rec:7.95e-04 	Time: 1.69
epoch 5600:	style:1.35e-03 	 Rec:7.98e-04 	Time: 1.69
epoch 5650:	style:1.47e-03 	 Rec:8.09e-04 	Time: 1.66
epoch 5700:	style:1.80e-03 	 Rec:7.93e-04 	Time: 1.73
epoch 5750:	style:1.51e-03 	 Rec:7.71e-04 	Time: 2.31
epoch 5800:	style:1.24e-03 	 Rec:7.79e-04 	Time: 1.81
epoch 5850:	style:2.05e-03 	 Rec:7.87e-04 	Time: 1.76
epoch 5900:	style:2.36e-03 	 Rec:8.11e-04 	Time: 1.78
epoch 5950:	style:1.72e-03 	 Rec:8.14e-04 	Time: 1.70
epoch 6000:	style:1.64e-03 	 Rec:8.58e-04 	Time: 1.73
epoch 6050:	style:1.60e-03 	 Rec:7.53e-04 	Time: 1.72
epoch 6100:	style:2.01e-03 	 Rec:7.96e-04 	Time: 1.68
epoch 6150:	style:1.70e-03 	 Rec:7.45e-04 	Time: 1.72
epoch 6200:	style:1.40e-03 	 Rec:7.68e-04 	Time: 1.69
epoch 6250:	style:1.63e-03 	 Rec:8.32e-04 	Time: 1.69
epoch 6300:	style:1.53e-03 	 Rec:7.90e-04 	Time: 1.72
epoch 6350:	style:1.65e-03 	 Rec:7.58e-04 	Time: 1.79
epoch 6400:	style:1.90e-03 	 Rec:7.77e-04 	Time: 1.68
epoch 6450:	style:1.32e-03 	 Rec:7.80e-04 	Time: 1.71
epoch 6500:	style:1.77e-03 	 Rec:9.42e-04 	Time: 1.71
