epoch 0:	pdl:1.30e+00 	 Rec:1.30e+00 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.84e-01 	 Rec:1.65e-01 	 Color:0.00e+00 	Time: 0.92
epoch 100:	pdl:6.83e-01 	 Rec:1.40e-01 	 Color:0.00e+00 	Time: 0.91
epoch 150:	pdl:7.27e-01 	 Rec:1.19e-01 	 Color:0.00e+00 	Time: 0.91
epoch 200:	pdl:7.96e-01 	 Rec:9.99e-02 	 Color:0.00e+00 	Time: 0.91
epoch 250:	pdl:6.16e-01 	 Rec:8.76e-02 	 Color:0.00e+00 	Time: 0.91
epoch 300:	pdl:8.25e-01 	 Rec:8.40e-02 	 Color:0.00e+00 	Time: 0.91
epoch 350:	pdl:6.80e-01 	 Rec:6.27e-02 	 Color:0.00e+00 	Time: 0.91
epoch 400:	pdl:7.40e-01 	 Rec:6.50e-02 	 Color:0.00e+00 	Time: 0.91
epoch 450:	pdl:8.40e-01 	 Rec:5.49e-02 	 Color:0.00e+00 	Time: 0.91
epoch 500:	pdl:7.42e-01 	 Rec:5.31e-02 	 Color:0.00e+00 	Time: 0.91
epoch 550:	pdl:7.33e-01 	 Rec:4.82e-02 	 Color:0.00e+00 	Time: 0.91
epoch 600:	pdl:6.89e-01 	 Rec:4.85e-02 	 Color:0.00e+00 	Time: 0.91
epoch 650:	pdl:8.38e-01 	 Rec:3.72e-02 	 Color:0.00e+00 	Time: 0.92
epoch 700:	pdl:7.13e-01 	 Rec:3.85e-02 	 Color:0.00e+00 	Time: 0.91
epoch 750:	pdl:7.83e-01 	 Rec:4.02e-02 	 Color:0.00e+00 	Time: 0.91
epoch 800:	pdl:6.85e-01 	 Rec:3.69e-02 	 Color:0.00e+00 	Time: 0.91
epoch 850:	pdl:6.17e-01 	 Rec:3.07e-02 	 Color:0.00e+00 	Time: 0.91
epoch 900:	pdl:7.03e-01 	 Rec:2.70e-02 	 Color:0.00e+00 	Time: 0.91
epoch 950:	pdl:6.76e-01 	 Rec:3.45e-02 	 Color:0.00e+00 	Time: 0.92
