epoch 0:	gram:5.98e-02 	 Rec:2.47e-01 	 Color:2.17e-05 	Time: 0.01
epoch 50:	gram:1.00e-02 	 Rec:1.32e-02 	 Color:1.15e-05 	Time: 0.40
epoch 100:	gram:9.54e-03 	 Rec:1.25e-02 	 Color:1.45e-05 	Time: 0.44
epoch 150:	gram:8.31e-03 	 Rec:6.98e-03 	 Color:1.25e-05 	Time: 0.42
epoch 200:	gram:9.15e-03 	 Rec:6.00e-03 	 Color:1.33e-05 	Time: 0.39
epoch 250:	gram:9.93e-03 	 Rec:3.84e-03 	 Color:1.13e-05 	Time: 0.40
epoch 300:	gram:9.43e-03 	 Rec:4.05e-03 	 Color:1.41e-05 	Time: 0.38
epoch 350:	gram:8.00e-03 	 Rec:3.31e-03 	 Color:1.28e-05 	Time: 0.41
epoch 400:	gram:7.19e-03 	 Rec:2.88e-03 	 Color:1.29e-05 	Time: 0.40
epoch 450:	gram:1.03e-02 	 Rec:2.47e-03 	 Color:9.02e-06 	Time: 0.41
epoch 500:	gram:9.36e-03 	 Rec:5.05e-03 	 Color:1.15e-05 	Time: 0.41
epoch 550:	gram:7.42e-03 	 Rec:4.05e-03 	 Color:1.07e-05 	Time: 0.42
epoch 600:	gram:7.46e-03 	 Rec:2.76e-03 	 Color:1.16e-05 	Time: 0.46
epoch 650:	gram:8.10e-03 	 Rec:2.62e-03 	 Color:1.15e-05 	Time: 0.45
epoch 700:	gram:6.86e-03 	 Rec:2.51e-03 	 Color:9.96e-06 	Time: 0.40
epoch 750:	gram:6.71e-03 	 Rec:2.82e-03 	 Color:1.35e-05 	Time: 0.43
epoch 800:	gram:6.58e-03 	 Rec:2.48e-03 	 Color:1.19e-05 	Time: 0.42
epoch 850:	gram:6.08e-03 	 Rec:2.67e-03 	 Color:1.12e-05 	Time: 0.45
epoch 900:	gram:6.97e-03 	 Rec:1.69e-03 	 Color:1.14e-05 	Time: 0.44
epoch 950:	gram:1.01e-02 	 Rec:1.78e-03 	 Color:1.19e-05 	Time: 0.43
epoch 1000:	gram:7.41e-03 	 Rec:2.40e-03 	 Color:1.01e-05 	Time: 0.45
epoch 1050:	gram:6.66e-03 	 Rec:1.77e-03 	 Color:9.35e-06 	Time: 0.45
epoch 1100:	gram:5.55e-03 	 Rec:1.65e-03 	 Color:8.37e-06 	Time: 0.46
epoch 1150:	gram:7.31e-03 	 Rec:1.37e-03 	 Color:1.14e-05 	Time: 0.44
epoch 1200:	gram:7.48e-03 	 Rec:1.78e-03 	 Color:1.31e-05 	Time: 0.44
epoch 1250:	gram:6.92e-03 	 Rec:1.46e-03 	 Color:1.29e-05 	Time: 0.44
epoch 1300:	gram:6.11e-03 	 Rec:1.64e-03 	 Color:1.11e-05 	Time: 0.44
epoch 1350:	gram:6.99e-03 	 Rec:2.01e-03 	 Color:1.17e-05 	Time: 0.47
epoch 1400:	gram:6.23e-03 	 Rec:1.69e-03 	 Color:1.10e-05 	Time: 0.45
epoch 1450:	gram:6.07e-03 	 Rec:1.63e-03 	 Color:9.94e-06 	Time: 0.46
epoch 1500:	gram:7.01e-03 	 Rec:2.13e-03 	 Color:1.18e-05 	Time: 0.42
epoch 1550:	gram:6.51e-03 	 Rec:1.44e-03 	 Color:1.12e-05 	Time: 0.40
epoch 1600:	gram:5.66e-03 	 Rec:1.49e-03 	 Color:8.98e-06 	Time: 0.42
epoch 1650:	gram:5.92e-03 	 Rec:1.99e-03 	 Color:9.60e-06 	Time: 0.41
epoch 1700:	gram:6.83e-03 	 Rec:1.33e-03 	 Color:1.08e-05 	Time: 0.45
epoch 1750:	gram:7.10e-03 	 Rec:1.42e-03 	 Color:1.07e-05 	Time: 0.44
epoch 1800:	gram:5.90e-03 	 Rec:1.54e-03 	 Color:1.21e-05 	Time: 0.44
epoch 1850:	gram:7.45e-03 	 Rec:1.78e-03 	 Color:8.85e-06 	Time: 0.44
epoch 1900:	gram:5.66e-03 	 Rec:1.73e-03 	 Color:9.85e-06 	Time: 0.44
epoch 1950:	gram:6.32e-03 	 Rec:1.39e-03 	 Color:1.01e-05 	Time: 0.45
epoch 2000:	gram:6.40e-03 	 Rec:1.50e-03 	 Color:9.69e-06 	Time: 0.44
epoch 2050:	gram:5.91e-03 	 Rec:1.45e-03 	 Color:9.42e-06 	Time: 0.46
epoch 2100:	gram:5.88e-03 	 Rec:1.42e-03 	 Color:1.09e-05 	Time: 0.42
epoch 2150:	gram:6.18e-03 	 Rec:2.02e-03 	 Color:9.52e-06 	Time: 0.45
