epoch 0:	pdl:4.59e-01 	 Rec:5.25e-02 	 Color:1.52e-01 	Time: 0.05
epoch 50:	pdl:2.02e-01 	 Rec:4.26e-03 	 Color:1.37e-01 	Time: 2.88
epoch 100:	pdl:1.48e-01 	 Rec:3.83e-03 	 Color:1.31e-01 	Time: 2.90
epoch 150:	pdl:1.32e-01 	 Rec:4.29e-03 	 Color:1.38e-01 	Time: 2.89
epoch 200:	pdl:1.36e-01 	 Rec:4.23e-03 	 Color:1.23e-01 	Time: 2.90
epoch 250:	pdl:1.26e-01 	 Rec:3.19e-03 	 Color:1.25e-01 	Time: 2.88
epoch 300:	pdl:1.23e-01 	 Rec:3.13e-03 	 Color:1.36e-01 	Time: 2.89
epoch 350:	pdl:1.31e-01 	 Rec:3.67e-03 	 Color:1.13e-01 	Time: 2.89
epoch 400:	pdl:1.37e-01 	 Rec:2.70e-03 	 Color:1.22e-01 	Time: 2.88
epoch 450:	pdl:1.51e-01 	 Rec:3.22e-03 	 Color:1.41e-01 	Time: 2.89
epoch 500:	pdl:1.15e-01 	 Rec:2.35e-03 	 Color:1.27e-01 	Time: 2.89
epoch 550:	pdl:1.39e-01 	 Rec:2.53e-03 	 Color:1.27e-01 	Time: 2.88
epoch 600:	pdl:1.18e-01 	 Rec:2.96e-03 	 Color:1.26e-01 	Time: 2.89
epoch 650:	pdl:1.25e-01 	 Rec:2.83e-03 	 Color:1.24e-01 	Time: 2.89
epoch 700:	pdl:1.10e-01 	 Rec:1.94e-03 	 Color:1.16e-01 	Time: 2.91
epoch 750:	pdl:1.31e-01 	 Rec:1.92e-03 	 Color:1.26e-01 	Time: 2.89
epoch 800:	pdl:1.17e-01 	 Rec:2.30e-03 	 Color:1.27e-01 	Time: 2.90
epoch 850:	pdl:1.23e-01 	 Rec:1.97e-03 	 Color:1.33e-01 	Time: 2.88
epoch 900:	pdl:1.31e-01 	 Rec:2.20e-03 	 Color:1.23e-01 	Time: 2.90
epoch 950:	pdl:1.36e-01 	 Rec:2.17e-03 	 Color:1.22e-01 	Time: 2.88
epoch 1000:	pdl:1.10e-01 	 Rec:1.95e-03 	 Color:1.29e-01 	Time: 2.89
epoch 1050:	pdl:1.27e-01 	 Rec:2.19e-03 	 Color:1.34e-01 	Time: 2.90
epoch 1100:	pdl:1.14e-01 	 Rec:1.82e-03 	 Color:1.15e-01 	Time: 2.89
epoch 1150:	pdl:1.19e-01 	 Rec:1.67e-03 	 Color:1.17e-01 	Time: 2.90
epoch 1200:	pdl:1.29e-01 	 Rec:2.40e-03 	 Color:1.42e-01 	Time: 2.88
epoch 1250:	pdl:1.27e-01 	 Rec:1.84e-03 	 Color:1.32e-01 	Time: 2.93
epoch 1300:	pdl:1.12e-01 	 Rec:1.66e-03 	 Color:1.21e-01 	Time: 2.90
epoch 1350:	pdl:1.27e-01 	 Rec:2.06e-03 	 Color:1.26e-01 	Time: 2.97
epoch 1400:	pdl:1.26e-01 	 Rec:1.64e-03 	 Color:1.31e-01 	Time: 2.90
epoch 1450:	pdl:1.19e-01 	 Rec:1.60e-03 	 Color:1.15e-01 	Time: 2.89
epoch 1500:	pdl:1.12e-01 	 Rec:1.90e-03 	 Color:1.16e-01 	Time: 2.90
epoch 1550:	pdl:1.17e-01 	 Rec:1.47e-03 	 Color:1.21e-01 	Time: 2.89
epoch 1600:	pdl:1.19e-01 	 Rec:1.50e-03 	 Color:1.38e-01 	Time: 2.91
epoch 1650:	pdl:1.32e-01 	 Rec:1.70e-03 	 Color:1.40e-01 	Time: 2.89
epoch 1700:	pdl:1.16e-01 	 Rec:1.49e-03 	 Color:1.23e-01 	Time: 2.88
epoch 1750:	pdl:1.23e-01 	 Rec:1.48e-03 	 Color:1.15e-01 	Time: 2.90
epoch 1800:	pdl:1.27e-01 	 Rec:1.59e-03 	 Color:1.41e-01 	Time: 2.90
epoch 1850:	pdl:1.18e-01 	 Rec:1.51e-03 	 Color:1.43e-01 	Time: 2.93
epoch 1900:	pdl:1.18e-01 	 Rec:1.36e-03 	 Color:1.30e-01 	Time: 2.98
epoch 1950:	pdl:1.24e-01 	 Rec:1.39e-03 	 Color:1.31e-01 	Time: 2.89
epoch 2000:	pdl:1.13e-01 	 Rec:1.73e-03 	 Color:1.18e-01 	Time: 2.90
epoch 2050:	pdl:1.27e-01 	 Rec:1.37e-03 	 Color:1.09e-01 	Time: 2.93
epoch 2100:	pdl:1.22e-01 	 Rec:1.68e-03 	 Color:1.09e-01 	Time: 2.92
epoch 2150:	pdl:1.22e-01 	 Rec:1.25e-03 	 Color:1.11e-01 	Time: 2.90
epoch 2200:	pdl:1.38e-01 	 Rec:1.43e-03 	 Color:1.28e-01 	Time: 2.90
epoch 2250:	pdl:1.20e-01 	 Rec:1.65e-03 	 Color:1.13e-01 	Time: 2.91
epoch 2300:	pdl:1.14e-01 	 Rec:1.33e-03 	 Color:1.25e-01 	Time: 2.92
epoch 2350:	pdl:1.11e-01 	 Rec:1.26e-03 	 Color:1.18e-01 	Time: 2.91
epoch 2400:	pdl:1.28e-01 	 Rec:1.67e-03 	 Color:1.19e-01 	Time: 2.92
epoch 2450:	pdl:1.13e-01 	 Rec:1.18e-03 	 Color:1.37e-01 	Time: 2.88
epoch 2500:	pdl:1.24e-01 	 Rec:1.26e-03 	 Color:1.15e-01 	Time: 2.88
epoch 2550:	pdl:1.12e-01 	 Rec:1.50e-03 	 Color:1.12e-01 	Time: 2.90
epoch 2600:	pdl:1.27e-01 	 Rec:1.31e-03 	 Color:1.20e-01 	Time: 2.89
epoch 2650:	pdl:1.31e-01 	 Rec:1.46e-03 	 Color:1.14e-01 	Time: 2.90
epoch 2700:	pdl:1.18e-01 	 Rec:1.32e-03 	 Color:1.17e-01 	Time: 2.86
epoch 2750:	pdl:1.11e-01 	 Rec:1.19e-03 	 Color:1.20e-01 	Time: 2.89
epoch 2800:	pdl:1.23e-01 	 Rec:1.41e-03 	 Color:1.21e-01 	Time: 2.92
epoch 2850:	pdl:1.12e-01 	 Rec:1.22e-03 	 Color:1.29e-01 	Time: 2.89
epoch 2900:	pdl:1.11e-01 	 Rec:1.15e-03 	 Color:1.04e-01 	Time: 2.93
epoch 2950:	pdl:1.32e-01 	 Rec:1.53e-03 	 Color:1.17e-01 	Time: 2.90
epoch 3000:	pdl:1.16e-01 	 Rec:1.08e-03 	 Color:1.17e-01 	Time: 2.89
epoch 3050:	pdl:1.12e-01 	 Rec:1.21e-03 	 Color:1.31e-01 	Time: 2.89
epoch 3100:	pdl:1.02e-01 	 Rec:1.17e-03 	 Color:1.16e-01 	Time: 2.89
epoch 3150:	pdl:1.09e-01 	 Rec:1.05e-03 	 Color:1.16e-01 	Time: 2.89
epoch 3200:	pdl:1.13e-01 	 Rec:1.11e-03 	 Color:1.08e-01 	Time: 2.93
epoch 3250:	pdl:1.23e-01 	 Rec:1.20e-03 	 Color:1.27e-01 	Time: 2.91
epoch 3300:	pdl:1.06e-01 	 Rec:1.16e-03 	 Color:1.17e-01 	Time: 2.89
epoch 3350:	pdl:1.24e-01 	 Rec:1.16e-03 	 Color:1.16e-01 	Time: 2.92
epoch 3400:	pdl:1.14e-01 	 Rec:1.23e-03 	 Color:1.19e-01 	Time: 2.89
epoch 3450:	pdl:1.12e-01 	 Rec:9.71e-04 	 Color:1.25e-01 	Time: 2.88
epoch 3500:	pdl:1.35e-01 	 Rec:1.14e-03 	 Color:1.30e-01 	Time: 2.88
epoch 3550:	pdl:1.20e-01 	 Rec:1.11e-03 	 Color:1.28e-01 	Time: 2.89
epoch 3600:	pdl:1.15e-01 	 Rec:1.21e-03 	 Color:1.21e-01 	Time: 2.90
epoch 3650:	pdl:1.12e-01 	 Rec:1.06e-03 	 Color:1.32e-01 	Time: 2.89
epoch 3700:	pdl:1.24e-01 	 Rec:1.03e-03 	 Color:1.28e-01 	Time: 2.51
epoch 3750:	pdl:1.14e-01 	 Rec:1.04e-03 	 Color:1.08e-01 	Time: 1.93
epoch 3800:	pdl:1.21e-01 	 Rec:1.26e-03 	 Color:1.10e-01 	Time: 1.82
epoch 3850:	pdl:1.12e-01 	 Rec:1.27e-03 	 Color:1.34e-01 	Time: 1.83
epoch 3900:	pdl:1.14e-01 	 Rec:1.01e-03 	 Color:1.04e-01 	Time: 1.82
epoch 3950:	pdl:1.22e-01 	 Rec:1.01e-03 	 Color:1.30e-01 	Time: 1.85
epoch 4000:	pdl:1.28e-01 	 Rec:1.02e-03 	 Color:1.21e-01 	Time: 1.84
epoch 4050:	pdl:1.26e-01 	 Rec:1.21e-03 	 Color:1.03e-01 	Time: 1.87
epoch 4100:	pdl:1.14e-01 	 Rec:1.01e-03 	 Color:1.17e-01 	Time: 1.91
epoch 4150:	pdl:1.19e-01 	 Rec:1.22e-03 	 Color:1.17e-01 	Time: 2.01
epoch 4200:	pdl:1.12e-01 	 Rec:1.04e-03 	 Color:1.23e-01 	Time: 2.14
epoch 4250:	pdl:1.14e-01 	 Rec:1.17e-03 	 Color:1.17e-01 	Time: 2.61
epoch 4300:	pdl:9.96e-02 	 Rec:1.17e-03 	 Color:1.16e-01 	Time: 2.60
epoch 4350:	pdl:1.07e-01 	 Rec:9.46e-04 	 Color:1.18e-01 	Time: 2.62
epoch 4400:	pdl:1.12e-01 	 Rec:1.05e-03 	 Color:1.18e-01 	Time: 2.61
epoch 4450:	pdl:1.08e-01 	 Rec:9.15e-04 	 Color:1.12e-01 	Time: 2.61
epoch 4500:	pdl:1.18e-01 	 Rec:1.16e-03 	 Color:1.12e-01 	Time: 2.61
epoch 4550:	pdl:1.24e-01 	 Rec:9.28e-04 	 Color:1.27e-01 	Time: 2.62
epoch 4600:	pdl:1.14e-01 	 Rec:1.12e-03 	 Color:1.19e-01 	Time: 2.61
epoch 4650:	pdl:1.12e-01 	 Rec:9.56e-04 	 Color:1.27e-01 	Time: 2.61
epoch 4700:	pdl:1.08e-01 	 Rec:9.23e-04 	 Color:1.03e-01 	Time: 2.62
epoch 4750:	pdl:1.05e-01 	 Rec:8.65e-04 	 Color:1.07e-01 	Time: 2.62
epoch 4800:	pdl:1.15e-01 	 Rec:1.23e-03 	 Color:1.19e-01 	Time: 2.60
