epoch 0:	gram:1.41e-02 	 Rec:6.70e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	gram:1.18e-03 	 Rec:2.59e-03 	 Color:0.00e+00 	Time: 0.48
epoch 100:	gram:1.02e-03 	 Rec:2.00e-03 	 Color:0.00e+00 	Time: 0.46
epoch 150:	gram:1.26e-03 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 0.45
epoch 200:	gram:6.66e-04 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 0.40
epoch 250:	gram:1.22e-03 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 0.42
epoch 300:	gram:1.34e-03 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.41
epoch 350:	gram:6.12e-04 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.41
epoch 400:	gram:7.41e-04 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.44
epoch 450:	gram:8.29e-04 	 Rec:9.50e-04 	 Color:0.00e+00 	Time: 0.41
epoch 500:	gram:1.04e-03 	 Rec:8.33e-04 	 Color:0.00e+00 	Time: 0.43
epoch 550:	gram:8.02e-04 	 Rec:8.70e-04 	 Color:0.00e+00 	Time: 0.45
epoch 600:	gram:8.33e-04 	 Rec:7.88e-04 	 Color:0.00e+00 	Time: 0.42
epoch 650:	gram:1.28e-03 	 Rec:7.01e-04 	 Color:0.00e+00 	Time: 0.44
epoch 700:	gram:6.46e-04 	 Rec:6.13e-04 	 Color:0.00e+00 	Time: 0.41
epoch 750:	gram:6.33e-04 	 Rec:7.29e-04 	 Color:0.00e+00 	Time: 0.41
epoch 800:	gram:7.92e-04 	 Rec:5.79e-04 	 Color:0.00e+00 	Time: 0.39
epoch 850:	gram:9.34e-04 	 Rec:6.51e-04 	 Color:0.00e+00 	Time: 0.39
epoch 900:	gram:1.17e-03 	 Rec:6.90e-04 	 Color:0.00e+00 	Time: 0.39
epoch 950:	gram:7.08e-04 	 Rec:5.34e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1000:	gram:8.38e-04 	 Rec:5.82e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1050:	gram:8.76e-04 	 Rec:8.73e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1100:	gram:9.27e-04 	 Rec:4.67e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1150:	gram:9.77e-04 	 Rec:5.29e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1200:	gram:5.39e-04 	 Rec:4.57e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1250:	gram:6.81e-04 	 Rec:4.48e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1300:	gram:6.30e-04 	 Rec:4.97e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1350:	gram:7.52e-04 	 Rec:5.13e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1400:	gram:9.45e-04 	 Rec:3.99e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1450:	gram:5.12e-04 	 Rec:3.89e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1500:	gram:7.70e-04 	 Rec:3.87e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1550:	gram:1.19e-03 	 Rec:3.99e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1600:	gram:1.11e-03 	 Rec:3.54e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1650:	gram:1.44e-03 	 Rec:4.15e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1700:	gram:8.93e-04 	 Rec:3.82e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1750:	gram:4.87e-04 	 Rec:3.71e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1800:	gram:5.54e-04 	 Rec:4.41e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1850:	gram:7.78e-04 	 Rec:3.54e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1900:	gram:4.93e-04 	 Rec:3.63e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1950:	gram:7.69e-04 	 Rec:3.51e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2000:	gram:1.09e-03 	 Rec:3.89e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2050:	gram:8.81e-04 	 Rec:2.94e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2100:	gram:6.80e-04 	 Rec:2.30e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2150:	gram:5.58e-04 	 Rec:2.06e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2200:	gram:6.83e-04 	 Rec:3.38e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2250:	gram:1.03e-03 	 Rec:2.11e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2300:	gram:6.06e-04 	 Rec:4.69e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2350:	gram:1.01e-03 	 Rec:3.18e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2400:	gram:5.81e-04 	 Rec:3.47e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2450:	gram:8.87e-04 	 Rec:3.40e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2500:	gram:5.55e-04 	 Rec:3.53e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2550:	gram:8.77e-04 	 Rec:4.13e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2600:	gram:8.70e-04 	 Rec:2.81e-04 	 Color:0.00e+00 	Time: 0.42
