epoch 0:	pdl:1.45e+00 	 Rec:1.45e+00 	 Color:1.94e-01 	Time: 0.01
epoch 50:	pdl:1.21e+00 	 Rec:1.26e-01 	 Color:1.72e-01 	Time: 0.67
epoch 100:	pdl:1.03e+00 	 Rec:6.23e-02 	 Color:1.59e-01 	Time: 0.64
epoch 150:	pdl:1.04e+00 	 Rec:5.63e-02 	 Color:1.94e-01 	Time: 0.65
epoch 200:	pdl:1.03e+00 	 Rec:3.86e-02 	 Color:1.81e-01 	Time: 0.65
epoch 250:	pdl:9.73e-01 	 Rec:3.50e-02 	 Color:1.72e-01 	Time: 0.64
epoch 300:	pdl:9.78e-01 	 Rec:2.35e-02 	 Color:1.80e-01 	Time: 0.64
epoch 350:	pdl:9.65e-01 	 Rec:1.85e-02 	 Color:1.83e-01 	Time: 0.64
epoch 400:	pdl:9.68e-01 	 Rec:1.88e-02 	 Color:1.70e-01 	Time: 0.64
epoch 450:	pdl:9.91e-01 	 Rec:1.47e-02 	 Color:1.74e-01 	Time: 0.64
epoch 500:	pdl:9.45e-01 	 Rec:1.18e-02 	 Color:1.70e-01 	Time: 0.64
epoch 550:	pdl:1.01e+00 	 Rec:1.11e-02 	 Color:1.78e-01 	Time: 0.64
epoch 600:	pdl:9.63e-01 	 Rec:1.36e-02 	 Color:1.85e-01 	Time: 0.64
epoch 650:	pdl:9.90e-01 	 Rec:9.72e-03 	 Color:1.74e-01 	Time: 0.64
epoch 700:	pdl:9.99e-01 	 Rec:9.00e-03 	 Color:1.81e-01 	Time: 0.66
epoch 750:	pdl:1.04e+00 	 Rec:1.21e-02 	 Color:1.93e-01 	Time: 0.64
epoch 800:	pdl:9.58e-01 	 Rec:8.73e-03 	 Color:1.70e-01 	Time: 0.64
epoch 850:	pdl:9.77e-01 	 Rec:5.77e-03 	 Color:1.65e-01 	Time: 0.63
epoch 900:	pdl:9.87e-01 	 Rec:7.62e-03 	 Color:1.72e-01 	Time: 0.64
epoch 950:	pdl:9.53e-01 	 Rec:6.02e-03 	 Color:1.68e-01 	Time: 0.64
epoch 1000:	pdl:1.01e+00 	 Rec:5.72e-03 	 Color:1.66e-01 	Time: 0.64
epoch 1050:	pdl:9.74e-01 	 Rec:6.94e-03 	 Color:1.85e-01 	Time: 0.64
epoch 1100:	pdl:9.40e-01 	 Rec:7.84e-03 	 Color:1.66e-01 	Time: 0.64
epoch 1150:	pdl:9.49e-01 	 Rec:7.70e-03 	 Color:1.66e-01 	Time: 0.64
epoch 1200:	pdl:9.70e-01 	 Rec:5.99e-03 	 Color:1.71e-01 	Time: 0.64
epoch 1250:	pdl:9.43e-01 	 Rec:8.07e-03 	 Color:1.60e-01 	Time: 0.64
epoch 1300:	pdl:9.79e-01 	 Rec:7.11e-03 	 Color:1.70e-01 	Time: 0.64
epoch 1350:	pdl:9.39e-01 	 Rec:3.68e-03 	 Color:1.75e-01 	Time: 0.64
epoch 1400:	pdl:9.33e-01 	 Rec:6.55e-03 	 Color:1.74e-01 	Time: 0.64
epoch 1450:	pdl:9.38e-01 	 Rec:3.60e-03 	 Color:1.72e-01 	Time: 0.64
epoch 1500:	pdl:1.00e+00 	 Rec:6.37e-03 	 Color:1.74e-01 	Time: 0.64
epoch 1550:	pdl:9.49e-01 	 Rec:4.40e-03 	 Color:1.65e-01 	Time: 0.64
epoch 1600:	pdl:9.34e-01 	 Rec:8.24e-03 	 Color:1.70e-01 	Time: 0.64
epoch 1650:	pdl:9.38e-01 	 Rec:4.28e-03 	 Color:1.73e-01 	Time: 0.66
epoch 1700:	pdl:9.71e-01 	 Rec:2.85e-03 	 Color:1.82e-01 	Time: 0.64
epoch 1750:	pdl:9.42e-01 	 Rec:3.90e-03 	 Color:1.67e-01 	Time: 0.64
