epoch 0:	pdl:1.84e+00 	 Rec:7.69e-02 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:6.30e-01 	 Rec:1.33e-02 	 Color:0.00e+00 	Time: 0.87
epoch 100:	pdl:7.14e-01 	 Rec:9.90e-03 	 Color:0.00e+00 	Time: 0.92
epoch 150:	pdl:6.65e-01 	 Rec:6.91e-03 	 Color:0.00e+00 	Time: 0.86
epoch 200:	pdl:6.22e-01 	 Rec:5.64e-03 	 Color:0.00e+00 	Time: 0.85
epoch 250:	pdl:5.97e-01 	 Rec:4.42e-03 	 Color:0.00e+00 	Time: 0.87
epoch 300:	pdl:6.07e-01 	 Rec:3.84e-03 	 Color:0.00e+00 	Time: 0.86
epoch 350:	pdl:6.55e-01 	 Rec:3.19e-03 	 Color:0.00e+00 	Time: 0.85
epoch 400:	pdl:6.23e-01 	 Rec:2.91e-03 	 Color:0.00e+00 	Time: 0.84
epoch 450:	pdl:5.93e-01 	 Rec:2.56e-03 	 Color:0.00e+00 	Time: 0.85
epoch 500:	pdl:5.86e-01 	 Rec:2.26e-03 	 Color:0.00e+00 	Time: 0.85
epoch 550:	pdl:5.86e-01 	 Rec:2.12e-03 	 Color:0.00e+00 	Time: 0.85
epoch 600:	pdl:5.83e-01 	 Rec:1.93e-03 	 Color:0.00e+00 	Time: 0.85
epoch 650:	pdl:5.59e-01 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 0.85
epoch 700:	pdl:6.37e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.84
epoch 750:	pdl:5.67e-01 	 Rec:1.48e-03 	 Color:0.00e+00 	Time: 0.85
epoch 800:	pdl:5.69e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.84
epoch 850:	pdl:6.02e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 0.86
epoch 900:	pdl:5.78e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.85
epoch 950:	pdl:6.39e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.84
epoch 1000:	pdl:5.56e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.84
epoch 1050:	pdl:6.03e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.87
epoch 1100:	pdl:5.76e-01 	 Rec:9.33e-04 	 Color:0.00e+00 	Time: 0.85
epoch 1150:	pdl:5.63e-01 	 Rec:9.78e-04 	 Color:0.00e+00 	Time: 0.89
epoch 1200:	pdl:6.07e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.88
epoch 1250:	pdl:5.31e-01 	 Rec:8.46e-04 	 Color:0.00e+00 	Time: 0.86
epoch 1300:	pdl:6.00e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.92
epoch 1350:	pdl:5.90e-01 	 Rec:9.53e-04 	 Color:0.00e+00 	Time: 0.86
epoch 1400:	pdl:5.37e-01 	 Rec:7.84e-04 	 Color:0.00e+00 	Time: 0.85
epoch 1450:	pdl:5.82e-01 	 Rec:8.56e-04 	 Color:0.00e+00 	Time: 0.85
epoch 1500:	pdl:5.92e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.85
