epoch 3900:	pdl:2.77e-01 	 Rec:4.04e-02 	Time: 2.11
epoch 3950:	pdl:2.37e-01 	 Rec:4.14e-02 	Time: 2.11
epoch 4000:	pdl:2.56e-01 	 Rec:4.11e-02 	Time: 2.04
epoch 4050:	pdl:2.73e-01 	 Rec:4.28e-02 	Time: 2.11
epoch 4100:	pdl:2.53e-01 	 Rec:4.00e-02 	Time: 2.07
epoch 4150:	pdl:2.58e-01 	 Rec:6.42e-02 	Time: 2.05
epoch 4200:	pdl:2.60e-01 	 Rec:4.27e-02 	Time: 2.05
epoch 4250:	pdl:2.34e-01 	 Rec:4.05e-02 	Time: 2.12
epoch 4300:	pdl:2.41e-01 	 Rec:4.71e-02 	Time: 2.11
epoch 4350:	pdl:2.52e-01 	 Rec:3.88e-02 	Time: 2.08
epoch 4400:	pdl:2.65e-01 	 Rec:4.44e-02 	Time: 2.04
epoch 4450:	pdl:2.58e-01 	 Rec:3.82e-02 	Time: 2.11
epoch 4500:	pdl:2.38e-01 	 Rec:4.26e-02 	Time: 2.11
epoch 4550:	pdl:2.46e-01 	 Rec:4.01e-02 	Time: 2.12
epoch 4600:	pdl:2.40e-01 	 Rec:3.92e-02 	Time: 2.08
epoch 4650:	pdl:2.26e-01 	 Rec:3.56e-02 	Time: 2.06
epoch 4700:	pdl:2.35e-01 	 Rec:3.84e-02 	Time: 2.06
epoch 4750:	pdl:2.34e-01 	 Rec:3.92e-02 	Time: 2.07
epoch 4800:	pdl:2.36e-01 	 Rec:4.05e-02 	Time: 2.04
epoch 4850:	pdl:2.33e-01 	 Rec:3.83e-02 	Time: 2.11
epoch 4900:	pdl:2.90e-01 	 Rec:4.24e-02 	Time: 2.09
epoch 4950:	pdl:2.57e-01 	 Rec:3.57e-02 	Time: 2.07
epoch 5000:	pdl:2.31e-01 	 Rec:3.92e-02 	Time: 2.07
epoch 5050:	pdl:2.52e-01 	 Rec:3.77e-02 	Time: 2.02
epoch 5100:	pdl:2.15e-01 	 Rec:3.77e-02 	Time: 2.12
epoch 5150:	pdl:2.26e-01 	 Rec:3.74e-02 	Time: 2.10
epoch 5200:	pdl:2.81e-01 	 Rec:3.74e-02 	Time: 2.11
epoch 5250:	pdl:2.43e-01 	 Rec:3.61e-02 	Time: 2.02
epoch 5300:	pdl:2.34e-01 	 Rec:3.58e-02 	Time: 2.06
epoch 5350:	pdl:2.89e-01 	 Rec:3.50e-02 	Time: 2.04
epoch 5400:	pdl:2.44e-01 	 Rec:3.69e-02 	Time: 2.07
epoch 5450:	pdl:2.76e-01 	 Rec:3.40e-02 	Time: 2.05
epoch 5500:	pdl:2.46e-01 	 Rec:3.60e-02 	Time: 2.12
epoch 5550:	pdl:2.47e-01 	 Rec:3.52e-02 	Time: 2.06
epoch 5600:	pdl:2.50e-01 	 Rec:3.80e-02 	Time: 2.15
epoch 5650:	pdl:2.20e-01 	 Rec:3.43e-02 	Time: 2.06
epoch 5700:	pdl:2.58e-01 	 Rec:3.46e-02 	Time: 2.08
epoch 5750:	pdl:2.57e-01 	 Rec:3.35e-02 	Time: 2.08
epoch 5800:	pdl:2.68e-01 	 Rec:3.59e-02 	Time: 2.05
epoch 5850:	pdl:2.32e-01 	 Rec:3.99e-02 	Time: 2.10
epoch 5900:	pdl:2.48e-01 	 Rec:3.53e-02 	Time: 2.10
epoch 5950:	pdl:2.33e-01 	 Rec:4.42e-02 	Time: 2.03
epoch 6000:	pdl:2.43e-01 	 Rec:3.49e-02 	Time: 2.08
epoch 6050:	pdl:2.35e-01 	 Rec:3.56e-02 	Time: 2.28
epoch 6100:	pdl:2.32e-01 	 Rec:3.46e-02 	Time: 2.08
epoch 6150:	pdl:2.56e-01 	 Rec:3.50e-02 	Time: 2.08
epoch 6200:	pdl:2.32e-01 	 Rec:3.82e-02 	Time: 2.10
epoch 6250:	pdl:2.24e-01 	 Rec:3.50e-02 	Time: 2.03
epoch 6300:	pdl:2.47e-01 	 Rec:3.37e-02 	Time: 2.09
epoch 6350:	pdl:2.51e-01 	 Rec:3.88e-02 	Time: 2.10
epoch 6400:	pdl:2.52e-01 	 Rec:3.36e-02 	Time: 2.10
epoch 6450:	pdl:2.60e-01 	 Rec:3.38e-02 	Time: 2.06
epoch 6500:	pdl:2.26e-01 	 Rec:3.31e-02 	Time: 2.05
