epoch 0:	pdl:31557.62 	 Rec:31557.62 	Time: 0.03
epoch 50:	pdl:8912.49 	 Rec:3177.22 	Time: 1.35
epoch 100:	pdl:6331.05 	 Rec:2901.47 	Time: 1.36
epoch 150:	pdl:8489.13 	 Rec:2154.89 	Time: 1.36
epoch 200:	pdl:20770.99 	 Rec:2370.92 	Time: 1.36
epoch 250:	pdl:10312.96 	 Rec:1860.75 	Time: 1.41
epoch 300:	pdl:8859.50 	 Rec:1573.87 	Time: 1.40
epoch 350:	pdl:10643.04 	 Rec:1862.35 	Time: 1.38
epoch 400:	pdl:12004.53 	 Rec:980.73 	Time: 1.37
epoch 450:	pdl:12889.36 	 Rec:1304.52 	Time: 1.38
epoch 500:	pdl:4871.81 	 Rec:1112.24 	Time: 1.37
epoch 550:	pdl:12241.75 	 Rec:1066.16 	Time: 1.40
epoch 600:	pdl:15025.57 	 Rec:1214.57 	Time: 1.40
epoch 650:	pdl:6267.66 	 Rec:688.31 	Time: 1.38
epoch 700:	pdl:4164.84 	 Rec:744.56 	Time: 1.38
epoch 750:	pdl:6947.42 	 Rec:664.04 	Time: 1.37
epoch 800:	pdl:5842.90 	 Rec:695.99 	Time: 1.38
epoch 850:	pdl:5664.42 	 Rec:652.14 	Time: 1.38
epoch 900:	pdl:7341.09 	 Rec:669.31 	Time: 1.39
epoch 950:	pdl:5392.53 	 Rec:788.33 	Time: 1.38
epoch 1000:	pdl:5360.34 	 Rec:725.56 	Time: 1.39
epoch 1050:	pdl:4954.95 	 Rec:606.32 	Time: 1.38
epoch 1100:	pdl:5285.81 	 Rec:982.81 	Time: 1.37
epoch 1150:	pdl:4855.93 	 Rec:609.67 	Time: 1.36
epoch 1200:	pdl:5348.59 	 Rec:573.58 	Time: 1.37
epoch 1250:	pdl:5639.08 	 Rec:584.59 	Time: 1.37
epoch 1300:	pdl:5804.89 	 Rec:542.55 	Time: 1.39
epoch 1350:	pdl:4616.22 	 Rec:538.52 	Time: 1.37
epoch 1400:	pdl:6493.59 	 Rec:504.75 	Time: 1.37
epoch 1450:	pdl:5477.65 	 Rec:564.67 	Time: 1.38
epoch 1500:	pdl:5813.20 	 Rec:529.67 	Time: 1.37
epoch 1550:	pdl:4657.67 	 Rec:549.17 	Time: 1.36
epoch 1600:	pdl:5900.97 	 Rec:523.76 	Time: 1.37
epoch 1650:	pdl:4743.96 	 Rec:496.08 	Time: 1.37
epoch 1700:	pdl:4640.71 	 Rec:499.90 	Time: 1.38
epoch 1750:	pdl:4990.08 	 Rec:500.43 	Time: 1.37
epoch 1800:	pdl:5443.98 	 Rec:522.55 	Time: 1.39
epoch 1850:	pdl:6499.43 	 Rec:482.57 	Time: 1.37
epoch 1900:	pdl:5531.57 	 Rec:480.03 	Time: 1.36
epoch 1950:	pdl:4655.53 	 Rec:479.61 	Time: 1.37
epoch 2000:	pdl:5197.31 	 Rec:468.35 	Time: 1.37
epoch 2050:	pdl:5780.22 	 Rec:508.20 	Time: 1.38
epoch 2100:	pdl:4434.21 	 Rec:470.70 	Time: 1.38
epoch 2150:	pdl:4725.03 	 Rec:490.65 	Time: 1.39
epoch 2200:	pdl:5798.78 	 Rec:468.83 	Time: 1.38
epoch 2250:	pdl:5483.56 	 Rec:466.61 	Time: 1.36
epoch 2300:	pdl:6828.20 	 Rec:459.81 	Time: 1.39
epoch 2350:	pdl:5425.24 	 Rec:522.56 	Time: 1.36
epoch 2400:	pdl:10144.95 	 Rec:459.10 	Time: 1.38
epoch 2450:	pdl:6393.72 	 Rec:462.25 	Time: 1.37
epoch 2500:	pdl:6603.03 	 Rec:467.70 	Time: 1.39
epoch 2550:	pdl:6332.86 	 Rec:472.36 	Time: 1.38
epoch 2600:	pdl:6375.42 	 Rec:477.84 	Time: 1.38
epoch 2650:	pdl:5892.35 	 Rec:446.09 	Time: 1.37
epoch 2700:	pdl:6533.52 	 Rec:457.60 	Time: 1.39
epoch 2750:	pdl:4033.84 	 Rec:452.88 	Time: 1.39
epoch 2800:	pdl:6157.78 	 Rec:450.75 	Time: 1.38
epoch 2850:	pdl:4570.93 	 Rec:450.12 	Time: 1.39
epoch 2900:	pdl:6533.61 	 Rec:450.34 	Time: 1.39
epoch 2950:	pdl:4538.86 	 Rec:481.98 	Time: 1.39
epoch 3000:	pdl:5100.91 	 Rec:439.02 	Time: 1.39
epoch 3050:	pdl:4680.34 	 Rec:425.92 	Time: 1.38
epoch 3100:	pdl:3966.34 	 Rec:466.79 	Time: 1.39
epoch 3150:	pdl:5359.97 	 Rec:450.97 	Time: 1.39
epoch 3200:	pdl:4967.30 	 Rec:459.10 	Time: 1.38
epoch 3250:	pdl:5432.08 	 Rec:450.49 	Time: 1.38
epoch 3300:	pdl:4116.39 	 Rec:443.36 	Time: 1.38
epoch 3350:	pdl:9295.17 	 Rec:431.54 	Time: 1.38
epoch 3400:	pdl:5593.30 	 Rec:426.89 	Time: 1.40
epoch 3450:	pdl:5375.20 	 Rec:433.57 	Time: 1.37
epoch 3500:	pdl:6443.03 	 Rec:435.46 	Time: 1.38
epoch 3550:	pdl:5236.52 	 Rec:424.87 	Time: 1.37
epoch 3600:	pdl:5836.89 	 Rec:462.76 	Time: 1.38
epoch 3650:	pdl:7089.91 	 Rec:415.44 	Time: 1.39
epoch 3700:	pdl:9317.52 	 Rec:413.00 	Time: 1.39
epoch 3750:	pdl:5275.61 	 Rec:417.68 	Time: 1.38
epoch 3800:	pdl:4551.48 	 Rec:416.12 	Time: 1.40
epoch 3850:	pdl:4407.49 	 Rec:419.83 	Time: 1.39
epoch 3900:	pdl:10066.66 	 Rec:416.91 	Time: 1.35
epoch 3950:	pdl:4280.91 	 Rec:419.25 	Time: 1.39
epoch 4000:	pdl:4172.96 	 Rec:416.72 	Time: 1.41
epoch 4050:	pdl:4439.90 	 Rec:412.32 	Time: 1.39
epoch 4100:	pdl:6654.82 	 Rec:414.69 	Time: 1.40
epoch 4150:	pdl:3974.47 	 Rec:413.99 	Time: 1.39
epoch 4200:	pdl:4512.12 	 Rec:414.94 	Time: 1.38
epoch 4250:	pdl:4295.63 	 Rec:413.12 	Time: 1.41
