epoch 0:	pdl:1.10e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:1.06e-01 	 Rec:7.38e-04 	 Color:0.00e+00 	Time: 1.59
epoch 100:	pdl:1.02e-01 	 Rec:6.07e-04 	 Color:0.00e+00 	Time: 1.57
epoch 150:	pdl:1.10e-01 	 Rec:5.76e-04 	 Color:0.00e+00 	Time: 1.57
epoch 200:	pdl:1.03e-01 	 Rec:4.74e-04 	 Color:0.00e+00 	Time: 1.56
epoch 250:	pdl:1.11e-01 	 Rec:4.64e-04 	 Color:0.00e+00 	Time: 1.58
epoch 300:	pdl:1.09e-01 	 Rec:4.28e-04 	 Color:0.00e+00 	Time: 1.56
epoch 350:	pdl:1.08e-01 	 Rec:4.06e-04 	 Color:0.00e+00 	Time: 1.58
epoch 400:	pdl:1.04e-01 	 Rec:3.77e-04 	 Color:0.00e+00 	Time: 1.59
epoch 450:	pdl:1.05e-01 	 Rec:3.67e-04 	 Color:0.00e+00 	Time: 1.58
epoch 500:	pdl:9.98e-02 	 Rec:3.70e-04 	 Color:0.00e+00 	Time: 1.59
epoch 550:	pdl:1.14e-01 	 Rec:3.70e-04 	 Color:0.00e+00 	Time: 1.58
epoch 600:	pdl:1.21e-01 	 Rec:3.15e-04 	 Color:0.00e+00 	Time: 1.56
epoch 650:	pdl:1.05e-01 	 Rec:3.36e-04 	 Color:0.00e+00 	Time: 1.57
epoch 700:	pdl:1.04e-01 	 Rec:2.94e-04 	 Color:0.00e+00 	Time: 1.53
epoch 750:	pdl:1.11e-01 	 Rec:3.23e-04 	 Color:0.00e+00 	Time: 1.55
epoch 800:	pdl:1.02e-01 	 Rec:3.14e-04 	 Color:0.00e+00 	Time: 1.55
epoch 850:	pdl:1.03e-01 	 Rec:3.01e-04 	 Color:0.00e+00 	Time: 1.55
epoch 900:	pdl:1.03e-01 	 Rec:2.63e-04 	 Color:0.00e+00 	Time: 1.56
epoch 950:	pdl:1.18e-01 	 Rec:2.81e-04 	 Color:0.00e+00 	Time: 1.55
epoch 1000:	pdl:1.03e-01 	 Rec:2.57e-04 	 Color:0.00e+00 	Time: 1.54
