epoch 3150:	style:1.55e-02 	 Rec:3.19e-05 	 Color:1.61e-05 	Time: 0.54
epoch 3200:	style:1.66e-02 	 Rec:6.01e-05 	 Color:1.43e-05 	Time: 0.54
epoch 3250:	style:1.67e-02 	 Rec:9.04e-05 	 Color:2.02e-05 	Time: 0.54
epoch 3300:	style:1.48e-02 	 Rec:1.22e-04 	 Color:1.58e-05 	Time: 0.53
epoch 3350:	style:1.65e-02 	 Rec:6.79e-05 	 Color:1.11e-05 	Time: 0.54
epoch 3400:	style:1.65e-02 	 Rec:7.26e-05 	 Color:1.35e-05 	Time: 0.54
epoch 3450:	style:1.61e-02 	 Rec:3.20e-05 	 Color:1.43e-05 	Time: 0.53
epoch 3500:	style:1.57e-02 	 Rec:8.39e-05 	 Color:1.25e-05 	Time: 0.53
epoch 3550:	style:1.72e-02 	 Rec:2.10e-04 	 Color:1.40e-05 	Time: 0.54
epoch 3600:	style:1.47e-02 	 Rec:2.51e-05 	 Color:1.23e-05 	Time: 0.54
epoch 3650:	style:1.78e-02 	 Rec:2.18e-05 	 Color:1.96e-05 	Time: 0.54
epoch 3700:	style:1.65e-02 	 Rec:6.14e-05 	 Color:1.38e-05 	Time: 0.55
epoch 3750:	style:1.60e-02 	 Rec:3.64e-05 	 Color:1.58e-05 	Time: 0.53
epoch 3800:	style:1.60e-02 	 Rec:1.83e-04 	 Color:1.39e-05 	Time: 0.58
epoch 3850:	style:1.51e-02 	 Rec:1.08e-04 	 Color:1.62e-05 	Time: 0.54
epoch 3900:	style:1.59e-02 	 Rec:1.16e-04 	 Color:1.30e-05 	Time: 0.53
epoch 3950:	style:1.42e-02 	 Rec:5.70e-05 	 Color:1.49e-05 	Time: 0.53
epoch 4000:	style:1.76e-02 	 Rec:2.69e-05 	 Color:1.24e-05 	Time: 0.53
epoch 4050:	style:1.55e-02 	 Rec:2.11e-04 	 Color:1.37e-05 	Time: 0.54
epoch 4100:	style:1.43e-02 	 Rec:1.93e-04 	 Color:1.32e-05 	Time: 0.53
epoch 4150:	style:1.69e-02 	 Rec:1.15e-04 	 Color:1.46e-05 	Time: 0.53
epoch 4200:	style:1.74e-02 	 Rec:8.30e-05 	 Color:1.49e-05 	Time: 0.54
epoch 4250:	style:1.55e-02 	 Rec:2.89e-04 	 Color:1.34e-05 	Time: 0.53
epoch 4300:	style:1.82e-02 	 Rec:1.41e-04 	 Color:1.51e-05 	Time: 0.53
epoch 4350:	style:1.68e-02 	 Rec:2.58e-05 	 Color:1.35e-05 	Time: 0.53
epoch 4400:	style:1.47e-02 	 Rec:5.62e-05 	 Color:1.28e-05 	Time: 0.53
epoch 4450:	style:1.62e-02 	 Rec:1.72e-05 	 Color:1.38e-05 	Time: 0.52
epoch 4500:	style:1.53e-02 	 Rec:1.08e-05 	 Color:1.54e-05 	Time: 0.53
epoch 4550:	style:1.60e-02 	 Rec:2.77e-05 	 Color:1.52e-05 	Time: 0.54
epoch 4600:	style:1.60e-02 	 Rec:7.34e-05 	 Color:1.44e-05 	Time: 0.54
epoch 4650:	style:1.37e-02 	 Rec:5.50e-05 	 Color:1.06e-05 	Time: 0.53
epoch 4700:	style:1.54e-02 	 Rec:8.51e-05 	 Color:1.44e-05 	Time: 0.53
