epoch 3150:	style:4.68e-03 	 Rec:4.58e-05 	 Color:2.95e-04 	Time: 0.46
epoch 3200:	style:4.51e-03 	 Rec:1.87e-04 	 Color:2.26e-04 	Time: 0.45
epoch 3250:	style:4.88e-03 	 Rec:6.80e-05 	 Color:3.12e-04 	Time: 0.45
epoch 3300:	style:4.56e-03 	 Rec:2.48e-03 	 Color:2.19e-04 	Time: 0.46
epoch 3350:	style:4.52e-03 	 Rec:1.53e-04 	 Color:2.23e-04 	Time: 0.46
epoch 3400:	style:4.96e-03 	 Rec:1.91e-05 	 Color:1.68e-04 	Time: 0.46
epoch 3450:	style:5.67e-03 	 Rec:3.68e-05 	 Color:1.82e-04 	Time: 0.45
epoch 3500:	style:4.70e-03 	 Rec:1.38e-04 	 Color:2.44e-04 	Time: 0.45
epoch 3550:	style:5.20e-03 	 Rec:1.23e-04 	 Color:1.98e-04 	Time: 0.38
epoch 3600:	style:4.80e-03 	 Rec:2.45e-05 	 Color:1.85e-04 	Time: 0.40
epoch 3650:	style:4.62e-03 	 Rec:2.85e-04 	 Color:1.77e-04 	Time: 0.37
epoch 3700:	style:4.53e-03 	 Rec:2.91e-05 	 Color:2.12e-04 	Time: 0.39
epoch 3750:	style:4.74e-03 	 Rec:1.40e-04 	 Color:2.72e-04 	Time: 0.39
epoch 3800:	style:4.80e-03 	 Rec:1.68e-03 	 Color:1.97e-04 	Time: 0.41
epoch 3850:	style:4.50e-03 	 Rec:3.58e-05 	 Color:2.78e-04 	Time: 0.46
epoch 3900:	style:4.64e-03 	 Rec:3.12e-05 	 Color:1.41e-04 	Time: 0.46
epoch 3950:	style:4.56e-03 	 Rec:5.07e-05 	 Color:1.98e-04 	Time: 0.45
epoch 4000:	style:5.34e-03 	 Rec:5.84e-05 	 Color:1.92e-04 	Time: 0.42
epoch 4050:	style:5.04e-03 	 Rec:4.36e-05 	 Color:1.44e-04 	Time: 0.45
epoch 4100:	style:4.27e-03 	 Rec:1.56e-04 	 Color:1.64e-04 	Time: 0.43
epoch 4150:	style:5.89e-03 	 Rec:4.96e-05 	 Color:3.59e-04 	Time: 0.42
epoch 4200:	style:4.96e-03 	 Rec:9.27e-05 	 Color:2.64e-04 	Time: 0.46
epoch 4250:	style:4.70e-03 	 Rec:2.38e-05 	 Color:2.17e-04 	Time: 0.47
epoch 4300:	style:5.04e-03 	 Rec:2.84e-05 	 Color:3.08e-04 	Time: 0.47
epoch 4350:	style:5.21e-03 	 Rec:1.53e-04 	 Color:2.81e-04 	Time: 0.46
epoch 4400:	style:4.45e-03 	 Rec:4.65e-05 	 Color:1.99e-04 	Time: 0.46
epoch 4450:	style:5.10e-03 	 Rec:1.49e-04 	 Color:1.93e-04 	Time: 0.46
epoch 4500:	style:4.17e-03 	 Rec:9.96e-05 	 Color:2.38e-04 	Time: 0.46
epoch 4550:	style:4.83e-03 	 Rec:2.71e-05 	 Color:3.63e-04 	Time: 0.45
epoch 4600:	style:5.33e-03 	 Rec:2.92e-04 	 Color:3.04e-04 	Time: 0.44
epoch 4650:	style:5.15e-03 	 Rec:1.26e-05 	 Color:2.23e-04 	Time: 0.48
epoch 4700:	style:6.16e-03 	 Rec:6.00e-05 	 Color:3.21e-04 	Time: 0.45
epoch 4750:	style:5.06e-03 	 Rec:2.41e-04 	 Color:2.24e-04 	Time: 0.45
epoch 4800:	style:4.77e-03 	 Rec:1.38e-04 	 Color:1.85e-04 	Time: 0.45
epoch 4850:	style:5.64e-03 	 Rec:3.00e-05 	 Color:1.80e-04 	Time: 0.45
epoch 4900:	style:5.39e-03 	 Rec:1.72e-05 	 Color:1.42e-04 	Time: 0.46
epoch 4950:	style:5.06e-03 	 Rec:5.58e-05 	 Color:3.00e-04 	Time: 0.46
epoch 5000:	style:5.01e-03 	 Rec:1.36e-05 	 Color:1.58e-04 	Time: 0.45
epoch 5050:	style:5.52e-03 	 Rec:9.96e-05 	 Color:2.39e-04 	Time: 0.46
epoch 5100:	style:5.78e-03 	 Rec:5.28e-05 	 Color:3.42e-04 	Time: 0.45
epoch 5150:	style:4.85e-03 	 Rec:1.30e-04 	 Color:2.06e-04 	Time: 0.46
epoch 5200:	style:5.70e-03 	 Rec:2.23e-04 	 Color:1.63e-04 	Time: 0.47
epoch 5250:	style:4.91e-03 	 Rec:5.79e-05 	 Color:3.30e-04 	Time: 0.46
epoch 5300:	style:5.18e-03 	 Rec:1.12e-04 	 Color:2.64e-04 	Time: 0.46
epoch 5350:	style:6.18e-03 	 Rec:1.27e-04 	 Color:1.97e-04 	Time: 0.46
epoch 5400:	style:4.85e-03 	 Rec:3.62e-05 	 Color:2.77e-04 	Time: 0.46
epoch 5450:	style:3.39e-03 	 Rec:2.51e-03 	 Color:2.46e-04 	Time: 0.46
epoch 5500:	style:4.21e-03 	 Rec:2.28e-04 	 Color:2.06e-04 	Time: 0.46
epoch 5550:	style:4.41e-03 	 Rec:6.99e-05 	 Color:2.89e-04 	Time: 0.45
epoch 5600:	style:2.99e-03 	 Rec:6.74e-05 	 Color:8.90e-05 	Time: 0.45
epoch 5650:	style:3.63e-03 	 Rec:3.45e-05 	 Color:1.55e-04 	Time: 0.46
epoch 5700:	style:4.18e-03 	 Rec:5.39e-05 	 Color:2.45e-04 	Time: 0.45
epoch 5750:	style:4.46e-03 	 Rec:9.51e-06 	 Color:2.69e-04 	Time: 0.45
epoch 5800:	style:4.37e-03 	 Rec:4.68e-06 	 Color:3.51e-04 	Time: 0.45
epoch 5850:	style:3.85e-03 	 Rec:4.28e-05 	 Color:2.70e-04 	Time: 0.45
epoch 5900:	style:3.82e-03 	 Rec:1.64e-05 	 Color:2.84e-04 	Time: 0.45
epoch 5950:	style:3.74e-03 	 Rec:4.07e-06 	 Color:2.15e-04 	Time: 0.45
epoch 6000:	style:2.92e-03 	 Rec:8.57e-06 	 Color:1.69e-04 	Time: 0.45
epoch 6050:	style:3.63e-03 	 Rec:9.83e-06 	 Color:2.16e-04 	Time: 0.46
epoch 6100:	style:3.92e-03 	 Rec:1.02e-04 	 Color:3.33e-04 	Time: 0.46
epoch 6150:	style:4.66e-03 	 Rec:4.74e-06 	 Color:3.22e-04 	Time: 0.45
epoch 6200:	style:4.20e-03 	 Rec:1.84e-05 	 Color:2.24e-04 	Time: 0.45
epoch 6250:	style:3.86e-03 	 Rec:3.87e-05 	 Color:2.85e-04 	Time: 0.46
epoch 6300:	style:3.15e-03 	 Rec:7.28e-05 	 Color:2.24e-04 	Time: 0.46
epoch 6350:	style:4.20e-03 	 Rec:4.98e-05 	 Color:3.90e-04 	Time: 0.46
epoch 6400:	style:3.78e-03 	 Rec:3.83e-05 	 Color:4.19e-04 	Time: 0.45
epoch 6450:	style:3.34e-03 	 Rec:5.02e-08 	 Color:3.11e-04 	Time: 0.45
epoch 6500:	style:3.70e-03 	 Rec:2.97e-08 	 Color:3.53e-04 	Time: 0.46
epoch 6550:	style:4.45e-03 	 Rec:1.92e-08 	 Color:2.28e-04 	Time: 0.46
epoch 6600:	style:4.05e-03 	 Rec:1.29e-08 	 Color:2.28e-04 	Time: 0.46
epoch 6650:	style:4.98e-03 	 Rec:8.84e-09 	 Color:3.32e-04 	Time: 0.46
epoch 6700:	style:4.05e-03 	 Rec:6.13e-09 	 Color:2.32e-04 	Time: 0.45
epoch 6750:	style:4.00e-03 	 Rec:4.28e-09 	 Color:2.61e-04 	Time: 0.45
epoch 6800:	style:2.70e-03 	 Rec:3.02e-09 	 Color:3.47e-04 	Time: 0.46
epoch 6850:	style:3.78e-03 	 Rec:2.15e-09 	 Color:2.08e-04 	Time: 0.46
epoch 6900:	style:3.62e-03 	 Rec:1.53e-09 	 Color:3.04e-04 	Time: 0.46
epoch 6950:	style:3.28e-03 	 Rec:1.13e-09 	 Color:2.27e-04 	Time: 0.46
epoch 7000:	style:4.38e-03 	 Rec:8.17e-10 	 Color:1.74e-04 	Time: 0.45
epoch 7050:	style:3.17e-03 	 Rec:6.22e-10 	 Color:2.31e-04 	Time: 0.47
epoch 7100:	style:3.59e-03 	 Rec:5.00e-10 	 Color:2.44e-04 	Time: 0.46
epoch 7150:	style:3.37e-03 	 Rec:3.86e-10 	 Color:1.57e-04 	Time: 0.45
epoch 7200:	style:3.97e-03 	 Rec:3.03e-10 	 Color:4.00e-04 	Time: 0.45
epoch 7250:	style:3.82e-03 	 Rec:2.51e-10 	 Color:3.80e-04 	Time: 0.46
epoch 7300:	style:3.21e-03 	 Rec:2.15e-10 	 Color:2.36e-04 	Time: 0.46
epoch 7350:	style:3.78e-03 	 Rec:3.01e-10 	 Color:1.87e-04 	Time: 0.46
epoch 7400:	style:3.52e-03 	 Rec:2.97e-10 	 Color:2.43e-04 	Time: 0.46
epoch 7450:	style:4.16e-03 	 Rec:3.51e-10 	 Color:2.76e-04 	Time: 0.46
epoch 7500:	style:3.97e-03 	 Rec:1.12e-08 	 Color:2.41e-04 	Time: 0.46
epoch 7550:	style:3.39e-03 	 Rec:9.27e-05 	 Color:2.40e-04 	Time: 0.45
epoch 7600:	style:3.96e-03 	 Rec:1.30e-04 	 Color:2.63e-04 	Time: 0.45
epoch 7650:	style:4.28e-03 	 Rec:3.06e-05 	 Color:2.43e-04 	Time: 0.45
epoch 7700:	style:4.00e-03 	 Rec:3.00e-05 	 Color:2.82e-04 	Time: 0.45
epoch 7750:	style:3.96e-03 	 Rec:3.44e-05 	 Color:1.90e-04 	Time: 0.45
epoch 7800:	style:3.35e-03 	 Rec:4.37e-05 	 Color:2.38e-04 	Time: 0.46
epoch 7850:	style:3.36e-03 	 Rec:4.84e-05 	 Color:2.46e-04 	Time: 0.46
epoch 7900:	style:4.31e-03 	 Rec:5.97e-06 	 Color:3.27e-04 	Time: 0.46
epoch 7950:	style:4.00e-03 	 Rec:5.69e-05 	 Color:1.60e-04 	Time: 0.46
