epoch 1500:	style:6.61e-03 	 Rec:4.75e-03 	Time: 0.88
epoch 1550:	style:4.28e-03 	 Rec:3.85e-03 	Time: 0.89
epoch 1600:	style:1.22e-02 	 Rec:4.86e-03 	Time: 0.88
epoch 1650:	style:5.94e-03 	 Rec:4.59e-03 	Time: 0.88
epoch 1700:	style:4.72e-03 	 Rec:5.16e-03 	Time: 0.88
epoch 1750:	style:4.72e-03 	 Rec:3.65e-03 	Time: 0.88
epoch 1800:	style:4.15e-03 	 Rec:3.63e-03 	Time: 0.88
epoch 1850:	style:5.30e-03 	 Rec:4.91e-03 	Time: 0.89
epoch 1900:	style:5.49e-03 	 Rec:3.44e-03 	Time: 0.88
epoch 1950:	style:5.56e-03 	 Rec:4.20e-03 	Time: 0.88
epoch 2000:	style:5.32e-03 	 Rec:4.39e-03 	Time: 0.88
epoch 2050:	style:3.66e-03 	 Rec:3.57e-03 	Time: 0.88
epoch 2100:	style:4.43e-03 	 Rec:4.37e-03 	Time: 0.88
epoch 2150:	style:5.37e-03 	 Rec:4.16e-03 	Time: 0.89
epoch 2200:	style:3.69e-03 	 Rec:3.07e-03 	Time: 0.88
epoch 2250:	style:6.25e-03 	 Rec:3.47e-03 	Time: 0.88
epoch 2300:	style:6.06e-03 	 Rec:3.63e-03 	Time: 0.87
epoch 2350:	style:4.26e-03 	 Rec:2.94e-03 	Time: 0.89
epoch 2400:	style:4.51e-03 	 Rec:3.08e-03 	Time: 0.88
epoch 2450:	style:4.52e-03 	 Rec:2.83e-03 	Time: 0.89
epoch 2500:	style:5.83e-03 	 Rec:3.66e-03 	Time: 0.89
epoch 2550:	style:4.68e-03 	 Rec:2.85e-03 	Time: 0.89
epoch 2600:	style:5.75e-03 	 Rec:2.53e-03 	Time: 0.88
epoch 2650:	style:4.68e-03 	 Rec:3.18e-03 	Time: 0.88
epoch 2700:	style:4.80e-03 	 Rec:3.41e-03 	Time: 0.88
epoch 2750:	style:5.53e-03 	 Rec:2.81e-03 	Time: 0.88
epoch 2800:	style:4.64e-03 	 Rec:3.23e-03 	Time: 0.88
epoch 2850:	style:5.02e-03 	 Rec:2.63e-03 	Time: 0.89
epoch 2900:	style:6.79e-03 	 Rec:5.49e-03 	Time: 0.88
epoch 2950:	style:3.68e-03 	 Rec:3.13e-03 	Time: 0.88
epoch 3000:	style:5.60e-03 	 Rec:4.87e-03 	Time: 0.88
epoch 3050:	style:4.55e-03 	 Rec:2.54e-03 	Time: 0.89
epoch 3100:	style:5.99e-03 	 Rec:2.78e-03 	Time: 0.88
epoch 3150:	style:6.85e-03 	 Rec:2.81e-03 	Time: 0.89
epoch 3200:	style:6.09e-03 	 Rec:4.12e-03 	Time: 0.88
epoch 3250:	style:5.13e-03 	 Rec:2.67e-03 	Time: 0.88
epoch 3300:	style:4.51e-03 	 Rec:3.28e-03 	Time: 0.90
epoch 3350:	style:6.40e-03 	 Rec:4.49e-03 	Time: 0.89
epoch 3400:	style:4.89e-03 	 Rec:2.84e-03 	Time: 0.87
epoch 3450:	style:5.43e-03 	 Rec:3.01e-03 	Time: 0.88
epoch 3500:	style:6.75e-03 	 Rec:4.80e-03 	Time: 0.88
epoch 3550:	style:5.40e-03 	 Rec:3.20e-03 	Time: 0.88
epoch 3600:	style:4.41e-03 	 Rec:4.04e-03 	Time: 0.88
epoch 3650:	style:4.05e-03 	 Rec:3.37e-03 	Time: 0.89
epoch 3700:	style:4.39e-03 	 Rec:2.80e-03 	Time: 0.89
epoch 3750:	style:5.03e-03 	 Rec:3.01e-03 	Time: 0.88
epoch 3800:	style:4.29e-03 	 Rec:2.49e-03 	Time: 0.88
epoch 3850:	style:5.15e-03 	 Rec:2.70e-03 	Time: 0.88
epoch 3900:	style:4.03e-03 	 Rec:2.76e-03 	Time: 0.88
epoch 3950:	style:5.08e-03 	 Rec:2.17e-03 	Time: 0.89
epoch 4000:	style:5.63e-03 	 Rec:4.13e-03 	Time: 0.88
epoch 4050:	style:6.11e-03 	 Rec:2.58e-03 	Time: 0.90
epoch 4100:	style:3.63e-03 	 Rec:2.52e-03 	Time: 0.88
epoch 4150:	style:5.14e-03 	 Rec:3.37e-03 	Time: 0.88
epoch 4200:	style:5.67e-03 	 Rec:2.55e-03 	Time: 0.89
epoch 4250:	style:3.85e-03 	 Rec:2.06e-03 	Time: 0.90
epoch 4300:	style:4.81e-03 	 Rec:2.15e-03 	Time: 0.88
epoch 4350:	style:6.09e-03 	 Rec:3.60e-03 	Time: 0.88
epoch 4400:	style:3.93e-03 	 Rec:2.62e-03 	Time: 0.88
epoch 4450:	style:3.93e-03 	 Rec:2.00e-03 	Time: 0.88
epoch 4500:	style:4.68e-03 	 Rec:2.36e-03 	Time: 0.89
epoch 4550:	style:4.49e-03 	 Rec:2.12e-03 	Time: 0.90
epoch 4600:	style:5.53e-03 	 Rec:2.97e-03 	Time: 0.88
epoch 4650:	style:4.70e-03 	 Rec:2.04e-03 	Time: 0.88
epoch 4700:	style:4.07e-03 	 Rec:1.74e-03 	Time: 0.89
epoch 4750:	style:5.06e-03 	 Rec:2.55e-03 	Time: 0.88
epoch 4800:	style:5.42e-03 	 Rec:2.23e-03 	Time: 0.88
epoch 4850:	style:4.73e-03 	 Rec:2.41e-03 	Time: 0.89
epoch 4900:	style:4.11e-03 	 Rec:2.45e-03 	Time: 0.88
epoch 4950:	style:3.97e-03 	 Rec:2.35e-03 	Time: 0.88
epoch 5000:	style:4.76e-03 	 Rec:2.32e-03 	Time: 0.89
epoch 5050:	style:4.02e-03 	 Rec:1.92e-03 	Time: 0.88
epoch 5100:	style:6.41e-03 	 Rec:2.19e-03 	Time: 0.88
epoch 5150:	style:7.47e-03 	 Rec:2.16e-03 	Time: 0.90
epoch 5200:	style:5.49e-03 	 Rec:2.85e-03 	Time: 0.89
epoch 5250:	style:4.32e-03 	 Rec:2.30e-03 	Time: 0.90
epoch 5300:	style:4.93e-03 	 Rec:2.93e-03 	Time: 0.89
epoch 5350:	style:4.19e-03 	 Rec:2.39e-03 	Time: 0.89
epoch 5400:	style:4.22e-03 	 Rec:2.11e-03 	Time: 0.89
epoch 5450:	style:5.18e-03 	 Rec:2.59e-03 	Time: 0.89
epoch 5500:	style:4.98e-03 	 Rec:2.17e-03 	Time: 0.89
epoch 5550:	style:4.67e-03 	 Rec:3.29e-03 	Time: 0.88
epoch 5600:	style:3.94e-03 	 Rec:1.57e-03 	Time: 0.90
epoch 5650:	style:3.69e-03 	 Rec:3.21e-03 	Time: 0.88
epoch 5700:	style:4.54e-03 	 Rec:1.80e-03 	Time: 0.88
epoch 5750:	style:3.52e-03 	 Rec:1.72e-03 	Time: 0.91
epoch 5800:	style:4.32e-03 	 Rec:1.79e-03 	Time: 0.88
epoch 5850:	style:4.56e-03 	 Rec:2.68e-03 	Time: 0.88
