epoch 0:	pdl:1.54e+00 	 Rec:1.54e+00 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.11e-01 	 Rec:1.03e-02 	 Color:0.00e+00 	Time: 0.42
epoch 100:	pdl:6.55e-01 	 Rec:3.78e-03 	 Color:0.00e+00 	Time: 0.40
epoch 150:	pdl:5.81e-01 	 Rec:7.13e-04 	 Color:0.00e+00 	Time: 0.42
epoch 200:	pdl:5.44e-01 	 Rec:2.33e-03 	 Color:0.00e+00 	Time: 0.38
epoch 250:	pdl:6.06e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.36
epoch 300:	pdl:5.93e-01 	 Rec:1.70e-03 	 Color:0.00e+00 	Time: 0.40
epoch 350:	pdl:5.64e-01 	 Rec:4.05e-04 	 Color:0.00e+00 	Time: 0.43
epoch 400:	pdl:5.66e-01 	 Rec:4.50e-04 	 Color:0.00e+00 	Time: 0.40
epoch 450:	pdl:5.59e-01 	 Rec:2.53e-04 	 Color:0.00e+00 	Time: 0.38
epoch 500:	pdl:5.73e-01 	 Rec:1.57e-04 	 Color:0.00e+00 	Time: 0.37
epoch 550:	pdl:5.67e-01 	 Rec:4.58e-04 	 Color:0.00e+00 	Time: 0.43
epoch 600:	pdl:5.39e-01 	 Rec:5.45e-04 	 Color:0.00e+00 	Time: 0.38
epoch 650:	pdl:5.24e-01 	 Rec:1.96e-03 	 Color:0.00e+00 	Time: 0.40
epoch 700:	pdl:5.39e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.40
epoch 750:	pdl:5.56e-01 	 Rec:5.85e-04 	 Color:0.00e+00 	Time: 0.40
epoch 800:	pdl:5.39e-01 	 Rec:6.88e-04 	 Color:0.00e+00 	Time: 0.40
epoch 850:	pdl:5.42e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 0.36
epoch 900:	pdl:5.35e-01 	 Rec:3.35e-04 	 Color:0.00e+00 	Time: 0.40
epoch 950:	pdl:5.49e-01 	 Rec:3.28e-04 	 Color:0.00e+00 	Time: 0.40
