epoch 0:	gram:2.86e-02 	 Rec:6.20e-02 	 Color:9.49e-07 	Time: 0.02
epoch 50:	gram:6.36e-03 	 Rec:9.18e-03 	 Color:5.97e-07 	Time: 0.77
epoch 100:	gram:6.71e-03 	 Rec:7.64e-03 	 Color:7.19e-07 	Time: 0.68
epoch 150:	gram:7.26e-03 	 Rec:8.11e-03 	 Color:6.15e-07 	Time: 0.64
epoch 200:	gram:5.44e-03 	 Rec:6.35e-03 	 Color:7.63e-07 	Time: 0.65
epoch 250:	gram:6.81e-03 	 Rec:6.23e-03 	 Color:7.63e-07 	Time: 0.65
epoch 300:	gram:6.44e-03 	 Rec:5.84e-03 	 Color:6.16e-07 	Time: 0.65
epoch 350:	gram:6.81e-03 	 Rec:5.85e-03 	 Color:7.43e-07 	Time: 0.65
epoch 400:	gram:6.25e-03 	 Rec:5.99e-03 	 Color:5.38e-07 	Time: 0.65
epoch 450:	gram:6.80e-03 	 Rec:5.09e-03 	 Color:6.65e-07 	Time: 0.65
epoch 500:	gram:6.24e-03 	 Rec:5.08e-03 	 Color:7.17e-07 	Time: 0.65
epoch 550:	gram:8.08e-03 	 Rec:6.03e-03 	 Color:6.99e-07 	Time: 0.65
epoch 600:	gram:8.14e-03 	 Rec:5.85e-03 	 Color:7.60e-07 	Time: 0.64
epoch 650:	gram:8.99e-03 	 Rec:4.73e-03 	 Color:6.88e-07 	Time: 0.65
epoch 700:	gram:7.46e-03 	 Rec:5.00e-03 	 Color:6.04e-07 	Time: 0.65
epoch 750:	gram:7.14e-03 	 Rec:5.05e-03 	 Color:6.00e-07 	Time: 0.64
epoch 800:	gram:6.42e-03 	 Rec:4.69e-03 	 Color:7.05e-07 	Time: 0.65
epoch 850:	gram:8.34e-03 	 Rec:4.80e-03 	 Color:6.78e-07 	Time: 0.65
epoch 900:	gram:5.72e-03 	 Rec:4.48e-03 	 Color:6.35e-07 	Time: 0.64
epoch 950:	gram:6.56e-03 	 Rec:5.42e-03 	 Color:6.62e-07 	Time: 0.64
epoch 1000:	gram:7.80e-03 	 Rec:5.17e-03 	 Color:6.86e-07 	Time: 0.65
epoch 1050:	gram:5.67e-03 	 Rec:4.09e-03 	 Color:6.90e-07 	Time: 0.65
epoch 1100:	gram:6.42e-03 	 Rec:4.50e-03 	 Color:6.30e-07 	Time: 0.66
epoch 1150:	gram:6.50e-03 	 Rec:4.09e-03 	 Color:5.06e-07 	Time: 0.66
epoch 1200:	gram:5.83e-03 	 Rec:4.27e-03 	 Color:6.57e-07 	Time: 0.66
epoch 1250:	gram:6.53e-03 	 Rec:3.91e-03 	 Color:6.70e-07 	Time: 0.66
epoch 1300:	gram:6.23e-03 	 Rec:4.24e-03 	 Color:8.14e-07 	Time: 0.67
epoch 1350:	gram:7.28e-03 	 Rec:4.33e-03 	 Color:6.71e-07 	Time: 0.67
epoch 1400:	gram:8.28e-03 	 Rec:4.07e-03 	 Color:5.38e-07 	Time: 0.68
epoch 1450:	gram:6.19e-03 	 Rec:3.74e-03 	 Color:7.24e-07 	Time: 0.66
epoch 1500:	gram:6.51e-03 	 Rec:3.82e-03 	 Color:7.16e-07 	Time: 0.67
epoch 1550:	gram:6.04e-03 	 Rec:3.71e-03 	 Color:6.49e-07 	Time: 0.66
epoch 1600:	gram:6.02e-03 	 Rec:3.67e-03 	 Color:7.53e-07 	Time: 0.66
epoch 1650:	gram:5.74e-03 	 Rec:3.91e-03 	 Color:8.60e-07 	Time: 0.66
epoch 1700:	gram:6.35e-03 	 Rec:3.66e-03 	 Color:7.37e-07 	Time: 0.69
epoch 1750:	gram:5.95e-03 	 Rec:3.52e-03 	 Color:6.63e-07 	Time: 0.67
epoch 1800:	gram:6.66e-03 	 Rec:3.52e-03 	 Color:7.58e-07 	Time: 0.68
epoch 1850:	gram:6.39e-03 	 Rec:4.28e-03 	 Color:5.37e-07 	Time: 0.66
epoch 1900:	gram:6.82e-03 	 Rec:4.11e-03 	 Color:6.24e-07 	Time: 0.66
epoch 1950:	gram:5.96e-03 	 Rec:3.24e-03 	 Color:6.53e-07 	Time: 0.65
epoch 2000:	gram:7.27e-03 	 Rec:3.13e-03 	 Color:5.83e-07 	Time: 0.66
epoch 2050:	gram:5.51e-03 	 Rec:3.63e-03 	 Color:5.63e-07 	Time: 0.71
epoch 2100:	gram:8.53e-03 	 Rec:3.25e-03 	 Color:5.86e-07 	Time: 0.66
epoch 2150:	gram:6.65e-03 	 Rec:3.41e-03 	 Color:6.98e-07 	Time: 0.66
epoch 2200:	gram:5.91e-03 	 Rec:3.32e-03 	 Color:7.38e-07 	Time: 0.70
epoch 2250:	gram:7.22e-03 	 Rec:2.98e-03 	 Color:5.52e-07 	Time: 0.66
epoch 2300:	gram:6.12e-03 	 Rec:3.55e-03 	 Color:7.62e-07 	Time: 0.68
epoch 2350:	gram:7.11e-03 	 Rec:3.02e-03 	 Color:6.55e-07 	Time: 0.65
epoch 2400:	gram:6.63e-03 	 Rec:3.43e-03 	 Color:6.58e-07 	Time: 0.65
epoch 2450:	gram:6.09e-03 	 Rec:3.65e-03 	 Color:6.21e-07 	Time: 0.65
epoch 2500:	gram:6.38e-03 	 Rec:3.31e-03 	 Color:6.43e-07 	Time: 0.65
epoch 2550:	gram:8.34e-03 	 Rec:3.38e-03 	 Color:6.40e-07 	Time: 0.65
epoch 2600:	gram:5.82e-03 	 Rec:3.18e-03 	 Color:6.26e-07 	Time: 0.65
epoch 2650:	gram:5.92e-03 	 Rec:3.44e-03 	 Color:6.73e-07 	Time: 0.65
epoch 2700:	gram:6.07e-03 	 Rec:2.93e-03 	 Color:5.50e-07 	Time: 0.66
epoch 2750:	gram:5.44e-03 	 Rec:2.83e-03 	 Color:6.75e-07 	Time: 0.66
epoch 2800:	gram:5.80e-03 	 Rec:2.80e-03 	 Color:6.85e-07 	Time: 0.67
epoch 2850:	gram:5.18e-03 	 Rec:2.93e-03 	 Color:6.50e-07 	Time: 0.66
epoch 2900:	gram:5.90e-03 	 Rec:2.98e-03 	 Color:5.54e-07 	Time: 0.65
epoch 2950:	gram:7.61e-03 	 Rec:3.00e-03 	 Color:8.10e-07 	Time: 0.68
