epoch 2700:	style:3.78e-03 	 Rec:4.84e-04 	Time: 0.41
epoch 2750:	style:3.97e-03 	 Rec:4.77e-04 	Time: 0.42
epoch 2800:	style:3.52e-03 	 Rec:6.35e-04 	Time: 0.42
epoch 2850:	style:4.42e-03 	 Rec:5.24e-04 	Time: 0.42
epoch 2900:	style:3.58e-03 	 Rec:5.54e-04 	Time: 0.42
epoch 2950:	style:4.97e-03 	 Rec:5.95e-04 	Time: 0.42
epoch 3000:	style:3.71e-03 	 Rec:4.69e-04 	Time: 0.42
epoch 3050:	style:4.18e-03 	 Rec:5.31e-04 	Time: 0.42
epoch 3100:	style:4.43e-03 	 Rec:5.76e-04 	Time: 0.43
epoch 3150:	style:3.59e-03 	 Rec:4.34e-04 	Time: 0.45
epoch 3200:	style:2.78e-03 	 Rec:4.30e-04 	Time: 0.42
epoch 3250:	style:4.17e-03 	 Rec:4.78e-04 	Time: 0.42
epoch 3300:	style:4.05e-03 	 Rec:4.73e-04 	Time: 0.42
epoch 3350:	style:3.54e-03 	 Rec:4.87e-04 	Time: 0.43
epoch 3400:	style:4.21e-03 	 Rec:4.46e-04 	Time: 0.42
epoch 3450:	style:4.90e-03 	 Rec:4.19e-04 	Time: 0.42
epoch 3500:	style:4.28e-03 	 Rec:5.22e-04 	Time: 0.42
epoch 3550:	style:3.94e-03 	 Rec:4.74e-04 	Time: 0.42
epoch 3600:	style:3.34e-03 	 Rec:4.38e-04 	Time: 0.42
epoch 3650:	style:3.85e-03 	 Rec:4.81e-04 	Time: 0.42
epoch 3700:	style:4.75e-03 	 Rec:4.60e-04 	Time: 0.42
epoch 3750:	style:3.65e-03 	 Rec:4.53e-04 	Time: 0.42
epoch 3800:	style:3.72e-03 	 Rec:5.19e-04 	Time: 0.42
epoch 3850:	style:4.47e-03 	 Rec:4.37e-04 	Time: 0.42
epoch 3900:	style:4.14e-03 	 Rec:4.23e-04 	Time: 0.42
epoch 3950:	style:4.25e-03 	 Rec:4.02e-04 	Time: 0.42
epoch 4000:	style:3.83e-03 	 Rec:3.91e-04 	Time: 0.41
epoch 4050:	style:3.95e-03 	 Rec:3.93e-04 	Time: 0.41
epoch 4100:	style:3.67e-03 	 Rec:4.42e-04 	Time: 0.42
epoch 4150:	style:3.34e-03 	 Rec:3.81e-04 	Time: 0.41
epoch 4200:	style:3.95e-03 	 Rec:4.41e-04 	Time: 0.41
epoch 4250:	style:5.47e-03 	 Rec:4.66e-04 	Time: 0.42
epoch 4300:	style:3.32e-03 	 Rec:3.82e-04 	Time: 0.44
epoch 4350:	style:3.29e-03 	 Rec:5.35e-04 	Time: 0.41
epoch 4400:	style:4.46e-03 	 Rec:4.89e-04 	Time: 0.41
epoch 4450:	style:3.15e-03 	 Rec:3.87e-04 	Time: 0.41
epoch 4500:	style:3.15e-03 	 Rec:4.15e-04 	Time: 0.41
epoch 4550:	style:4.42e-03 	 Rec:4.53e-04 	Time: 0.43
epoch 4600:	style:3.37e-03 	 Rec:3.78e-04 	Time: 0.42
epoch 4650:	style:3.21e-03 	 Rec:3.72e-04 	Time: 0.42
epoch 4700:	style:4.10e-03 	 Rec:4.19e-04 	Time: 0.43
epoch 4750:	style:3.90e-03 	 Rec:5.97e-04 	Time: 0.43
epoch 4800:	style:3.35e-03 	 Rec:4.62e-04 	Time: 0.42
