epoch 0:	pdl:1.86e+00 	 Rec:8.88e-02 	 Color:2.50e-01 	Time: 0.02
epoch 50:	pdl:7.43e-01 	 Rec:1.15e-02 	 Color:1.57e-01 	Time: 1.68
epoch 100:	pdl:8.15e-01 	 Rec:9.31e-03 	 Color:1.71e-01 	Time: 1.68
epoch 150:	pdl:6.84e-01 	 Rec:8.00e-03 	 Color:1.77e-01 	Time: 1.68
epoch 200:	pdl:6.90e-01 	 Rec:8.09e-03 	 Color:1.82e-01 	Time: 1.67
epoch 250:	pdl:6.86e-01 	 Rec:7.81e-03 	 Color:1.68e-01 	Time: 1.67
epoch 300:	pdl:6.53e-01 	 Rec:7.83e-03 	 Color:1.70e-01 	Time: 1.69
epoch 350:	pdl:7.45e-01 	 Rec:7.62e-03 	 Color:1.54e-01 	Time: 1.68
epoch 400:	pdl:6.90e-01 	 Rec:7.47e-03 	 Color:1.66e-01 	Time: 1.68
epoch 450:	pdl:6.16e-01 	 Rec:6.64e-03 	 Color:1.75e-01 	Time: 1.68
epoch 500:	pdl:6.59e-01 	 Rec:7.12e-03 	 Color:1.59e-01 	Time: 1.68
epoch 550:	pdl:6.35e-01 	 Rec:6.99e-03 	 Color:1.73e-01 	Time: 1.69
epoch 600:	pdl:6.44e-01 	 Rec:6.63e-03 	 Color:1.73e-01 	Time: 1.68
epoch 650:	pdl:6.93e-01 	 Rec:6.90e-03 	 Color:1.74e-01 	Time: 1.67
epoch 700:	pdl:7.66e-01 	 Rec:6.97e-03 	 Color:1.70e-01 	Time: 1.68
epoch 750:	pdl:6.27e-01 	 Rec:7.22e-03 	 Color:1.63e-01 	Time: 1.68
epoch 800:	pdl:7.18e-01 	 Rec:6.53e-03 	 Color:1.56e-01 	Time: 1.68
epoch 850:	pdl:6.45e-01 	 Rec:6.62e-03 	 Color:1.74e-01 	Time: 1.67
epoch 900:	pdl:6.45e-01 	 Rec:6.96e-03 	 Color:1.67e-01 	Time: 1.66
epoch 950:	pdl:6.67e-01 	 Rec:7.05e-03 	 Color:1.84e-01 	Time: 1.67
epoch 1000:	pdl:6.65e-01 	 Rec:7.95e-03 	 Color:1.57e-01 	Time: 1.67
epoch 1050:	pdl:7.21e-01 	 Rec:7.53e-03 	 Color:1.78e-01 	Time: 1.68
epoch 1100:	pdl:6.59e-01 	 Rec:7.27e-03 	 Color:1.85e-01 	Time: 1.69
epoch 1150:	pdl:6.06e-01 	 Rec:6.53e-03 	 Color:1.78e-01 	Time: 1.67
epoch 1200:	pdl:7.35e-01 	 Rec:6.78e-03 	 Color:1.66e-01 	Time: 1.67
epoch 1250:	pdl:7.04e-01 	 Rec:6.57e-03 	 Color:1.89e-01 	Time: 1.68
epoch 1300:	pdl:6.64e-01 	 Rec:7.03e-03 	 Color:1.80e-01 	Time: 1.66
epoch 1350:	pdl:6.56e-01 	 Rec:6.80e-03 	 Color:1.71e-01 	Time: 1.68
epoch 1400:	pdl:6.31e-01 	 Rec:6.46e-03 	 Color:1.66e-01 	Time: 1.67
epoch 1450:	pdl:6.05e-01 	 Rec:6.83e-03 	 Color:1.66e-01 	Time: 1.68
epoch 1500:	pdl:6.58e-01 	 Rec:6.33e-03 	 Color:1.54e-01 	Time: 1.67
epoch 1550:	pdl:6.63e-01 	 Rec:6.53e-03 	 Color:1.88e-01 	Time: 1.67
epoch 1600:	pdl:6.42e-01 	 Rec:6.47e-03 	 Color:1.55e-01 	Time: 1.69
epoch 1650:	pdl:6.55e-01 	 Rec:6.45e-03 	 Color:1.73e-01 	Time: 1.67
epoch 1700:	pdl:6.49e-01 	 Rec:7.02e-03 	 Color:1.67e-01 	Time: 1.68
epoch 1750:	pdl:7.48e-01 	 Rec:7.41e-03 	 Color:1.75e-01 	Time: 1.68
epoch 1800:	pdl:7.05e-01 	 Rec:6.46e-03 	 Color:1.85e-01 	Time: 1.64
epoch 1850:	pdl:6.27e-01 	 Rec:6.47e-03 	 Color:1.81e-01 	Time: 1.67
epoch 1900:	pdl:6.24e-01 	 Rec:6.79e-03 	 Color:1.69e-01 	Time: 1.66
epoch 1950:	pdl:6.49e-01 	 Rec:6.59e-03 	 Color:1.62e-01 	Time: 1.67
epoch 2000:	pdl:6.91e-01 	 Rec:6.29e-03 	 Color:1.67e-01 	Time: 1.67
epoch 2050:	pdl:7.20e-01 	 Rec:7.98e-03 	 Color:1.83e-01 	Time: 1.68
epoch 2100:	pdl:6.29e-01 	 Rec:6.69e-03 	 Color:1.72e-01 	Time: 1.67
epoch 2150:	pdl:6.36e-01 	 Rec:6.58e-03 	 Color:1.55e-01 	Time: 1.67
epoch 2200:	pdl:6.31e-01 	 Rec:6.24e-03 	 Color:1.75e-01 	Time: 1.67
epoch 2250:	pdl:6.11e-01 	 Rec:5.97e-03 	 Color:1.63e-01 	Time: 1.65
epoch 2300:	pdl:7.00e-01 	 Rec:6.42e-03 	 Color:1.63e-01 	Time: 1.67
epoch 2350:	pdl:6.49e-01 	 Rec:6.15e-03 	 Color:1.81e-01 	Time: 1.67
epoch 2400:	pdl:6.49e-01 	 Rec:5.90e-03 	 Color:1.98e-01 	Time: 1.68
epoch 2450:	pdl:6.01e-01 	 Rec:6.13e-03 	 Color:1.69e-01 	Time: 1.67
epoch 2500:	pdl:5.90e-01 	 Rec:6.16e-03 	 Color:1.77e-01 	Time: 1.68
epoch 2550:	pdl:6.79e-01 	 Rec:7.55e-03 	 Color:1.73e-01 	Time: 1.66
epoch 2600:	pdl:6.54e-01 	 Rec:6.68e-03 	 Color:1.80e-01 	Time: 1.67
epoch 2650:	pdl:6.47e-01 	 Rec:6.23e-03 	 Color:1.85e-01 	Time: 1.67
epoch 2700:	pdl:6.09e-01 	 Rec:6.03e-03 	 Color:1.79e-01 	Time: 1.66
epoch 2750:	pdl:6.74e-01 	 Rec:5.96e-03 	 Color:1.76e-01 	Time: 1.67
epoch 2800:	pdl:6.45e-01 	 Rec:6.15e-03 	 Color:1.80e-01 	Time: 1.66
epoch 2850:	pdl:6.58e-01 	 Rec:6.51e-03 	 Color:1.53e-01 	Time: 1.67
epoch 2900:	pdl:6.89e-01 	 Rec:5.98e-03 	 Color:1.66e-01 	Time: 1.54
epoch 2950:	pdl:6.24e-01 	 Rec:5.97e-03 	 Color:1.64e-01 	Time: 1.31
epoch 3000:	pdl:6.63e-01 	 Rec:6.39e-03 	 Color:1.61e-01 	Time: 1.66
epoch 3050:	pdl:6.61e-01 	 Rec:5.92e-03 	 Color:1.84e-01 	Time: 1.66
epoch 3100:	pdl:6.50e-01 	 Rec:6.41e-03 	 Color:1.67e-01 	Time: 1.63
epoch 3150:	pdl:6.05e-01 	 Rec:6.07e-03 	 Color:1.58e-01 	Time: 1.60
epoch 3200:	pdl:6.62e-01 	 Rec:5.91e-03 	 Color:1.72e-01 	Time: 1.63
epoch 3250:	pdl:6.90e-01 	 Rec:5.99e-03 	 Color:1.79e-01 	Time: 1.61
epoch 3300:	pdl:6.14e-01 	 Rec:5.97e-03 	 Color:1.70e-01 	Time: 1.60
epoch 3350:	pdl:7.05e-01 	 Rec:6.67e-03 	 Color:1.86e-01 	Time: 1.64
epoch 3400:	pdl:6.28e-01 	 Rec:5.79e-03 	 Color:1.74e-01 	Time: 1.63
epoch 3450:	pdl:6.61e-01 	 Rec:6.87e-03 	 Color:1.90e-01 	Time: 1.63
epoch 3500:	pdl:6.17e-01 	 Rec:6.09e-03 	 Color:1.83e-01 	Time: 1.66
epoch 3550:	pdl:6.24e-01 	 Rec:6.11e-03 	 Color:1.76e-01 	Time: 1.70
epoch 3600:	pdl:6.12e-01 	 Rec:5.81e-03 	 Color:1.88e-01 	Time: 1.70
epoch 3650:	pdl:6.85e-01 	 Rec:5.91e-03 	 Color:1.91e-01 	Time: 1.66
epoch 3700:	pdl:6.37e-01 	 Rec:5.80e-03 	 Color:1.68e-01 	Time: 1.70
epoch 3750:	pdl:6.25e-01 	 Rec:5.96e-03 	 Color:1.71e-01 	Time: 1.69
epoch 3800:	pdl:6.45e-01 	 Rec:5.98e-03 	 Color:1.73e-01 	Time: 1.69
epoch 3850:	pdl:6.81e-01 	 Rec:6.13e-03 	 Color:1.82e-01 	Time: 1.72
epoch 3900:	pdl:6.70e-01 	 Rec:6.08e-03 	 Color:1.71e-01 	Time: 1.72
epoch 3950:	pdl:6.63e-01 	 Rec:6.35e-03 	 Color:1.72e-01 	Time: 1.68
epoch 4000:	pdl:5.85e-01 	 Rec:5.68e-03 	 Color:1.70e-01 	Time: 1.69
epoch 4050:	pdl:6.06e-01 	 Rec:6.13e-03 	 Color:1.58e-01 	Time: 1.68
epoch 4100:	pdl:6.30e-01 	 Rec:6.04e-03 	 Color:1.69e-01 	Time: 1.69
epoch 4150:	pdl:6.58e-01 	 Rec:6.58e-03 	 Color:1.71e-01 	Time: 1.69
epoch 4200:	pdl:6.38e-01 	 Rec:5.55e-03 	 Color:1.72e-01 	Time: 1.69
epoch 4250:	pdl:6.12e-01 	 Rec:5.97e-03 	 Color:1.87e-01 	Time: 1.70
epoch 4300:	pdl:6.89e-01 	 Rec:6.06e-03 	 Color:1.66e-01 	Time: 1.68
epoch 4350:	pdl:7.02e-01 	 Rec:5.72e-03 	 Color:1.88e-01 	Time: 1.68
epoch 4400:	pdl:6.46e-01 	 Rec:6.25e-03 	 Color:1.71e-01 	Time: 1.70
epoch 4450:	pdl:6.60e-01 	 Rec:6.26e-03 	 Color:1.81e-01 	Time: 1.71
epoch 4500:	pdl:6.47e-01 	 Rec:5.70e-03 	 Color:1.69e-01 	Time: 1.69
epoch 4550:	pdl:6.57e-01 	 Rec:5.67e-03 	 Color:1.73e-01 	Time: 1.66
epoch 4600:	pdl:6.54e-01 	 Rec:5.85e-03 	 Color:1.80e-01 	Time: 1.70
epoch 4650:	pdl:6.44e-01 	 Rec:6.24e-03 	 Color:1.79e-01 	Time: 1.72
epoch 4700:	pdl:5.80e-01 	 Rec:5.73e-03 	 Color:1.70e-01 	Time: 1.68
epoch 4750:	pdl:6.97e-01 	 Rec:5.73e-03 	 Color:1.82e-01 	Time: 1.62
epoch 4800:	pdl:6.19e-01 	 Rec:5.88e-03 	 Color:1.72e-01 	Time: 1.62
epoch 4850:	pdl:6.93e-01 	 Rec:5.65e-03 	 Color:1.80e-01 	Time: 1.61
epoch 4900:	pdl:6.36e-01 	 Rec:5.57e-03 	 Color:1.91e-01 	Time: 1.62
epoch 4950:	pdl:6.18e-01 	 Rec:5.81e-03 	 Color:1.67e-01 	Time: 1.60
epoch 5000:	pdl:6.38e-01 	 Rec:5.78e-03 	 Color:1.77e-01 	Time: 1.63
epoch 5050:	pdl:6.65e-01 	 Rec:5.66e-03 	 Color:1.67e-01 	Time: 1.65
epoch 5100:	pdl:5.71e-01 	 Rec:5.54e-03 	 Color:1.72e-01 	Time: 1.64
epoch 5150:	pdl:6.20e-01 	 Rec:5.91e-03 	 Color:1.76e-01 	Time: 1.63
epoch 5200:	pdl:6.29e-01 	 Rec:5.65e-03 	 Color:1.77e-01 	Time: 1.63
epoch 5250:	pdl:6.21e-01 	 Rec:5.94e-03 	 Color:1.92e-01 	Time: 1.66
epoch 5300:	pdl:6.40e-01 	 Rec:5.78e-03 	 Color:1.68e-01 	Time: 1.64
epoch 5350:	pdl:6.35e-01 	 Rec:5.84e-03 	 Color:1.57e-01 	Time: 1.66
epoch 5400:	pdl:6.19e-01 	 Rec:5.36e-03 	 Color:1.74e-01 	Time: 1.64
epoch 5450:	pdl:6.36e-01 	 Rec:5.50e-03 	 Color:1.61e-01 	Time: 1.59
epoch 5500:	pdl:5.89e-01 	 Rec:5.48e-03 	 Color:1.72e-01 	Time: 1.72
epoch 5550:	pdl:6.71e-01 	 Rec:5.68e-03 	 Color:1.71e-01 	Time: 1.73
epoch 5600:	pdl:6.46e-01 	 Rec:5.40e-03 	 Color:1.88e-01 	Time: 1.71
epoch 5650:	pdl:6.09e-01 	 Rec:5.55e-03 	 Color:1.67e-01 	Time: 1.70
epoch 5700:	pdl:6.25e-01 	 Rec:5.52e-03 	 Color:1.87e-01 	Time: 1.76
epoch 5750:	pdl:6.84e-01 	 Rec:5.78e-03 	 Color:1.85e-01 	Time: 1.71
epoch 5800:	pdl:6.35e-01 	 Rec:5.54e-03 	 Color:1.86e-01 	Time: 1.74
epoch 5850:	pdl:6.40e-01 	 Rec:5.59e-03 	 Color:1.76e-01 	Time: 1.72
epoch 5900:	pdl:6.28e-01 	 Rec:5.56e-03 	 Color:1.68e-01 	Time: 1.67
epoch 5950:	pdl:6.18e-01 	 Rec:5.81e-03 	 Color:1.79e-01 	Time: 1.70
epoch 6000:	pdl:6.20e-01 	 Rec:5.62e-03 	 Color:1.70e-01 	Time: 1.66
epoch 6050:	pdl:6.80e-01 	 Rec:5.44e-03 	 Color:1.78e-01 	Time: 1.62
epoch 6100:	pdl:6.68e-01 	 Rec:5.88e-03 	 Color:2.03e-01 	Time: 1.61
epoch 6150:	pdl:5.82e-01 	 Rec:5.67e-03 	 Color:1.70e-01 	Time: 1.62
epoch 6200:	pdl:6.23e-01 	 Rec:5.59e-03 	 Color:1.75e-01 	Time: 1.62
epoch 6250:	pdl:5.80e-01 	 Rec:5.34e-03 	 Color:1.68e-01 	Time: 1.61
epoch 6300:	pdl:6.20e-01 	 Rec:5.84e-03 	 Color:1.84e-01 	Time: 1.60
