epoch 0:	style:4.56e-02 	 Rec:2.47e-01 	 Color:5.59e-05 	Time: 0.01
epoch 50:	style:3.60e-03 	 Rec:1.04e-02 	 Color:3.90e-05 	Time: 0.45
epoch 100:	style:3.84e-03 	 Rec:1.97e-03 	 Color:4.11e-05 	Time: 0.45
epoch 150:	style:4.07e-03 	 Rec:7.34e-04 	 Color:3.25e-05 	Time: 0.45
epoch 200:	style:3.73e-03 	 Rec:2.73e-04 	 Color:3.03e-05 	Time: 0.45
epoch 250:	style:4.37e-03 	 Rec:1.76e-04 	 Color:2.46e-05 	Time: 0.45
epoch 300:	style:5.06e-03 	 Rec:8.42e-04 	 Color:3.82e-05 	Time: 0.45
epoch 350:	style:4.27e-03 	 Rec:4.61e-05 	 Color:4.06e-05 	Time: 0.45
epoch 400:	style:4.82e-03 	 Rec:2.24e-05 	 Color:4.36e-05 	Time: 0.45
epoch 450:	style:5.11e-03 	 Rec:1.16e-05 	 Color:4.98e-05 	Time: 0.45
epoch 500:	style:4.91e-03 	 Rec:1.08e-03 	 Color:2.86e-05 	Time: 0.45
epoch 550:	style:4.04e-03 	 Rec:4.60e-04 	 Color:2.17e-05 	Time: 0.45
epoch 600:	style:5.09e-03 	 Rec:4.52e-05 	 Color:2.71e-05 	Time: 0.46
epoch 650:	style:4.32e-03 	 Rec:2.02e-05 	 Color:3.41e-05 	Time: 0.46
epoch 700:	style:4.47e-03 	 Rec:4.59e-03 	 Color:5.80e-05 	Time: 0.46
epoch 750:	style:4.16e-03 	 Rec:3.56e-06 	 Color:3.79e-05 	Time: 0.46
epoch 800:	style:6.75e-03 	 Rec:1.01e-06 	 Color:1.99e-05 	Time: 0.46
epoch 850:	style:4.31e-03 	 Rec:3.06e-04 	 Color:3.56e-05 	Time: 0.45
epoch 900:	style:5.45e-03 	 Rec:3.11e-04 	 Color:2.95e-05 	Time: 0.45
epoch 950:	style:5.49e-03 	 Rec:3.03e-06 	 Color:3.38e-05 	Time: 0.46
epoch 1000:	style:5.28e-03 	 Rec:9.45e-06 	 Color:3.67e-05 	Time: 0.46
epoch 1050:	style:5.33e-03 	 Rec:3.27e-05 	 Color:2.71e-05 	Time: 0.46
epoch 1100:	style:6.51e-03 	 Rec:8.56e-05 	 Color:4.39e-05 	Time: 0.45
epoch 1150:	style:6.50e-03 	 Rec:1.21e-04 	 Color:3.14e-05 	Time: 0.46
epoch 1200:	style:4.97e-03 	 Rec:5.71e-04 	 Color:2.93e-05 	Time: 0.46
epoch 1250:	style:5.43e-03 	 Rec:3.53e-07 	 Color:3.39e-05 	Time: 0.46
epoch 1300:	style:3.40e-03 	 Rec:1.65e-04 	 Color:3.49e-05 	Time: 0.46
epoch 1350:	style:3.57e-03 	 Rec:3.45e-05 	 Color:4.01e-05 	Time: 0.45
epoch 1400:	style:4.60e-03 	 Rec:1.36e-05 	 Color:2.89e-05 	Time: 0.45
epoch 1450:	style:4.06e-03 	 Rec:3.37e-06 	 Color:3.09e-05 	Time: 0.46
epoch 1500:	style:4.21e-03 	 Rec:2.73e-05 	 Color:3.27e-05 	Time: 0.46
epoch 1550:	style:4.64e-03 	 Rec:7.29e-06 	 Color:3.36e-05 	Time: 0.46
epoch 1600:	style:3.45e-03 	 Rec:5.60e-07 	 Color:3.16e-05 	Time: 0.47
epoch 1650:	style:4.16e-03 	 Rec:1.22e-04 	 Color:4.00e-05 	Time: 0.46
epoch 1700:	style:3.68e-03 	 Rec:1.89e-07 	 Color:4.17e-05 	Time: 0.46
epoch 1750:	style:4.83e-03 	 Rec:2.76e-05 	 Color:3.10e-05 	Time: 0.46
epoch 1800:	style:4.41e-03 	 Rec:2.33e-05 	 Color:3.68e-05 	Time: 0.46
epoch 1850:	style:5.26e-03 	 Rec:6.07e-07 	 Color:2.92e-05 	Time: 0.47
epoch 1900:	style:4.62e-03 	 Rec:3.25e-05 	 Color:4.18e-05 	Time: 0.45
epoch 1950:	style:5.39e-03 	 Rec:6.35e-05 	 Color:2.49e-05 	Time: 0.45
epoch 2000:	style:6.35e-03 	 Rec:1.96e-05 	 Color:2.95e-05 	Time: 0.45
epoch 2050:	style:4.97e-03 	 Rec:2.56e-05 	 Color:4.68e-05 	Time: 0.46
epoch 2100:	style:4.82e-03 	 Rec:1.13e-06 	 Color:2.95e-05 	Time: 0.45
epoch 2150:	style:4.74e-03 	 Rec:3.45e-04 	 Color:4.90e-05 	Time: 0.45
epoch 2200:	style:5.33e-03 	 Rec:1.99e-07 	 Color:3.54e-05 	Time: 0.45
epoch 2250:	style:4.74e-03 	 Rec:9.84e-05 	 Color:2.45e-05 	Time: 0.46
epoch 2300:	style:4.58e-03 	 Rec:8.28e-05 	 Color:3.16e-05 	Time: 0.45
epoch 2350:	style:4.14e-03 	 Rec:4.05e-05 	 Color:3.08e-05 	Time: 0.46
epoch 2400:	style:3.97e-03 	 Rec:2.59e-05 	 Color:2.14e-05 	Time: 0.46
epoch 2450:	style:4.84e-03 	 Rec:1.68e-03 	 Color:3.72e-05 	Time: 0.46
epoch 2500:	style:4.58e-03 	 Rec:1.31e-06 	 Color:3.99e-05 	Time: 0.46
epoch 2550:	style:4.66e-03 	 Rec:1.15e-06 	 Color:2.47e-05 	Time: 0.46
epoch 2600:	style:4.61e-03 	 Rec:8.28e-06 	 Color:2.55e-05 	Time: 0.46
epoch 2650:	style:5.18e-03 	 Rec:3.90e-05 	 Color:3.04e-05 	Time: 0.46
epoch 2700:	style:3.57e-03 	 Rec:4.45e-05 	 Color:3.51e-05 	Time: 0.46
epoch 2750:	style:3.86e-03 	 Rec:6.13e-05 	 Color:3.69e-05 	Time: 0.46
epoch 2800:	style:4.59e-03 	 Rec:6.20e-07 	 Color:3.45e-05 	Time: 0.46
epoch 2850:	style:4.13e-03 	 Rec:1.95e-04 	 Color:3.07e-05 	Time: 0.46
epoch 2900:	style:4.10e-03 	 Rec:1.87e-05 	 Color:3.91e-05 	Time: 0.46
epoch 2950:	style:3.91e-03 	 Rec:1.95e-04 	 Color:2.91e-05 	Time: 0.46
epoch 3000:	style:3.85e-03 	 Rec:2.81e-04 	 Color:2.10e-05 	Time: 0.47
epoch 3050:	style:3.56e-03 	 Rec:2.90e-05 	 Color:3.52e-05 	Time: 0.47
epoch 3100:	style:4.97e-03 	 Rec:4.77e-05 	 Color:3.40e-05 	Time: 0.46
epoch 3150:	style:5.50e-03 	 Rec:5.85e-06 	 Color:4.33e-05 	Time: 0.46
epoch 3200:	style:5.48e-03 	 Rec:2.27e-05 	 Color:3.06e-05 	Time: 0.46
epoch 3250:	style:4.25e-03 	 Rec:1.81e-05 	 Color:5.84e-05 	Time: 0.46
epoch 3300:	style:3.94e-03 	 Rec:6.88e-05 	 Color:3.20e-05 	Time: 0.46
epoch 3350:	style:4.14e-03 	 Rec:4.31e-05 	 Color:2.94e-05 	Time: 0.46
epoch 3400:	style:4.40e-03 	 Rec:1.92e-04 	 Color:3.11e-05 	Time: 0.46
epoch 3450:	style:4.59e-03 	 Rec:4.45e-05 	 Color:2.88e-05 	Time: 0.46
epoch 3500:	style:3.77e-03 	 Rec:3.09e-03 	 Color:3.35e-05 	Time: 0.46
epoch 3550:	style:5.60e-03 	 Rec:4.44e-07 	 Color:3.52e-05 	Time: 0.46
epoch 3600:	style:4.45e-03 	 Rec:1.39e-05 	 Color:2.19e-05 	Time: 0.46
epoch 3650:	style:4.76e-03 	 Rec:4.37e-06 	 Color:3.73e-05 	Time: 0.46
epoch 3700:	style:4.02e-03 	 Rec:6.29e-07 	 Color:3.59e-05 	Time: 0.46
epoch 3750:	style:5.19e-03 	 Rec:3.19e-05 	 Color:2.75e-05 	Time: 0.46
epoch 3800:	style:4.21e-03 	 Rec:3.40e-05 	 Color:3.30e-05 	Time: 0.51
epoch 3850:	style:3.76e-03 	 Rec:2.40e-06 	 Color:3.75e-05 	Time: 0.46
epoch 3900:	style:4.29e-03 	 Rec:2.05e-05 	 Color:2.44e-05 	Time: 0.46
epoch 3950:	style:4.28e-03 	 Rec:5.94e-05 	 Color:3.76e-05 	Time: 0.46
epoch 4000:	style:5.09e-03 	 Rec:4.07e-05 	 Color:2.95e-05 	Time: 0.46
epoch 4050:	style:4.48e-03 	 Rec:3.34e-04 	 Color:2.09e-05 	Time: 0.46
epoch 4100:	style:3.83e-03 	 Rec:2.69e-05 	 Color:2.53e-05 	Time: 0.46
epoch 4150:	style:4.97e-03 	 Rec:4.29e-05 	 Color:3.86e-05 	Time: 0.46
epoch 4200:	style:4.74e-03 	 Rec:2.75e-05 	 Color:5.28e-05 	Time: 0.46
epoch 4250:	style:4.38e-03 	 Rec:1.55e-04 	 Color:2.10e-05 	Time: 0.46
epoch 4300:	style:5.77e-03 	 Rec:8.65e-06 	 Color:4.15e-05 	Time: 0.46
epoch 4350:	style:5.34e-03 	 Rec:1.39e-05 	 Color:3.93e-05 	Time: 0.46
epoch 4400:	style:3.33e-03 	 Rec:3.33e-05 	 Color:2.64e-05 	Time: 0.47
epoch 4450:	style:3.82e-03 	 Rec:1.47e-04 	 Color:3.02e-05 	Time: 0.46
epoch 4500:	style:3.70e-03 	 Rec:3.99e-06 	 Color:3.30e-05 	Time: 0.46
epoch 4550:	style:3.88e-03 	 Rec:1.36e-04 	 Color:5.52e-05 	Time: 0.46
epoch 4600:	style:3.79e-03 	 Rec:1.63e-05 	 Color:3.52e-05 	Time: 0.46
epoch 4650:	style:3.78e-03 	 Rec:1.59e-05 	 Color:2.31e-05 	Time: 0.46
epoch 4700:	style:4.52e-03 	 Rec:7.58e-06 	 Color:2.92e-05 	Time: 0.46
epoch 4750:	style:4.00e-03 	 Rec:3.12e-07 	 Color:2.67e-05 	Time: 0.46
epoch 4800:	style:3.87e-03 	 Rec:6.98e-08 	 Color:3.17e-05 	Time: 0.41
epoch 4850:	style:4.05e-03 	 Rec:1.53e-05 	 Color:2.35e-05 	Time: 0.38
epoch 4900:	style:4.82e-03 	 Rec:4.36e-07 	 Color:2.58e-05 	Time: 0.43
epoch 4950:	style:4.00e-03 	 Rec:1.76e-05 	 Color:4.22e-05 	Time: 0.38
epoch 5000:	style:4.33e-03 	 Rec:3.11e-05 	 Color:3.07e-05 	Time: 0.42
epoch 5050:	style:4.22e-03 	 Rec:2.24e-06 	 Color:3.61e-05 	Time: 0.46
epoch 5100:	style:4.36e-03 	 Rec:1.21e-04 	 Color:3.55e-05 	Time: 0.47
epoch 5150:	style:4.51e-03 	 Rec:3.24e-05 	 Color:2.82e-05 	Time: 0.46
epoch 5200:	style:4.62e-03 	 Rec:3.63e-05 	 Color:4.09e-05 	Time: 0.46
epoch 5250:	style:4.28e-03 	 Rec:5.61e-05 	 Color:3.08e-05 	Time: 0.44
epoch 5300:	style:4.35e-03 	 Rec:1.82e-05 	 Color:4.18e-05 	Time: 0.45
epoch 5350:	style:4.80e-03 	 Rec:1.95e-05 	 Color:2.54e-05 	Time: 0.41
epoch 5400:	style:4.27e-03 	 Rec:1.08e-04 	 Color:2.47e-05 	Time: 0.47
epoch 5450:	style:4.44e-03 	 Rec:1.19e-05 	 Color:3.00e-05 	Time: 0.46
epoch 5500:	style:4.72e-03 	 Rec:5.90e-05 	 Color:3.20e-05 	Time: 0.47
epoch 5550:	style:5.53e-03 	 Rec:2.92e-04 	 Color:3.02e-05 	Time: 0.47
epoch 5600:	style:4.10e-03 	 Rec:7.59e-06 	 Color:2.17e-05 	Time: 0.46
epoch 5650:	style:4.24e-03 	 Rec:2.80e-05 	 Color:2.04e-05 	Time: 0.46
epoch 5700:	style:5.26e-03 	 Rec:2.30e-05 	 Color:3.12e-05 	Time: 0.46
epoch 5750:	style:4.29e-03 	 Rec:2.33e-05 	 Color:3.61e-05 	Time: 0.46
