epoch 0:	pdl:3452154.25 	 Rec:197219.25 	Time: 0.03
epoch 50:	pdl:1679869.25 	 Rec:63456.05 	Time: 1.32
epoch 100:	pdl:1603273.75 	 Rec:75073.80 	Time: 1.32
epoch 150:	pdl:969180.38 	 Rec:56806.49 	Time: 1.32
epoch 200:	pdl:684619.50 	 Rec:55530.72 	Time: 1.38
epoch 250:	pdl:1003723.19 	 Rec:52112.13 	Time: 1.33
epoch 300:	pdl:838928.50 	 Rec:50830.24 	Time: 1.31
epoch 350:	pdl:608475.12 	 Rec:54145.92 	Time: 1.32
epoch 400:	pdl:1512467.62 	 Rec:49978.81 	Time: 1.33
epoch 450:	pdl:1084802.12 	 Rec:50738.14 	Time: 1.33
epoch 500:	pdl:814537.44 	 Rec:58328.29 	Time: 1.34
epoch 550:	pdl:743372.31 	 Rec:48841.41 	Time: 1.34
epoch 600:	pdl:1322282.25 	 Rec:52440.54 	Time: 1.33
epoch 650:	pdl:564400.25 	 Rec:49940.62 	Time: 1.33
epoch 700:	pdl:732165.88 	 Rec:49027.85 	Time: 1.33
epoch 750:	pdl:1096760.75 	 Rec:50866.30 	Time: 1.32
epoch 800:	pdl:1162444.50 	 Rec:52519.64 	Time: 1.32
epoch 850:	pdl:590139.62 	 Rec:50909.95 	Time: 1.33
epoch 900:	pdl:665761.81 	 Rec:48723.09 	Time: 1.35
epoch 950:	pdl:1506936.62 	 Rec:51393.53 	Time: 1.34
epoch 1000:	pdl:882450.88 	 Rec:49035.87 	Time: 1.35
epoch 1050:	pdl:731540.94 	 Rec:54245.95 	Time: 1.36
epoch 1100:	pdl:783135.31 	 Rec:51865.25 	Time: 1.36
epoch 1150:	pdl:853099.62 	 Rec:48350.81 	Time: 1.34
epoch 1200:	pdl:875124.88 	 Rec:47865.30 	Time: 1.35
epoch 1250:	pdl:690346.31 	 Rec:49878.39 	Time: 1.35
epoch 1300:	pdl:1051350.38 	 Rec:49557.76 	Time: 1.36
