epoch 3000:	pdl:8.71e-01 	 Rec:7.04e-03 	 Color:2.06e-01 	Time: 0.96
epoch 3050:	pdl:8.15e-01 	 Rec:1.16e-02 	 Color:1.94e-01 	Time: 0.97
epoch 3100:	pdl:8.12e-01 	 Rec:6.95e-03 	 Color:2.01e-01 	Time: 0.97
epoch 3150:	pdl:8.26e-01 	 Rec:8.21e-03 	 Color:1.99e-01 	Time: 0.96
epoch 3200:	pdl:8.13e-01 	 Rec:8.48e-03 	 Color:1.91e-01 	Time: 0.97
epoch 3250:	pdl:8.26e-01 	 Rec:7.54e-03 	 Color:2.00e-01 	Time: 0.97
epoch 3300:	pdl:8.39e-01 	 Rec:7.55e-03 	 Color:1.99e-01 	Time: 0.97
epoch 3350:	pdl:8.38e-01 	 Rec:5.58e-03 	 Color:1.95e-01 	Time: 0.96
epoch 3400:	pdl:8.71e-01 	 Rec:6.80e-03 	 Color:2.14e-01 	Time: 0.96
epoch 3450:	pdl:8.25e-01 	 Rec:5.80e-03 	 Color:1.97e-01 	Time: 0.96
epoch 3500:	pdl:8.79e-01 	 Rec:9.94e-03 	 Color:2.07e-01 	Time: 0.96
epoch 3550:	pdl:8.61e-01 	 Rec:7.25e-03 	 Color:2.10e-01 	Time: 0.97
epoch 3600:	pdl:8.81e-01 	 Rec:8.50e-03 	 Color:1.96e-01 	Time: 0.96
epoch 3650:	pdl:8.41e-01 	 Rec:8.18e-03 	 Color:1.91e-01 	Time: 0.97
epoch 3700:	pdl:7.90e-01 	 Rec:6.54e-03 	 Color:1.88e-01 	Time: 0.96
epoch 3750:	pdl:8.27e-01 	 Rec:6.51e-03 	 Color:2.05e-01 	Time: 0.97
epoch 3800:	pdl:8.23e-01 	 Rec:5.86e-03 	 Color:2.01e-01 	Time: 0.97
