epoch 0:	pdl:1.21e+00 	 Rec:9.96e-02 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:3.95e-01 	 Rec:8.28e-03 	 Color:0.00e+00 	Time: 2.19
epoch 100:	pdl:3.49e-01 	 Rec:7.14e-03 	 Color:0.00e+00 	Time: 2.00
epoch 150:	pdl:3.65e-01 	 Rec:6.73e-03 	 Color:0.00e+00 	Time: 1.92
epoch 200:	pdl:3.39e-01 	 Rec:6.42e-03 	 Color:0.00e+00 	Time: 1.96
epoch 250:	pdl:3.61e-01 	 Rec:6.26e-03 	 Color:0.00e+00 	Time: 1.97
epoch 300:	pdl:3.63e-01 	 Rec:6.00e-03 	 Color:0.00e+00 	Time: 2.01
epoch 350:	pdl:3.18e-01 	 Rec:6.02e-03 	 Color:0.00e+00 	Time: 2.00
epoch 400:	pdl:3.51e-01 	 Rec:5.78e-03 	 Color:0.00e+00 	Time: 1.91
epoch 450:	pdl:3.47e-01 	 Rec:5.65e-03 	 Color:0.00e+00 	Time: 1.88
epoch 500:	pdl:3.41e-01 	 Rec:5.93e-03 	 Color:0.00e+00 	Time: 1.98
epoch 550:	pdl:3.79e-01 	 Rec:5.49e-03 	 Color:0.00e+00 	Time: 1.95
epoch 600:	pdl:3.22e-01 	 Rec:5.36e-03 	 Color:0.00e+00 	Time: 1.90
epoch 650:	pdl:3.24e-01 	 Rec:5.49e-03 	 Color:0.00e+00 	Time: 1.93
epoch 700:	pdl:3.37e-01 	 Rec:5.37e-03 	 Color:0.00e+00 	Time: 1.92
epoch 750:	pdl:3.35e-01 	 Rec:5.20e-03 	 Color:0.00e+00 	Time: 1.90
epoch 800:	pdl:3.44e-01 	 Rec:4.97e-03 	 Color:0.00e+00 	Time: 1.91
epoch 850:	pdl:3.20e-01 	 Rec:5.08e-03 	 Color:0.00e+00 	Time: 1.97
epoch 900:	pdl:3.34e-01 	 Rec:5.25e-03 	 Color:0.00e+00 	Time: 1.90
epoch 950:	pdl:3.41e-01 	 Rec:4.82e-03 	 Color:0.00e+00 	Time: 1.92
epoch 1000:	pdl:3.02e-01 	 Rec:4.86e-03 	 Color:0.00e+00 	Time: 1.91
epoch 1050:	pdl:3.89e-01 	 Rec:4.70e-03 	 Color:0.00e+00 	Time: 2.03
epoch 1100:	pdl:3.14e-01 	 Rec:4.78e-03 	 Color:0.00e+00 	Time: 1.98
epoch 1150:	pdl:2.86e-01 	 Rec:4.51e-03 	 Color:0.00e+00 	Time: 1.89
epoch 1200:	pdl:3.33e-01 	 Rec:4.69e-03 	 Color:0.00e+00 	Time: 1.90
epoch 1250:	pdl:2.94e-01 	 Rec:4.54e-03 	 Color:0.00e+00 	Time: 1.97
epoch 1300:	pdl:3.22e-01 	 Rec:4.38e-03 	 Color:0.00e+00 	Time: 1.97
epoch 1350:	pdl:3.62e-01 	 Rec:4.45e-03 	 Color:0.00e+00 	Time: 1.91
epoch 1400:	pdl:2.93e-01 	 Rec:4.26e-03 	 Color:0.00e+00 	Time: 1.91
epoch 1450:	pdl:3.20e-01 	 Rec:4.37e-03 	 Color:0.00e+00 	Time: 1.95
epoch 1500:	pdl:3.08e-01 	 Rec:4.29e-03 	 Color:0.00e+00 	Time: 1.90
epoch 1550:	pdl:3.41e-01 	 Rec:4.11e-03 	 Color:0.00e+00 	Time: 1.93
epoch 1600:	pdl:2.85e-01 	 Rec:4.03e-03 	 Color:0.00e+00 	Time: 1.95
epoch 1650:	pdl:2.96e-01 	 Rec:4.08e-03 	 Color:0.00e+00 	Time: 1.96
epoch 1700:	pdl:3.23e-01 	 Rec:4.34e-03 	 Color:0.00e+00 	Time: 1.94
epoch 1750:	pdl:3.29e-01 	 Rec:3.98e-03 	 Color:0.00e+00 	Time: 1.91
epoch 1800:	pdl:2.88e-01 	 Rec:4.08e-03 	 Color:0.00e+00 	Time: 1.91
epoch 1850:	pdl:3.19e-01 	 Rec:3.74e-03 	 Color:0.00e+00 	Time: 1.91
epoch 1900:	pdl:3.03e-01 	 Rec:3.72e-03 	 Color:0.00e+00 	Time: 1.92
epoch 1950:	pdl:3.41e-01 	 Rec:3.58e-03 	 Color:0.00e+00 	Time: 1.98
epoch 2000:	pdl:3.26e-01 	 Rec:3.54e-03 	 Color:0.00e+00 	Time: 1.98
epoch 2050:	pdl:3.07e-01 	 Rec:3.71e-03 	 Color:0.00e+00 	Time: 2.06
epoch 2100:	pdl:3.20e-01 	 Rec:3.63e-03 	 Color:0.00e+00 	Time: 1.96
epoch 2150:	pdl:3.08e-01 	 Rec:3.64e-03 	 Color:0.00e+00 	Time: 1.94
epoch 2200:	pdl:3.54e-01 	 Rec:3.46e-03 	 Color:0.00e+00 	Time: 1.99
epoch 2250:	pdl:2.91e-01 	 Rec:3.36e-03 	 Color:0.00e+00 	Time: 1.99
epoch 2300:	pdl:2.88e-01 	 Rec:3.24e-03 	 Color:0.00e+00 	Time: 1.97
epoch 2350:	pdl:3.17e-01 	 Rec:3.33e-03 	 Color:0.00e+00 	Time: 1.95
epoch 2400:	pdl:3.24e-01 	 Rec:3.37e-03 	 Color:0.00e+00 	Time: 1.99
