epoch 0:	pdl:3.54e+00 	 Rec:1.72e-01 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:8.97e-01 	 Rec:7.40e-03 	 Color:0.00e+00 	Time: 1.60
epoch 100:	pdl:8.74e-01 	 Rec:6.03e-03 	 Color:0.00e+00 	Time: 1.53
epoch 150:	pdl:7.42e-01 	 Rec:4.48e-03 	 Color:0.00e+00 	Time: 1.56
epoch 200:	pdl:7.22e-01 	 Rec:5.44e-03 	 Color:0.00e+00 	Time: 1.56
epoch 250:	pdl:7.15e-01 	 Rec:5.19e-03 	 Color:0.00e+00 	Time: 1.55
epoch 300:	pdl:7.13e-01 	 Rec:5.81e-03 	 Color:0.00e+00 	Time: 1.54
epoch 350:	pdl:6.09e-01 	 Rec:3.70e-03 	 Color:0.00e+00 	Time: 1.58
epoch 400:	pdl:6.16e-01 	 Rec:3.60e-03 	 Color:0.00e+00 	Time: 1.55
epoch 450:	pdl:7.54e-01 	 Rec:4.09e-03 	 Color:0.00e+00 	Time: 1.59
epoch 500:	pdl:6.14e-01 	 Rec:3.84e-03 	 Color:0.00e+00 	Time: 1.57
epoch 550:	pdl:5.31e-01 	 Rec:3.73e-03 	 Color:0.00e+00 	Time: 1.58
epoch 600:	pdl:6.42e-01 	 Rec:3.51e-03 	 Color:0.00e+00 	Time: 1.59
epoch 650:	pdl:6.00e-01 	 Rec:3.85e-03 	 Color:0.00e+00 	Time: 1.53
epoch 700:	pdl:6.64e-01 	 Rec:3.64e-03 	 Color:0.00e+00 	Time: 1.59
epoch 750:	pdl:5.77e-01 	 Rec:3.34e-03 	 Color:0.00e+00 	Time: 1.59
epoch 800:	pdl:6.27e-01 	 Rec:3.55e-03 	 Color:0.00e+00 	Time: 1.56
epoch 850:	pdl:6.88e-01 	 Rec:3.54e-03 	 Color:0.00e+00 	Time: 1.58
epoch 900:	pdl:7.60e-01 	 Rec:3.38e-03 	 Color:0.00e+00 	Time: 1.56
epoch 950:	pdl:5.29e-01 	 Rec:3.03e-03 	 Color:0.00e+00 	Time: 1.56
epoch 1000:	pdl:5.88e-01 	 Rec:3.54e-03 	 Color:0.00e+00 	Time: 1.55
epoch 1050:	pdl:6.95e-01 	 Rec:3.22e-03 	 Color:0.00e+00 	Time: 1.60
epoch 1100:	pdl:5.66e-01 	 Rec:3.20e-03 	 Color:0.00e+00 	Time: 1.58
epoch 1150:	pdl:6.84e-01 	 Rec:3.17e-03 	 Color:0.00e+00 	Time: 1.56
epoch 1200:	pdl:6.68e-01 	 Rec:3.08e-03 	 Color:0.00e+00 	Time: 1.57
epoch 1250:	pdl:5.98e-01 	 Rec:3.61e-03 	 Color:0.00e+00 	Time: 1.56
epoch 1300:	pdl:5.50e-01 	 Rec:3.09e-03 	 Color:0.00e+00 	Time: 1.59
