epoch 5850:	style:2.18e-03 	 Rec:6.93e-04 	Time: 1.17
epoch 5900:	style:2.41e-03 	 Rec:6.66e-04 	Time: 1.17
epoch 5950:	style:2.76e-03 	 Rec:6.59e-04 	Time: 1.16
epoch 6000:	style:2.10e-03 	 Rec:6.73e-04 	Time: 1.18
epoch 6050:	style:2.40e-03 	 Rec:6.66e-04 	Time: 1.18
epoch 6100:	style:2.71e-03 	 Rec:6.35e-04 	Time: 1.18
epoch 6150:	style:2.70e-03 	 Rec:6.69e-04 	Time: 1.19
epoch 6200:	style:2.40e-03 	 Rec:7.17e-04 	Time: 1.16
epoch 6250:	style:2.23e-03 	 Rec:6.44e-04 	Time: 1.18
epoch 6300:	style:2.39e-03 	 Rec:6.58e-04 	Time: 1.19
epoch 6350:	style:2.55e-03 	 Rec:6.52e-04 	Time: 1.19
epoch 6400:	style:2.64e-03 	 Rec:6.77e-04 	Time: 1.19
epoch 6450:	style:2.60e-03 	 Rec:7.29e-04 	Time: 1.17
epoch 6500:	style:3.34e-03 	 Rec:6.35e-04 	Time: 1.17
epoch 6550:	style:2.27e-03 	 Rec:6.42e-04 	Time: 1.18
epoch 6600:	style:2.74e-03 	 Rec:9.34e-04 	Time: 1.19
epoch 6650:	style:2.09e-03 	 Rec:7.38e-04 	Time: 1.19
epoch 6700:	style:2.10e-03 	 Rec:6.22e-04 	Time: 1.18
epoch 6750:	style:2.35e-03 	 Rec:6.81e-04 	Time: 1.19
epoch 6800:	style:1.62e-03 	 Rec:6.59e-04 	Time: 1.16
epoch 6850:	style:3.71e-03 	 Rec:7.94e-04 	Time: 1.17
epoch 6900:	style:2.32e-03 	 Rec:7.62e-04 	Time: 1.18
epoch 6950:	style:2.17e-03 	 Rec:7.70e-04 	Time: 1.18
epoch 7000:	style:2.16e-03 	 Rec:6.28e-04 	Time: 1.17
epoch 7050:	style:3.57e-03 	 Rec:6.87e-04 	Time: 1.17
epoch 7100:	style:2.07e-03 	 Rec:6.35e-04 	Time: 1.18
epoch 7150:	style:3.68e-03 	 Rec:6.78e-04 	Time: 1.17
epoch 7200:	style:2.59e-03 	 Rec:6.88e-04 	Time: 1.16
epoch 7250:	style:2.59e-03 	 Rec:6.47e-04 	Time: 1.19
epoch 7300:	style:2.42e-03 	 Rec:6.20e-04 	Time: 1.17
epoch 7350:	style:1.66e-03 	 Rec:7.04e-04 	Time: 1.17
epoch 7400:	style:2.20e-03 	 Rec:5.87e-04 	Time: 1.16
epoch 7450:	style:2.29e-03 	 Rec:5.76e-04 	Time: 1.18
epoch 7500:	style:2.36e-03 	 Rec:6.94e-04 	Time: 1.18
epoch 7550:	style:3.36e-03 	 Rec:7.56e-04 	Time: 1.17
epoch 7600:	style:2.14e-03 	 Rec:6.40e-04 	Time: 1.16
epoch 7650:	style:2.85e-03 	 Rec:5.96e-04 	Time: 1.17
epoch 7700:	style:1.96e-03 	 Rec:6.15e-04 	Time: 1.17
epoch 7750:	style:2.19e-03 	 Rec:6.08e-04 	Time: 1.17
epoch 7800:	style:2.22e-03 	 Rec:7.02e-04 	Time: 1.18
epoch 7850:	style:1.94e-03 	 Rec:5.61e-04 	Time: 1.19
epoch 7900:	style:2.10e-03 	 Rec:5.62e-04 	Time: 1.16
epoch 7950:	style:1.94e-03 	 Rec:6.63e-04 	Time: 1.17
epoch 8000:	style:2.40e-03 	 Rec:6.14e-04 	Time: 1.17
epoch 8050:	style:1.83e-03 	 Rec:6.60e-04 	Time: 1.17
epoch 8100:	style:2.57e-03 	 Rec:6.17e-04 	Time: 1.17
epoch 8150:	style:2.21e-03 	 Rec:5.94e-04 	Time: 1.18
epoch 8200:	style:1.97e-03 	 Rec:5.90e-04 	Time: 1.17
epoch 8250:	style:1.72e-03 	 Rec:5.45e-04 	Time: 1.18
epoch 8300:	style:2.43e-03 	 Rec:5.93e-04 	Time: 1.17
epoch 8350:	style:2.09e-03 	 Rec:6.39e-04 	Time: 1.15
epoch 8400:	style:2.39e-03 	 Rec:6.92e-04 	Time: 1.17
epoch 8450:	style:2.43e-03 	 Rec:5.94e-04 	Time: 1.18
epoch 8500:	style:2.46e-03 	 Rec:7.47e-04 	Time: 1.17
epoch 8550:	style:2.23e-03 	 Rec:6.17e-04 	Time: 1.17
epoch 8600:	style:2.18e-03 	 Rec:5.53e-04 	Time: 1.18
epoch 8650:	style:1.84e-03 	 Rec:5.80e-04 	Time: 1.17
epoch 8700:	style:2.05e-03 	 Rec:5.32e-04 	Time: 1.17
epoch 8750:	style:1.94e-03 	 Rec:5.93e-04 	Time: 1.17
epoch 8800:	style:2.54e-03 	 Rec:7.57e-04 	Time: 1.17
epoch 8850:	style:2.31e-03 	 Rec:6.70e-04 	Time: 1.16
epoch 8900:	style:3.03e-03 	 Rec:6.44e-04 	Time: 1.16
epoch 8950:	style:2.62e-03 	 Rec:6.21e-04 	Time: 1.17
epoch 9000:	style:2.54e-03 	 Rec:6.05e-04 	Time: 1.16
epoch 9050:	style:1.90e-03 	 Rec:5.57e-04 	Time: 1.19
