epoch 3900:	pdl:1.18e-01 	 Rec:1.40e-03 	Time: 1.47
epoch 3950:	pdl:1.12e-01 	 Rec:1.22e-03 	Time: 1.49
epoch 4000:	pdl:1.04e-01 	 Rec:1.03e-03 	Time: 1.47
epoch 4050:	pdl:1.10e-01 	 Rec:1.19e-03 	Time: 1.50
epoch 4100:	pdl:9.75e-02 	 Rec:9.56e-04 	Time: 1.49
epoch 4150:	pdl:1.02e-01 	 Rec:1.08e-03 	Time: 1.49
epoch 4200:	pdl:1.16e-01 	 Rec:1.09e-03 	Time: 1.50
epoch 4250:	pdl:1.08e-01 	 Rec:1.01e-03 	Time: 1.47
epoch 4300:	pdl:1.06e-01 	 Rec:1.11e-03 	Time: 1.48
epoch 4350:	pdl:1.11e-01 	 Rec:1.18e-03 	Time: 1.50
epoch 4400:	pdl:9.84e-02 	 Rec:1.15e-03 	Time: 1.45
epoch 4450:	pdl:1.09e-01 	 Rec:1.12e-03 	Time: 1.50
epoch 4500:	pdl:1.43e-01 	 Rec:1.14e-03 	Time: 1.46
epoch 4550:	pdl:1.21e-01 	 Rec:1.25e-03 	Time: 1.50
epoch 4600:	pdl:1.32e-01 	 Rec:1.31e-03 	Time: 1.48
epoch 4650:	pdl:1.13e-01 	 Rec:1.12e-03 	Time: 1.50
epoch 4700:	pdl:9.25e-02 	 Rec:1.08e-03 	Time: 1.49
epoch 4750:	pdl:8.90e-02 	 Rec:8.81e-04 	Time: 1.48
epoch 4800:	pdl:8.87e-02 	 Rec:1.11e-03 	Time: 1.45
epoch 4850:	pdl:1.05e-01 	 Rec:1.01e-03 	Time: 1.49
epoch 4900:	pdl:1.22e-01 	 Rec:1.02e-03 	Time: 1.48
epoch 4950:	pdl:1.20e-01 	 Rec:1.11e-03 	Time: 1.50
epoch 5000:	pdl:1.38e-01 	 Rec:1.12e-03 	Time: 1.49
epoch 5050:	pdl:8.87e-02 	 Rec:1.01e-03 	Time: 1.48
epoch 5100:	pdl:1.24e-01 	 Rec:1.11e-03 	Time: 1.48
epoch 5150:	pdl:1.16e-01 	 Rec:8.42e-04 	Time: 1.51
epoch 5200:	pdl:1.11e-01 	 Rec:1.09e-03 	Time: 1.48
epoch 5250:	pdl:1.08e-01 	 Rec:9.94e-04 	Time: 1.51
epoch 5300:	pdl:9.97e-02 	 Rec:1.25e-03 	Time: 1.45
epoch 5350:	pdl:9.22e-02 	 Rec:8.10e-04 	Time: 1.52
epoch 5400:	pdl:9.41e-02 	 Rec:8.19e-04 	Time: 1.47
epoch 5450:	pdl:1.04e-01 	 Rec:1.06e-03 	Time: 1.49
epoch 5500:	pdl:9.58e-02 	 Rec:9.47e-04 	Time: 1.48
epoch 5550:	pdl:1.27e-01 	 Rec:1.23e-03 	Time: 1.47
epoch 5600:	pdl:9.29e-02 	 Rec:9.90e-04 	Time: 1.53
epoch 5650:	pdl:9.89e-02 	 Rec:1.06e-03 	Time: 1.48
