
Random Seed:  42
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		SCALE 0
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
epoch 2900:	pdl:5.21e-01 	 Rec:1.36e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2950:	pdl:4.74e-01 	 Rec:3.38e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3000:	pdl:5.06e-01 	 Rec:4.18e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3050:	pdl:4.99e-01 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 0.39
epoch 3100:	pdl:5.38e-01 	 Rec:7.05e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3150:	pdl:5.02e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 0.37
epoch 3200:	pdl:5.25e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.41
epoch 3250:	pdl:5.01e-01 	 Rec:7.44e-04 	 Color:0.00e+00 	Time: 0.38
epoch 3300:	pdl:5.09e-01 	 Rec:5.42e-04 	 Color:0.00e+00 	Time: 0.39
epoch 3350:	pdl:4.81e-01 	 Rec:8.92e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3400:	pdl:5.18e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.40
epoch 3450:	pdl:4.84e-01 	 Rec:4.06e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3500:	pdl:4.99e-01 	 Rec:4.12e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3550:	pdl:5.03e-01 	 Rec:1.79e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3600:	pdl:4.94e-01 	 Rec:1.94e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3650:	pdl:4.93e-01 	 Rec:2.74e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3700:	pdl:4.95e-01 	 Rec:1.31e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3750:	pdl:4.87e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.41
epoch 3800:	pdl:4.65e-01 	 Rec:3.07e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3850:	pdl:5.00e-01 	 Rec:2.76e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3900:	pdl:5.10e-01 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3950:	pdl:5.02e-01 	 Rec:5.03e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4000:	pdl:4.97e-01 	 Rec:5.13e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4050:	pdl:4.82e-01 	 Rec:3.41e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4100:	pdl:4.58e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.43
epoch 4150:	pdl:5.03e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.39
epoch 4200:	pdl:5.06e-01 	 Rec:5.01e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4250:	pdl:4.61e-01 	 Rec:4.48e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4300:	pdl:5.45e-01 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 0.36
epoch 4350:	pdl:4.71e-01 	 Rec:3.51e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4400:	pdl:4.69e-01 	 Rec:8.80e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4450:	pdl:4.87e-01 	 Rec:8.62e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4500:	pdl:4.59e-01 	 Rec:3.85e-04 	 Color:0.00e+00 	Time: 0.37
epoch 4550:	pdl:4.80e-01 	 Rec:5.23e-04 	 Color:0.00e+00 	Time: 0.39
epoch 4600:	pdl:4.98e-01 	 Rec:4.50e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4650:	pdl:4.58e-01 	 Rec:7.20e-04 	 Color:0.00e+00 	Time: 0.39
epoch 4700:	pdl:5.41e-01 	 Rec:7.49e-04 	 Color:0.00e+00 	Time: 0.39
epoch 4750:	pdl:4.84e-01 	 Rec:3.69e-04 	 Color:0.00e+00 	Time: 0.36
epoch 4800:	pdl:5.14e-01 	 Rec:6.20e-04 	 Color:0.00e+00 	Time: 0.38
epoch 4850:	pdl:4.62e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 0.42
epoch 4900:	pdl:5.49e-01 	 Rec:6.48e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4950:	pdl:4.69e-01 	 Rec:4.61e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5000:	pdl:5.05e-01 	 Rec:8.58e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5050:	pdl:4.64e-01 	 Rec:4.36e-04 	 Color:0.00e+00 	Time: 0.45
epoch 5100:	pdl:4.62e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 0.39
epoch 5150:	pdl:4.88e-01 	 Rec:8.30e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5200:	pdl:4.94e-01 	 Rec:3.09e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5250:	pdl:4.74e-01 	 Rec:4.10e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5300:	pdl:4.98e-01 	 Rec:9.51e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5350:	pdl:4.84e-01 	 Rec:4.63e-04 	 Color:0.00e+00 	Time: 0.43
epoch 5400:	pdl:4.69e-01 	 Rec:7.65e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5450:	pdl:4.78e-01 	 Rec:5.77e-04 	 Color:0.00e+00 	Time: 0.39
epoch 5500:	pdl:4.80e-01 	 Rec:7.07e-04 	 Color:0.00e+00 	Time: 0.40
epoch 5550:	pdl:4.85e-01 	 Rec:2.70e-04 	 Color:0.00e+00 	Time: 0.40
epoch 5600:	pdl:4.75e-01 	 Rec:7.20e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5650:	pdl:4.76e-01 	 Rec:8.68e-04 	 Color:0.00e+00 	Time: 0.41
