epoch 0:	gram:2.89e-02 	 Rec:5.84e-02 	 Color:3.09e-06 	Time: 0.01
epoch 50:	gram:9.90e-03 	 Rec:1.25e-02 	 Color:1.82e-06 	Time: 0.85
epoch 100:	gram:7.91e-03 	 Rec:8.65e-03 	 Color:2.41e-06 	Time: 0.77
epoch 150:	gram:8.69e-03 	 Rec:7.42e-03 	 Color:2.21e-06 	Time: 0.75
epoch 200:	gram:8.62e-03 	 Rec:6.68e-03 	 Color:2.14e-06 	Time: 0.75
epoch 250:	gram:7.12e-03 	 Rec:6.30e-03 	 Color:2.09e-06 	Time: 0.75
epoch 300:	gram:6.86e-03 	 Rec:6.02e-03 	 Color:2.69e-06 	Time: 0.75
epoch 350:	gram:6.00e-03 	 Rec:5.72e-03 	 Color:2.39e-06 	Time: 0.75
epoch 400:	gram:7.94e-03 	 Rec:5.55e-03 	 Color:2.32e-06 	Time: 0.77
epoch 450:	gram:6.45e-03 	 Rec:5.45e-03 	 Color:3.00e-06 	Time: 0.75
epoch 500:	gram:6.88e-03 	 Rec:5.27e-03 	 Color:2.13e-06 	Time: 0.75
epoch 550:	gram:5.93e-03 	 Rec:5.24e-03 	 Color:2.58e-06 	Time: 0.81
epoch 600:	gram:6.99e-03 	 Rec:5.24e-03 	 Color:2.42e-06 	Time: 0.76
epoch 650:	gram:8.97e-03 	 Rec:4.99e-03 	 Color:2.86e-06 	Time: 0.76
epoch 700:	gram:5.81e-03 	 Rec:4.93e-03 	 Color:2.38e-06 	Time: 0.75
epoch 750:	gram:7.50e-03 	 Rec:4.79e-03 	 Color:2.36e-06 	Time: 0.75
epoch 800:	gram:6.25e-03 	 Rec:4.76e-03 	 Color:2.54e-06 	Time: 0.74
epoch 850:	gram:8.88e-03 	 Rec:4.64e-03 	 Color:2.26e-06 	Time: 0.75
epoch 900:	gram:6.14e-03 	 Rec:4.55e-03 	 Color:2.10e-06 	Time: 0.74
epoch 950:	gram:8.94e-03 	 Rec:4.55e-03 	 Color:2.55e-06 	Time: 0.76
epoch 1000:	gram:5.58e-03 	 Rec:4.47e-03 	 Color:2.66e-06 	Time: 0.73
epoch 1050:	gram:6.69e-03 	 Rec:4.45e-03 	 Color:2.57e-06 	Time: 0.74
epoch 1100:	gram:5.35e-03 	 Rec:4.37e-03 	 Color:1.65e-06 	Time: 0.74
epoch 1150:	gram:6.59e-03 	 Rec:4.34e-03 	 Color:2.03e-06 	Time: 0.74
epoch 1200:	gram:6.81e-03 	 Rec:4.26e-03 	 Color:2.11e-06 	Time: 0.74
epoch 1250:	gram:6.02e-03 	 Rec:4.20e-03 	 Color:2.07e-06 	Time: 0.74
epoch 1300:	gram:5.56e-03 	 Rec:4.19e-03 	 Color:2.22e-06 	Time: 0.74
epoch 1350:	gram:5.94e-03 	 Rec:4.13e-03 	 Color:2.08e-06 	Time: 0.74
epoch 1400:	gram:6.12e-03 	 Rec:4.02e-03 	 Color:2.71e-06 	Time: 0.74
epoch 1450:	gram:7.58e-03 	 Rec:3.99e-03 	 Color:2.52e-06 	Time: 0.74
epoch 1500:	gram:8.63e-03 	 Rec:4.02e-03 	 Color:2.97e-06 	Time: 0.76
epoch 1550:	gram:5.78e-03 	 Rec:3.91e-03 	 Color:1.90e-06 	Time: 0.73
