epoch 0:	gram:5.45e-02 	 Rec:5.36e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	gram:1.92e-02 	 Rec:6.39e-03 	 Color:0.00e+00 	Time: 0.68
epoch 100:	gram:1.75e-02 	 Rec:4.28e-03 	 Color:0.00e+00 	Time: 0.59
epoch 150:	gram:1.49e-02 	 Rec:3.63e-03 	 Color:0.00e+00 	Time: 0.56
epoch 200:	gram:1.34e-02 	 Rec:3.25e-03 	 Color:0.00e+00 	Time: 0.57
epoch 250:	gram:1.43e-02 	 Rec:3.08e-03 	 Color:0.00e+00 	Time: 0.59
epoch 300:	gram:1.54e-02 	 Rec:2.86e-03 	 Color:0.00e+00 	Time: 0.59
epoch 350:	gram:1.42e-02 	 Rec:2.73e-03 	 Color:0.00e+00 	Time: 0.57
epoch 400:	gram:1.38e-02 	 Rec:2.61e-03 	 Color:0.00e+00 	Time: 0.56
epoch 450:	gram:1.33e-02 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 0.57
epoch 500:	gram:1.55e-02 	 Rec:2.40e-03 	 Color:0.00e+00 	Time: 0.56
epoch 550:	gram:1.44e-02 	 Rec:2.29e-03 	 Color:0.00e+00 	Time: 0.57
epoch 600:	gram:1.55e-02 	 Rec:2.32e-03 	 Color:0.00e+00 	Time: 0.56
epoch 650:	gram:1.29e-02 	 Rec:2.16e-03 	 Color:0.00e+00 	Time: 0.59
epoch 700:	gram:1.79e-02 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 0.56
epoch 750:	gram:1.18e-02 	 Rec:2.07e-03 	 Color:0.00e+00 	Time: 0.57
epoch 800:	gram:1.17e-02 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 0.58
epoch 850:	gram:1.59e-02 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 0.56
epoch 900:	gram:1.55e-02 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 0.56
epoch 950:	gram:1.45e-02 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1000:	gram:1.41e-02 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 0.61
epoch 1050:	gram:1.17e-02 	 Rec:1.80e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1100:	gram:1.27e-02 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1150:	gram:1.35e-02 	 Rec:1.68e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1200:	gram:1.19e-02 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1250:	gram:1.25e-02 	 Rec:1.58e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1300:	gram:1.40e-02 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1350:	gram:1.09e-02 	 Rec:1.58e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1400:	gram:1.37e-02 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 0.58
epoch 1450:	gram:1.22e-02 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 0.60
epoch 1500:	gram:1.17e-02 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 0.58
epoch 1550:	gram:1.20e-02 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1600:	gram:1.24e-02 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1650:	gram:1.47e-02 	 Rec:1.36e-03 	 Color:0.00e+00 	Time: 0.59
epoch 1700:	gram:1.08e-02 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1750:	gram:1.26e-02 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1800:	gram:1.40e-02 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1850:	gram:1.32e-02 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1900:	gram:1.14e-02 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 0.59
epoch 1950:	gram:1.23e-02 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.61
epoch 2000:	gram:1.08e-02 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.56
epoch 2050:	gram:1.28e-02 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.62
epoch 2100:	gram:1.11e-02 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.56
epoch 2150:	gram:1.27e-02 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2200:	gram:1.31e-02 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 0.56
epoch 2250:	gram:1.26e-02 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.58
epoch 2300:	gram:1.27e-02 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.58
epoch 2350:	gram:1.52e-02 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.55
epoch 2400:	gram:1.45e-02 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.58
epoch 2450:	gram:1.24e-02 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.56
epoch 2500:	gram:1.45e-02 	 Rec:9.92e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2550:	gram:9.70e-03 	 Rec:9.62e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2600:	gram:1.20e-02 	 Rec:9.98e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2650:	gram:1.11e-02 	 Rec:9.55e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2700:	gram:1.09e-02 	 Rec:9.40e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2750:	gram:1.32e-02 	 Rec:9.58e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2800:	gram:1.12e-02 	 Rec:9.84e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2850:	gram:1.22e-02 	 Rec:9.61e-04 	 Color:0.00e+00 	Time: 0.58
epoch 2900:	gram:1.18e-02 	 Rec:9.71e-04 	 Color:0.00e+00 	Time: 0.58
epoch 2950:	gram:1.00e-02 	 Rec:8.87e-04 	 Color:0.00e+00 	Time: 0.56
epoch 3000:	gram:1.21e-02 	 Rec:9.07e-04 	 Color:0.00e+00 	Time: 0.56
epoch 3050:	gram:1.26e-02 	 Rec:9.47e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3100:	gram:1.03e-02 	 Rec:8.29e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3150:	gram:1.14e-02 	 Rec:8.36e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3200:	gram:1.11e-02 	 Rec:8.43e-04 	 Color:0.00e+00 	Time: 0.56
epoch 3250:	gram:1.30e-02 	 Rec:8.24e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3300:	gram:1.05e-02 	 Rec:8.23e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3350:	gram:1.23e-02 	 Rec:7.56e-04 	 Color:0.00e+00 	Time: 0.56
epoch 3400:	gram:1.12e-02 	 Rec:7.77e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3450:	gram:1.15e-02 	 Rec:8.30e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3500:	gram:1.20e-02 	 Rec:7.57e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3550:	gram:1.12e-02 	 Rec:7.71e-04 	 Color:0.00e+00 	Time: 0.59
epoch 3600:	gram:1.10e-02 	 Rec:7.37e-04 	 Color:0.00e+00 	Time: 0.61
epoch 3650:	gram:1.15e-02 	 Rec:8.72e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3700:	gram:1.47e-02 	 Rec:7.12e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3750:	gram:1.10e-02 	 Rec:7.76e-04 	 Color:0.00e+00 	Time: 0.59
epoch 3800:	gram:1.00e-02 	 Rec:8.40e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3850:	gram:9.55e-03 	 Rec:7.02e-04 	 Color:0.00e+00 	Time: 0.56
epoch 3900:	gram:1.17e-02 	 Rec:8.31e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3950:	gram:1.15e-02 	 Rec:7.42e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4000:	gram:1.30e-02 	 Rec:7.04e-04 	 Color:0.00e+00 	Time: 0.59
epoch 4050:	gram:1.64e-02 	 Rec:8.44e-04 	 Color:0.00e+00 	Time: 0.59
epoch 4100:	gram:1.08e-02 	 Rec:7.30e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4150:	gram:1.05e-02 	 Rec:6.67e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4200:	gram:9.89e-03 	 Rec:8.43e-04 	 Color:0.00e+00 	Time: 0.60
epoch 4250:	gram:1.13e-02 	 Rec:6.94e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4300:	gram:8.92e-03 	 Rec:6.70e-04 	 Color:0.00e+00 	Time: 0.58
epoch 4350:	gram:1.16e-02 	 Rec:6.79e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4400:	gram:1.42e-02 	 Rec:6.48e-04 	 Color:0.00e+00 	Time: 0.58
epoch 4450:	gram:1.04e-02 	 Rec:6.61e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4500:	gram:1.22e-02 	 Rec:6.21e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4550:	gram:1.08e-02 	 Rec:6.17e-04 	 Color:0.00e+00 	Time: 0.61
epoch 4600:	gram:8.95e-03 	 Rec:5.91e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4650:	gram:9.89e-03 	 Rec:6.34e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4700:	gram:9.22e-03 	 Rec:6.69e-04 	 Color:0.00e+00 	Time: 0.59
epoch 4750:	gram:1.30e-02 	 Rec:5.88e-04 	 Color:0.00e+00 	Time: 0.57
epoch 4800:	gram:1.28e-02 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4850:	gram:1.31e-02 	 Rec:8.55e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4900:	gram:1.05e-02 	 Rec:6.41e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4950:	gram:1.14e-02 	 Rec:6.04e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5000:	gram:1.30e-02 	 Rec:6.01e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5050:	gram:1.22e-02 	 Rec:5.78e-04 	 Color:0.00e+00 	Time: 0.59
epoch 5100:	gram:1.29e-02 	 Rec:5.82e-04 	 Color:0.00e+00 	Time: 0.58
epoch 5150:	gram:1.20e-02 	 Rec:5.84e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5200:	gram:1.07e-02 	 Rec:6.05e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5250:	gram:1.41e-02 	 Rec:6.38e-04 	 Color:0.00e+00 	Time: 0.58
epoch 5300:	gram:1.04e-02 	 Rec:6.09e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5350:	gram:1.09e-02 	 Rec:5.56e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5400:	gram:1.37e-02 	 Rec:5.07e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5450:	gram:1.03e-02 	 Rec:6.57e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5500:	gram:1.03e-02 	 Rec:5.18e-04 	 Color:0.00e+00 	Time: 0.58
epoch 5550:	gram:1.10e-02 	 Rec:5.52e-04 	 Color:0.00e+00 	Time: 0.57
epoch 5600:	gram:1.09e-02 	 Rec:5.40e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5650:	gram:1.63e-02 	 Rec:5.12e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5700:	gram:1.13e-02 	 Rec:5.19e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5750:	gram:1.18e-02 	 Rec:5.29e-04 	 Color:0.00e+00 	Time: 0.58
epoch 5800:	gram:1.18e-02 	 Rec:5.11e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5850:	gram:1.18e-02 	 Rec:5.05e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5900:	gram:1.01e-02 	 Rec:5.65e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5950:	gram:1.16e-02 	 Rec:6.31e-04 	 Color:0.00e+00 	Time: 0.58
epoch 6000:	gram:1.10e-02 	 Rec:5.10e-04 	 Color:0.00e+00 	Time: 0.56
epoch 6050:	gram:1.24e-02 	 Rec:6.42e-04 	 Color:0.00e+00 	Time: 0.59
epoch 6100:	gram:8.34e-03 	 Rec:5.16e-04 	 Color:0.00e+00 	Time: 0.58
epoch 6150:	gram:1.29e-02 	 Rec:4.84e-04 	 Color:0.00e+00 	Time: 0.56
epoch 6200:	gram:1.25e-02 	 Rec:4.48e-04 	 Color:0.00e+00 	Time: 0.56
